inventario_id,negozio_id,film_id
2200,1,476
3889,1,850
3681,2,805
1940,2,422
4196,1,913
401,1,89
1362,2,300
468,1,103
308,2,69
1949,2,424
1264,2,280
4231,1,920
470,2,103
2438,2,532
3839,1,841
1697,2,369
3962,2,863
2295,1,499
3744,1,819
2483,2,544
4407,2,963
2638,1,579
3881,1,849
4285,1,933
3710,1,812
3680,1,805
186,2,42
2185,2,472
2154,2,465
62,1,12
2965,1,650
3665,2,800
2175,2,469
769,2,167
3083,2,677
909,1,202
1294,2,285
3133,2,688
545,1,119
3760,1,823
343,1,76
2599,1,571
2935,1,645
1389,2,304
3171,2,696
2574,2,563
3652,2,797
1015,2,227
1122,1,249
4497,1,982
2031,1,442
3640,1,795
911,1,202
3673,1,804
4255,1,925
1711,2,373
3607,2,788
1642,1,358
454,1,100
4339,2,945
1027,1,230
2241,2,484
1174,2,260
4307,1,938
2439,2,532
1540,1,337
2487,1,545
686,2,150
1808,2,392
3110,1,683
4212,2,915
3219,2,707
3671,2,803
3100,1,681
3286,1,724
4499,2,982
1336,1,295
2055,2,446
4300,1,937
1402,1,307
2414,1,527
416,2,91
2408,2,525
4467,1,976
3545,1,775
3241,2,711
2658,1,583
1570,1,345
1276,2,282
2261,1,489
4242,2,922
440,2,97
4003,2,871
1211,2,269
1435,1,314
1373,1,302
1220,2,270
2072,2,449
4498,1,982
2675,1,587
1683,1,367
102,1,21
2445,1,534
4200,2,913
3231,2,709
3344,1,735
1226,1,272
3740,1,818
1594,2,349
3825,1,838
219,2,49
1629,1,356
2460,2,537
2125,2,460
3160,1,694
2752,2,603
1062,2,236
3981,1,868
833,1,182
4162,1,904
1564,1,343
3608,1,789
367,1,80
595,1,130
2593,1,570
2053,1,446
1089,1,243
4364,2,951
139,1,28
1355,1,299
923,1,205
2001,1,436
3602,1,787
3887,2,849
4329,1,944
1760,1,382
3032,2,665
2660,2,583
3223,1,708
1851,1,403
3113,2,683
2586,2,567
3575,2,782
184,2,40
1964,2,428
1885,2,410
1363,2,300
3850,1,843
4553,2,993
653,2,141
4535,2,989
680,1,149
4500,2,982
4173,1,907
1721,1,375
2717,2,596
4029,2,878
4192,2,912
537,2,117
4169,2,906
3124,1,687
1676,1,366
1672,2,365
2645,1,580
858,1,189
3812,1,835
1688,1,368
2520,1,554
2982,1,654
2486,1,545
3375,2,740
1328,2,293
1659,1,362
2254,2,487
2794,1,614
873,1,193
685,1,150
768,2,167
3385,2,743
3699,2,809
2616,1,574
1621,1,354
235,1,53
4002,2,871
3926,2,856
3643,1,795
4022,1,876
2683,2,589
4564,1,996
387,1,86
1148,1,254
3182,1,698
3811,1,835
912,2,203
4080,1,890
417,2,91
1495,2,327
1738,1,378
2156,1,466
488,1,109
3243,2,714
1977,2,431
735,2,160
1692,1,369
3165,1,695
3591,1,785
1399,1,306
3260,2,717
1468,1,321
28,1,6
97,2,19
3338,1,734
4111,1,894
1543,2,338
3067,1,674
1923,1,418
2488,2,545
2786,1,611
1158,2,255
1216,1,270
1310,1,289
2696,1,592
3705,2,810
259,2,57
1165,2,258
2743,1,602
2062,2,447
995,2,222
2513,2,552
216,1,49
2301,2,500
2176,1,470
324,2,72
4345,1,947
2075,1,450
4283,2,932
4432,1,969
256,1,57
3480,1,763
2325,2,505
1945,2,423
683,2,149
1567,1,344
3453,1,757
1943,1,423
3763,2,823
3952,1,862
4304,1,938
1008,2,226
4259,2,926
2139,1,463
2523,2,554
2131,2,461
2755,2,604
33,1,7
2765,1,608
4562,2,995
3813,1,835
2225,2,481
1912,1,416
859,2,189
2440,2,532
2411,2,526
2465,1,539
1012,1,227
2986,1,655
4159,2,903
133,2,26
384,2,85
1628,1,356
3683,2,805
3554,1,777
752,2,164
2447,2,534
3148,1,691
1050,1,234
359,1,79
2853,2,625
3047,2,668
3346,2,735
2450,1,535
1415,2,309
4123,2,896
270,1,60
744,2,162
5,2,1
617,2,134
4520,2,986
96,1,19
3823,2,837
3285,2,723
3068,1,674
1973,2,430
2554,1,560
2908,2,638
1574,2,345
3549,1,776
1516,1,331
4213,1,916
1245,1,275
2970,1,651
2924,1,643
3029,1,665
3391,2,744
3841,2,841
881,1,194
3006,1,660
4421,2,966
966,2,215
1347,2,297
3251,2,715
4058,2,884
746,2,163
1805,1,392
1178,2,262
49,1,10
2619,2,574
2258,2,488
1726,2,376
3920,1,856
2585,2,567
2609,2,572
1358,1,300
2202,2,476
2319,1,504
2385,1,521
3506,2,767
1304,1,288
1296,1,286
2980,1,653
4424,1,967
2296,1,500
3012,1,661
1528,2,334
477,1,105
514,1,114
2828,1,621
1205,2,267
2142,2,463
2384,1,520
4503,1,983
3327,1,732
4480,1,979
4295,2,936
431,2,95
4191,1,912
225,2,50
3527,1,772
3576,2,782
2519,1,554
2024,1,440
602,1,131
1878,2,409
2563,1,562
3547,2,775
2821,2,619
1120,2,248
1072,1,239
2705,1,594
3637,1,794
3914,2,854
3020,1,663
2184,2,471
4387,2,958
1325,1,293
2165,1,468
424,2,93
524,2,115
3689,1,807
3664,2,800
1685,2,367
1675,1,366
908,1,201
3326,1,732
3075,2,676
1936,2,421
1983,2,432
3870,2,846
3938,2,858
1022,2,228
2559,1,561
3818,2,835
3790,2,830
189,1,43
1490,2,326
4126,1,897
3995,2,870
2806,2,616
1935,2,420
1562,1,342
3119,1,686
2880,2,631
1864,2,406
3566,2,779
1359,1,300
1686,2,367
941,1,209
60,1,12
4357,2,949
2667,1,586
682,2,149
3656,2,798
4408,2,963
4287,1,933
2503,1,550
238,1,54
563,1,122
4024,1,877
2146,1,464
282,2,63
3454,2,757
3932,2,857
2060,1,447
191,1,43
2546,1,559
3377,1,741
541,1,118
2869,2,629
336,1,74
3262,2,718
3290,2,724
1256,1,278
3322,2,730
1880,2,409
475,2,104
1518,2,331
2892,2,635
3848,1,843
972,2,216
3472,2,761
4182,1,911
596,2,130
1807,1,392
3727,1,815
3966,1,864
3940,1,859
2328,2,505
843,2,184
1282,1,284
123,1,24
2109,2,457
708,2,154
4225,2,918
945,2,210
2444,1,533
1702,2,370
2381,2,519
1134,2,251
665,2,143
3978,1,867
3708,1,811
2310,1,502
2383,1,520
1193,1,266
2915,1,641
3804,2,833
298,2,67
547,2,119
3304,2,727
1131,1,251
2239,1,484
3436,2,753
739,1,162
2394,1,523
3488,2,764
1293,2,285
1522,1,333
3331,1,733
480,2,105
1327,2,293
3303,2,727
2963,2,649
2783,2,610
1159,2,256
2882,1,632
3588,1,785
587,2,127
2946,1,647
52,2,10
380,1,84
3906,2,852
2046,2,444
647,2,140
132,2,26
1112,1,247
554,1,121
1238,1,274
462,2,101
3909,1,853
385,2,85
2346,1,510
1569,2,344
2148,2,464
4537,2,990
772,1,168
2236,1,484
4280,2,931
2113,1,458
3642,1,795
2240,2,484
2900,2,637
2334,2,506
3907,2,852
3183,1,698
4327,2,942
4065,1,886
3412,1,748
532,1,117
1796,1,390
1588,2,348
3318,1,730
3688,2,806
3135,1,689
3563,2,778
1939,2,421
3945,1,861
3128,2,687
3667,1,803
528,2,116
2066,2,448
2918,2,641
1715,1,374
74,2,15
113,2,22
947,2,210
603,1,131
1832,2,397
1011,1,227
4481,1,979
1182,1,263
2640,1,579
357,2,78
1934,2,420
3620,2,790
609,1,132
63,2,12
4457,2,973
2881,1,632
478,2,105
2518,1,554
3866,1,846
1667,1,364
2436,2,531
4438,2,970
4281,1,932
4052,1,882
825,1,181
2008,2,437
3082,2,677
1612,2,352
1190,1,265
3438,2,753
2034,1,443
48,1,10
1999,1,435
3919,2,855
1774,1,385
2416,2,527
159,2,34
1020,2,228
199,2,44
3510,2,768
604,2,131
942,1,209
1538,2,336
2108,2,457
2158,1,467
2587,1,568
3252,2,715
804,1,175
2415,1,527
3589,1,785
1248,2,275
2756,2,604
507,2,112
4319,1,941
77,1,16
4011,2,873
3772,1,825
3204,2,704
94,1,19
374,1,83
4518,1,986
2110,2,457
2002,1,436
2199,1,476
320,1,72
1204,2,267
4572,2,999
4501,2,982
4017,1,875
2030,1,442
783,1,172
1104,1,245
3028,1,665
118,2,23
3899,2,851
2501,2,549
4309,2,938
2288,1,496
1001,1,224
681,2,149
3648,2,796
1656,2,361
983,1,219
2715,1,596
2025,2,440
