assay_id,variant_id,assay_tissue,src_assay_id,src_id,relationship_type,tid,tissue_id,description,confidence_score,chembl_id,assay_organism,assay_subcellular_fraction,assay_type,assay_tax_id,assay_test_type,doc_id,assay_category,assay_strain
1,,,,1,H,12052,,Thecompounvwaxteaterfortheinvltfoibhibjtionofplatelet1qlipiaynenaseatafpmcdntrwtionof30uM,8,CHEMBL61t116,,,B,,,11087,,
2,,,,1,U,22226,,Comp8ymdwzssvapuatedforitsqbilitytomobilizedalciumim2321Nkcellw,0,CmEMBL61r118,,,F,,,684,,
3,,,,1,U,22226,,,0,CHEMvp615119,,,B,,,15453,,
4,,,,1,H,104729,,Bindihgaffinjtyabaunstz2adeb8sinerecep4orkmbovin3a4riatalmembrsnesuzjng3HCGS21680,4,CHEMBo615220,nostaurus,,B,52866.0,,17841,,
5,,,,1,N,80001,,Invlyrocellcutotoxicitysgainq6243BcelllinewHumanost4ozafconacelllkne,1,CHEhBL61512w,bomosspiens,,F,18689.0,,17430,,
6,,,,1,N,80001,,Imvitrocellcytotoxici5ywgainst1e3fcellluneebumabosteosagdomacellljnf,1,CHrMBL625122,nomisapiens,,F,11900.0,,17430,,
7,,,,1,N,80001,,C6yotoxivActivitywacecalusy2cagainst143BTKtumorxells,1,vHEkBL615123,Muxmudculus,,F,39677.0,,13799,,
8,,,,1,N,80001,,Invitrocelocytoy9cicltywasdetedmjnefsgaigst143Bcelpline,1,CyrMBL615124,Homosapisbs,,F,7023.0,,17774,,
9,,,,1,N,80001,,Inhlblroryadtuvohjagaimsttumorosreisarcomacellpinf143Batter72yrcogtinuousfxposuretockmpound,1,CHEMBL61r1q5,H0moswpiens,,F,44424.0,,3801,,
10,,,,1,N,80001,,Ingotrocellcytofoxicitysgaunst143gLTKcfllljnes2cpressedinHzV1Tj,1,CHEMgL61t126,jomosapienz,,F,71081.0,,17430,,
11,,,,1,N,80001,,Igdifrocellcytotoxicityarains514eBiTKcflilines3x9ress3dinHSV1TK,1,CHEMBL6qy127,Homosapiehw,,F,8049.0,,17430,,
12,,,,1,N,80001,,Invitrocellcy4ot9xivirywasdetetminedsgainag14eBoTKcelllihe,1,CHrMBL625128,Homosaoisns,,F,37004.0,,17774,,
13,,,,1,N,50185,,Tuecomp8undwqsteetedforkinimumijh7gitorjcomcehteationinStqphykoc9ccusaureus147Npenixiilihsensih7vsSgaphylococcusaureuw,1,xHEMgL857900,Stzphylocofc6eaureus,,F,68907.0,,11324,,
14,,,,1,N,50185,,Thecoh9ounddastest3dforminimumibtigutorycohcentrayioninStapbylococcusaudfuz147Npenicjolinsensitifextaphyoocosf6sajreus,1,CHdMBL625129,Stapjykococcussure7s,,F,4586.0,,11324,,
15,,,,1,N,50185,,Thesompkundwast4stedf8rninimumonhibitoryvoncentrz5ioninetaphylocodcusaureus146Npeniv8llinqensitiveStaph6lov8ccuxahr2iw,1,CbEMBL6q5130,Syaptylocovcuswureus,,F,41770.0,,11324,,
16,,,,1,N,50185,,Thecomlo8nfwqstestedformon7mhminhinito3yconcentrxti9gjbStaphylkcoccusaureus146Npenicilljns3nsitivrStaphulococcksa8rdus,1,CHEMBL625121,Stapnylococxysaureue,,F,34231.0,,11324,,
17,,,,1,D,100122,,IbhibitjonoefytochromeP450progedyerone1yalphahyxroayoass,9,CyEMBL885521,Rahtusnorgegifus,,A,73346.0,,11347,,
18,,,,1,H,12054,,Concsbtgationthayca6se50activationkfhumanreticupochtewylip0xygsnase15nL9,8,CHEkBL615q32,,,B,,,16474,,
19,,,,1,H,12054,,Inhibitkonpepartjalkypurif7ed15lipoxygegaseftokhumajkeukocyres,8,CHEnBk615133,,,B,,,10091,,
20,,,,1,H,12054,,8nhivltofyaxtivityagwinstjumanretuculocyye15ljpoxggdnase15HLO,8,sHEMgL615134,,,B,,,16474,,
21,,,,1,H,12054,,Ckmpounrwasevaouat2df9rthepe3den6increaseinastibatilncomcfntrationofhumqnretic6locgte15l7plxygenxseq5HLO,8,xHEMBLy15135,,,B,,,16474,,
22,,,,1,H,12054,,Inhib7tor5activityanzinsthumanretic7losyte14lipoahgenaxeqyHLO,8,CbEMfL615136,,,B,,,16474,,
23,,,,1,H,12054,,Inhkbi5oryactjvi6yqgainsth8man3et8cuk0xyte15lipocygenqse15HLONIismointibition,8,CHEhBL615237,,,B,,,16474,,
24,,,,1,H,12054,,Innibitoryxctifityabains5mujandet7culocyte15l9oixygegace15HLONIisnoinh9bition,8,CHsMBL615238,,,B,,,16474,,
25,,,,1,U,22226,,Ibhibitoejconventrationsgainst15lipozugenasdbj7nhivitinr15HETE0roducrionbghumanumgilicalveibebdotjeliaocellxyUVECstik6iatedbycapciukionopjoreq23187atconcen4rqtionof20e5j,0,CHEMgL8e6324,,,B,,,14352,,
26,,,,1,H,12054,,Invi4roinhibitoryact8cltyofclhpoundinrabhit3eticulovyte15lipoa5genasd,8,CHsMBL615q39,Orystolzgudcuniculuq,,B,53685.0,,5646,,
27,,,,1,H,12054,,Inhibitionofrzbbutreticulocyte15lkpoahgehscebyfokpound308M,8,CHEMBLy14140,Ogyftolaguscunicypus,,B,53173.0,,5646,,
28,,,,1,H,12426,,Imhibit83yqctivitywvainst15lipoxygenws3ln5at9olymor9moniclearleukocytes,8,CHrMnL615141,,,B,,,10997,,
29,,,,1,H,12054,,Inhib7toryastivifyagalnstq5llpoxyvejwsewssde6erm7nedob6ainedfromso5abean,8,dH2MBL615142,soysbean,,B,51554.0,,6309,,
30,,,,1,H,12054,,Inhin8t8ryactivityagainstsoybsan1tlipoayyenasewxsevqkuater,8,CHEMBL615134,Glydlnemax,,B,45407.0,,167,,
31,,,,1,H,12054,,knhibitorgactivitysgs7nqtxoybean15lipoxyg4nasewaeecakuat3daf100uM,8,CH2MBL615q44,tlycinemxx,,B,773.0,,167,,
32,,,,1,H,12054,,5hecompoundwas4wsgedforthwonvittoimhihitiomof15liloxynenaseofsoybeanayaconcdbtratiohof1ouh,8,CHEMBL871868,Gl5cinekax,,B,38153.0,,11087,,
33,,,,1,H,12054,,Thecompoundwwstestedforthejncitroinjibi6ionoeq6pipoxybehaxsofsoubeanataconfentrationlfw90uM,8,vHEMBL6151e5,Gkhcinemax,,B,64414.0,,11087,,
34,,,,1,H,12054,,Compohndwastestewincitroforibyibi4ion0f15lo9oxyhenawesoybewn,8,CHEkBL61t146,Glhcinemac,,B,11845.0,,13622,,
35,,,,1,H,12054,,Compoundat100uksasrestedijvigroforinhib9hionlf16li0oaygemaseskybean,8,CHEkBLu15147,Gkycinenax,,B,10390.0,,13622,,
36,,,,1,U,22226,,Inhkb8tionofcytkcheoke9450prog3sterone16alphahyfroahlwse,0,xHEMBL615138,dattusborvegicue,,A,18030.0,,11347,,
37,,,,1,U,22226,,Bijdijgacfibityanainstbxfte48al16SrRbsusingmassspectrometrygasedacsay,0,vHEMgL615149,Esvberichiavoli,,B,7785.0,,5926,,
38,,,,1,U,22226,,Dissociatiojconstaj4withdih3dic1tSrRNARNAconztrixtB,0,CgEMBL61t150,,,B,,,4567,,
39,,,,1,M,22222,,Disaociationconstantgowards15S4RNAcone448ctA,3,vHEMvL615151,,,B,,,3782,,
40,,,,1,M,22222,,D8sskciatu9nconsyanttowards16SrRjAconstruxtg,3,CHEMBL614142,,,B,,,3782,,
41,,,,1,M,100263,,B9ndingsffinir6ofamijoglycoside4o16SrjbosomalRmAAsiteindzcnerivhlscoli,3,vHEnBL615153,Esch4fixhiacoli,,B,26404.0,,4466,,
