assay_id,assay_subcellular_fraction,assay_test_type,assay_type,tissue_id,assay_tax_id,doc_id,description,assay_category,assay_organism,assay_strain,assay_tissue,assay_cell_type,tid
1,,,B,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,,12052
2,,,F,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,,22226
3,,,B,,,15453,,,,,,,22226
4,,,B,,9913.0,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,Bos taurus,,,,104729
5,,,F,,9606.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,,,143B,80001
6,,,F,,9606.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,Homo sapiens,,,143B,80001
7,,,F,,10090.0,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,Mus musculus,,,143B,80001
8,,,F,,9606.0,17774,In vitro cell cytotoxicity was determined against 143B cell line,,Homo sapiens,,,143B,80001
9,,,F,,9606.0,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,Homo sapiens,,,143B,80001
10,,,F,,9606.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,,,143B,80001
11,,,F,,9606.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,Homo sapiens,,,143B,80001
12,,,F,,9606.0,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,Homo sapiens,,,143B,80001
13,,,F,,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,50185
14,,,F,,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,50185
15,,,F,,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,50185
16,,,F,,1280.0,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,,,,50185
17,,,A,,10116.0,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,,,,100122
18,,,B,,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,12054
19,,,B,,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,12054
20,,,B,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,12054
21,,,B,,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,12054
22,,,B,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,12054
23,,,B,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,12054
24,,,B,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,12054
25,,,B,,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,22226
26,,,B,,9986.0,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Oryctolagus cuniculus,,,,12054
27,,,B,,9986.0,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Oryctolagus cuniculus,,,,12054
28,,,B,,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,12426
29,,,B,,3847.0,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,soya bean,,,,12054
30,,,B,,3847.0,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Glycine max,,,,12054
31,,,B,,3847.0,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Glycine max,,,,12054
32,,,B,,3847.0,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Glycine max,,,,12054
33,,,B,,3847.0,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Glycine max,,,,12054
34,,,B,,3847.0,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,,,,12054
35,,,B,,3847.0,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,,,,12054
36,,,A,,10116.0,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Rattus norvegicus,,,,22226
37,,,B,,562.0,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Escherichia coli,,,,22226
38,,,B,,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,22226
39,,,B,,,3782,Dissociation constant towards 16S rRNA construct A,,,,,,22222
40,,,B,,,3782,Dissociation constant towards 16S rRNA construct B,,,,,,22222
41,,,B,,562.0,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Escherichia coli,,,,100263
42,,,B,,562.0,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Escherichia coli,,,,100263
43,,,B,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,13053
44,,,B,,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,13053
45,,,B,,9606.0,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,,,,20001
46,,,B,,9606.0,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,,,,20001
47,,,B,,10116.0,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,,,,12971
48,,,B,,10116.0,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,,,,12971
49,,,B,,10116.0,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,,,,12971
50,,,B,,10116.0,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,,,,12971
51,,,B,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,13053
52,,,B,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,11512
53,,,B,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,11512
54,,,B,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,11512
55,Membranes,,B,,10116.0,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Rattus norvegicus,,,,104740
56,,,F,,9606.0,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,Homo sapiens,,,1A9,80002
57,,,F,,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Rattus norvegicus,,,Oocytes,104835
58,,,F,,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Rattus norvegicus,,,Oocytes,104821
59,,,F,,10116.0,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Rattus norvegicus,,,Oocytes,104848
60,,,F,,9606.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,Homo sapiens,,,1A9,80002
61,,,F,,9606.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,Homo sapiens,,,1A9,80002
62,,,F,,9606.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,Homo sapiens,,,1A9,80002
63,,,F,,9606.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,Homo sapiens,,,1A9,80002
64,,,F,,9606.0,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,Homo sapiens,,,1A9,80002
65,,,F,,9606.0,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,Homo sapiens,,,1A9,80002
66,,,F,,9606.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,Homo sapiens,,,1A9,80002
67,,,F,,9606.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,Homo sapiens,,,1A9,80002
68,,,F,,9606.0,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,Homo sapiens,,,1A9,80002
69,,,F,,9606.0,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,Homo sapiens,,,1A9,80002
70,,,F,,9606.0,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,Homo sapiens,,,1A9,80002
71,,,F,,9606.0,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,Homo sapiens,,,1A9,80002
72,,,F,,9606.0,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,Homo sapiens,,,1A9,80002
73,,,F,,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,Homo sapiens,,,1A9,80002
74,,,F,,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,,,1A9,80002
75,,,F,,9606.0,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,,,1A9,80002
76,,,F,,9606.0,17721,Inhibitory concentration against Jurkat cells,,Homo sapiens,,,Jurkat,81072
77,,,F,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,22226
78,,,A,,10116.0,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,,,,100121
79,,,B,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,11231
