assays_ASI,assays_CHEI,assays_ASORGA,assays_ASSTIS,assays_ASSTY,assays_CURB,assays_T,assays_RELATY,assays_CONFSCO,assays_SI,assays_SASI,assays_CI,assays_BFO,assays_TII,assays_VAI
7524,CHEMBL618647,Rattus norvegicus,Kidney,A,Intermediate,50597,N,1,1,,,BAO_0000218,2113.0,
7525,CHEMBL618648,Rattus norvegicus,Kidney,A,Intermediate,50597,N,1,1,,,BAO_0000218,2113.0,
7526,CHEMBL618649,Rattus norvegicus,Kidney,A,Intermediate,50597,N,1,1,,,BAO_0000218,2113.0,
7527,CHEMBL618650,Rattus norvegicus,Liver,A,Intermediate,50597,N,1,1,,,BAO_0000218,2107.0,
7528,CHEMBL618651,Rattus norvegicus,Liver,A,Intermediate,50597,N,1,1,,,BAO_0000218,2107.0,
7529,CHEMBL876497,Rattus norvegicus,Liver,A,Intermediate,50597,N,1,1,,,BAO_0000218,2107.0,
7530,CHEMBL618652,Rattus norvegicus,Lung,A,Intermediate,50597,N,1,1,,,BAO_0000218,2048.0,
7531,CHEMBL618653,Rattus norvegicus,Lung,A,Intermediate,50597,N,1,1,,,BAO_0000218,2048.0,
7532,CHEMBL618654,Rattus norvegicus,Lung,A,Intermediate,50597,N,1,1,,,BAO_0000218,2048.0,
7533,CHEMBL618655,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7534,CHEMBL618656,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7535,CHEMBL618657,,,P,Intermediate,22229,U,0,1,,,BAO_0000100,,
7536,CHEMBL618658,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7537,CHEMBL618659,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7538,CHEMBL618660,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7539,CHEMBL618661,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7540,CHEMBL873807,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7541,CHEMBL618662,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7542,CHEMBL618663,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7543,CHEMBL618664,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7544,CHEMBL618665,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7545,CHEMBL876498,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7546,CHEMBL618666,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7547,CHEMBL620440,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7548,CHEMBL620441,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7549,CHEMBL620442,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7550,CHEMBL620443,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7551,CHEMBL620444,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7552,CHEMBL620445,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7553,CHEMBL620446,Rattus norvegicus,,A,Intermediate,50597,N,1,1,,,BAO_0000218,,
7554,CHEMBL620447,Rattus norvegicus,Plasma,A,Intermediate,50597,N,1,1,,,BAO_0000218,1969.0,
7555,CHEMBL621129,Rattus norvegicus,Plasma,A,Intermediate,50597,N,1,1,,,BAO_0000218,1969.0,
7556,CHEMBL621130,Rattus norvegicus,Plasma,A,Intermediate,50597,N,1,1,,,BAO_0000218,1969.0,
