ppersonale_id,data_pagamento,pagamento_id,inventario_id,data_restituzione,ammontare,npersonale_id,noleggio_id,cliente_id,data_noleggio
2,2005-08-22 02:15:26,4821,3354,2005-08-28 00:56:26,2.99,2,14849,177,2005-08-22 02:15:26
2,2005-08-21 21:43:53,10709,3617,2005-08-25 18:21:53,0.99,1,14720,395,2005-08-21 21:43:53
1,2005-07-27 09:53:43,4462,791,2005-08-05 09:36:43,6.99,2,7227,164,2005-07-27 09:53:43
1,2005-08-18 06:59:41,2054,2484,2005-08-23 01:36:41,1.99,1,12336,75,2005-08-18 06:59:41
1,2005-06-20 11:18:11,2853,4304,2005-06-21 12:43:11,4.99,1,3023,106,2005-06-20 11:18:11
1,2005-05-28 03:33:20,10343,3195,2005-05-31 04:23:20,2.99,1,522,382,2005-05-28 03:33:20
2,2005-08-18 06:51:05,6338,627,2005-08-20 04:28:05,2.99,2,12332,235,2005-08-18 06:51:05
1,2005-08-20 19:19:30,6674,1443,2005-08-23 15:37:30,4.99,2,13987,246,2005-08-20 19:19:30
1,2005-07-12 20:03:44,8466,2481,2005-07-15 01:55:44,2.99,1,6866,312,2005-07-12 20:03:44
1,2005-06-17 12:52:58,4584,787,2005-06-23 11:07:58,4.99,1,2023,169,2005-06-17 12:52:58
1,2005-07-10 03:08:55,2155,2551,2005-07-11 01:36:55,2.99,2,5555,79,2005-07-10 03:08:55
1,2005-06-19 23:47:24,1428,4260,2005-06-23 03:39:24,2.99,2,2862,52,2005-06-19 23:47:24
2,2005-08-17 00:05:05,16043,2033,2005-08-24 04:56:05,3.99,1,11522,599,2005-08-17 00:05:05
2,2005-07-06 02:48:39,7900,3832,2005-07-08 22:52:39,0.99,2,3557,292,2005-07-06 02:48:39
1,2005-07-31 04:05:01,14763,1210,2005-08-05 00:10:01,2.99,1,9616,550,2005-07-31 04:05:01
1,2005-08-01 07:42:10,9031,4144,2005-08-09 02:29:10,4.99,2,10408,334,2005-08-01 07:42:10
2,2005-08-18 11:19:47,1282,4478,2005-08-22 16:08:47,4.99,2,12455,46,2005-08-18 11:19:47
1,2005-07-11 08:02:27,5428,1354,2005-07-15 08:58:27,0.99,2,6123,200,2005-07-11 08:02:27
1,2005-08-02 00:27:50,2291,2470,2005-08-06 20:34:50,2.99,2,10872,84,2005-08-02 00:27:50
2,2005-08-20 02:05:57,14449,914,2005-08-23 05:52:57,4.99,1,13505,536,2005-08-20 02:05:57
2,2005-07-10 00:01:50,9224,1144,2005-07-10 20:43:50,4.99,1,5487,341,2005-07-10 00:01:50
1,2005-08-02 01:12:35,1411,598,2005-08-09 22:55:35,0.99,1,10894,51,2005-08-02 01:12:35
2,2005-06-21 02:18:14,15431,4079,2005-06-26 22:32:14,6.99,2,3226,576,2005-06-21 02:18:14
2,2005-08-23 00:28:16,13964,4378,2005-08-26 04:27:16,4.99,2,15434,518,2005-08-23 00:28:16
1,2005-07-31 05:02:00,15946,321,2005-08-02 02:04:00,2.99,2,9631,595,2005-07-31 05:02:00
2,2005-08-18 10:04:06,4316,4067,2005-08-24 08:45:06,5.99,2,12421,158,2005-08-18 10:04:06
2,2005-06-17 11:32:30,4423,323,2005-06-22 13:37:30,2.99,1,2000,163,2005-06-17 11:32:30
2,2005-07-29 03:18:34,1081,3197,2005-08-06 05:51:34,6.99,2,8307,39,2005-07-29 03:18:34
2,2005-06-18 15:56:53,14144,3001,2005-06-27 14:25:53,4.99,2,2398,526,2005-06-18 15:56:53
2,2005-07-31 02:11:16,10358,2108,2005-08-03 06:58:16,0.99,2,9555,382,2005-07-31 02:11:16
2,2005-07-08 16:32:54,13386,3409,2005-07-09 14:15:54,0.99,1,4795,497,2005-07-08 16:32:54
2,2005-08-21 01:15:59,1479,129,2005-08-27 23:36:59,5.99,2,14119,53,2005-08-21 01:15:59
1,2005-06-15 04:34:27,1790,3182,2005-06-18 08:15:27,2.99,1,1236,66,2005-06-15 04:34:27
1,2005-07-09 20:16:07,12845,3641,2005-07-14 21:41:07,0.99,2,5407,475,2005-07-09 20:16:07
2,2005-05-29 07:00:59,5321,3473,2005-06-06 01:17:59,3.99,1,730,197,2005-05-29 07:00:59
2,2005-05-27 13:28:52,11450,3983,2005-05-29 11:47:52,0.99,2,403,424,2005-05-27 13:28:52
1,2005-07-28 17:22:28,5867,209,2005-07-29 12:24:28,4.99,2,8068,216,2005-07-28 17:22:28
1,2005-08-17 20:40:46,14908,469,2005-08-20 18:18:46,4.99,2,12045,556,2005-08-17 20:40:46
1,2006-02-14 15:16:03,1148,3611,,2.99,1,15875,41,2006-02-14 15:16:03
1,2005-07-06 12:56:31,5133,1573,2005-07-09 14:49:31,0.99,1,3763,189,2005-07-06 12:56:31
2,2005-07-29 08:26:27,11046,2754,2005-08-05 04:26:27,3.99,2,8469,408,2005-07-29 08:26:27
1,2005-07-06 15:01:27,2694,4004,2005-07-15 11:12:27,8.99,2,3800,100,2005-07-06 15:01:27
1,2005-08-18 11:36:55,12492,2686,2005-08-23 13:46:55,4.99,1,12466,462,2005-08-18 11:36:55
1,2005-08-22 23:26:32,4260,165,2005-08-30 20:22:32,6.99,1,15408,156,2005-08-22 23:26:32
1,2005-08-02 00:00:54,1142,2682,2005-08-10 05:37:54,5.99,2,10853,41,2005-08-02 00:00:54
2,2005-08-21 08:08:43,2637,1257,2005-08-25 10:44:43,4.99,1,14323,97,2005-08-21 08:08:43
1,2005-08-23 18:59:33,14019,432,2005-08-31 13:02:33,7.99,2,15948,520,2005-08-23 18:59:33
1,2005-08-18 17:49:28,12219,1457,2005-08-24 12:23:28,4.99,1,12630,452,2005-08-18 17:49:28
1,2005-05-31 00:25:10,11171,4433,2005-06-03 06:05:10,4.99,2,999,413,2005-05-31 00:25:10
2,2005-08-19 15:52:13,14173,3086,2005-08-28 20:53:13,8.99,2,13224,526,2005-08-19 15:52:13
2,2005-06-16 09:24:38,14101,4444,2005-06-17 09:50:38,4.99,2,1651,524,2005-06-16 09:24:38
1,2005-07-29 14:38:17,14059,3947,2005-08-03 14:41:17,6.99,1,8642,522,2005-07-29 14:38:17
1,2005-07-08 23:46:38,12289,1033,2005-07-09 22:19:38,2.99,2,4964,455,2005-07-08 23:46:38
1,2005-08-22 02:31:51,4131,3292,2005-08-26 23:41:51,4.99,2,14856,151,2005-08-22 02:31:51
1,2005-07-31 15:56:35,5737,1646,2005-08-02 12:01:35,0.99,2,9953,211,2005-07-31 15:56:35
1,2005-07-30 16:45:56,2234,1224,2005-08-08 21:15:56,8.99,2,9305,82,2005-07-30 16:45:56
1,2005-07-09 07:19:35,7054,1423,2005-07-16 03:04:35,3.99,2,5122,261,2005-07-09 07:19:35
2,2005-07-06 06:38:21,9884,2583,2005-07-11 03:19:21,4.99,1,3632,366,2005-07-06 06:38:21
2,2005-05-27 15:56:57,14043,1103,2005-06-05 11:45:57,5.99,1,426,522,2005-05-27 15:56:57
2,2005-06-17 03:09:56,3619,159,2005-06-18 01:49:56,0.99,1,1881,134,2005-06-17 03:09:56
2,2005-07-31 14:39:50,3241,4282,2005-08-09 09:39:50,6.99,1,9907,120,2005-07-31 14:39:50
2,2005-05-25 01:17:24,12305,1941,2005-05-31 06:00:24,4.99,1,19,456,2005-05-25 01:17:24
2,2005-07-27 13:00:25,6174,1452,2005-08-03 16:04:25,5.99,1,7308,229,2005-07-27 13:00:25
2,2005-08-21 23:11:23,5279,1156,2005-08-30 20:01:23,7.99,2,14751,195,2005-08-21 23:11:23
1,2005-07-30 09:51:14,10074,3647,2005-08-07 06:23:14,5.99,1,9128,372,2005-07-30 09:51:14
1,2005-08-02 11:01:26,6999,871,2005-08-11 06:29:26,3.99,1,11184,259,2005-08-02 11:01:26
2,2005-07-09 07:20:30,5927,4278,2005-07-14 05:24:30,0.99,1,5123,219,2005-07-09 07:20:30
2,2005-08-19 22:46:35,10933,2806,2005-08-26 18:06:35,5.99,1,13412,404,2005-08-19 22:46:35
2,2005-07-11 21:06:17,830,1656,2005-07-16 02:51:17,2.99,2,6359,30,2005-07-11 21:06:17
2,2005-08-19 20:03:18,2012,1861,2005-08-24 20:09:18,0.99,2,13335,74,2005-08-19 20:03:18
1,2005-05-27 00:49:27,3879,2362,2005-05-30 03:12:27,2.99,1,323,144,2005-05-27 00:49:27
1,2005-07-28 11:49:53,340,3877,2005-07-29 15:01:53,2.99,1,7916,13,2005-07-28 11:49:53
1,2005-08-17 05:00:03,11314,3979,2005-08-22 01:45:03,4.99,2,11650,418,2005-08-17 05:00:03
2,2005-05-27 08:58:15,14578,3197,2005-06-02 04:48:15,4.99,1,376,542,2005-05-27 08:58:15
2,2005-07-27 03:06:09,2448,2439,2005-08-02 21:59:09,5.99,2,7035,90,2005-07-27 03:06:09
1,2005-07-11 03:32:23,4194,975,2005-07-14 07:39:23,0.99,1,6048,154,2005-07-11 03:32:23
1,2005-05-29 12:59:14,12864,353,2005-06-01 16:05:14,2.99,2,771,476,2005-05-29 12:59:14
2,2005-08-19 04:24:35,9853,1747,2005-08-27 07:13:35,3.99,2,12912,364,2005-08-19 04:24:35
1,2005-07-12 06:43:36,12765,1800,2005-07-16 12:18:36,2.99,2,6584,472,2005-07-12 06:43:36
2,2005-07-07 04:37:26,5664,2883,2005-07-13 06:45:26,5.99,2,4071,209,2005-07-07 04:37:26
1,2005-06-21 16:31:27,310,4250,2005-06-28 12:27:27,0.99,2,3411,12,2005-06-21 16:31:27
1,2005-06-15 02:27:07,7128,1097,2005-06-18 22:46:07,4.99,2,1206,264,2005-06-15 02:27:07
2,2005-08-01 04:56:13,8206,2289,2005-08-03 03:54:13,0.99,1,10329,302,2005-08-01 04:56:13
2,2005-07-12 00:59:53,4590,2506,2005-07-14 19:17:53,4.99,2,6453,169,2005-07-12 00:59:53
1,2005-08-22 10:50:13,10121,3268,2005-08-26 05:04:13,3.99,2,15068,373,2005-08-22 10:50:13
1,2005-08-21 02:22:47,13962,3371,2005-08-24 02:36:47,4.99,1,14149,518,2005-08-21 02:22:47
1,2005-08-19 04:27:11,4149,107,2005-08-20 03:04:11,4.99,2,12917,152,2005-08-19 04:27:11
2,2005-07-31 22:10:54,6941,1839,2005-08-09 19:04:54,4.99,2,10142,257,2005-07-31 22:10:54
1,2005-07-10 01:31:22,4961,1956,2005-07-17 05:42:22,2.99,2,5521,182,2005-07-10 01:31:22
2,2005-08-22 13:44:32,9506,1337,2005-08-29 14:19:32,4.99,1,15142,351,2005-08-22 13:44:32
2,2005-08-01 02:07:32,8495,432,2005-08-07 03:54:32,5.99,1,10237,313,2005-08-01 02:07:32
2,2005-07-27 23:54:44,13389,124,2005-07-29 01:24:44,2.99,1,7603,497,2005-07-27 23:54:44
1,2005-08-21 12:21:44,12607,3967,2005-08-22 15:07:44,0.99,2,14451,467,2005-08-21 12:21:44
2,2005-07-30 08:14:27,13176,456,2005-08-07 14:02:27,5.99,1,9083,488,2005-07-30 08:14:27
2,2005-08-01 01:31:56,15725,1443,2005-08-05 21:21:56,4.99,2,10224,587,2005-08-01 01:31:56
2,2005-07-12 17:33:53,10187,669,2005-07-18 16:28:53,2.99,2,6807,376,2005-07-12 17:33:53
1,2005-08-22 11:43:04,925,1983,2005-08-29 12:16:04,5.99,2,15096,33,2005-08-22 11:43:04
1,2005-07-29 07:08:36,11901,1624,2005-07-30 11:54:36,4.99,2,8427,441,2005-07-29 07:08:36
1,2005-07-28 16:11:15,3696,2715,2005-08-05 15:11:15,8.99,1,8028,137,2005-07-28 16:11:15
2,2005-08-19 20:44:00,5823,3523,2005-08-27 01:23:00,9.99,2,13350,214,2005-08-19 20:44:00
1,2005-07-29 21:46:21,6642,2041,2005-08-07 16:51:21,10.99,2,8811,245,2005-07-29 21:46:21
1,2005-07-29 04:41:13,3485,1870,2005-07-30 09:01:13,4.99,2,8339,129,2005-07-29 04:41:13
2,2005-08-22 06:35:50,1451,3274,2005-08-31 04:07:50,6.99,2,14961,52,2005-08-22 06:35:50
1,2005-06-18 19:44:08,5023,1024,2005-06-23 19:14:08,4.99,2,2459,185,2005-06-18 19:44:08
2,2005-06-15 18:30:46,14620,4228,2005-06-24 17:51:46,10.99,1,1434,544,2005-06-15 18:30:46
2,2005-08-19 22:20:49,4942,1554,2005-08-28 21:21:49,4.99,1,13405,181,2005-08-19 22:20:49
1,2005-07-09 09:08:53,15801,280,2005-07-14 06:01:53,0.99,1,5165,590,2005-07-09 09:08:53
2,2005-08-19 18:46:33,10117,4385,2005-08-22 20:45:33,2.99,1,13299,373,2005-08-19 18:46:33
2,2005-08-18 09:19:12,275,1767,2005-08-26 06:52:12,2.99,1,12400,10,2005-08-18 09:19:12
1,2005-08-23 16:44:56,14777,2792,2005-08-24 22:42:56,0.99,1,15883,550,2005-08-23 16:44:56
1,2005-07-06 05:11:04,1850,1317,2005-07-09 02:03:04,0.99,2,3598,68,2005-07-06 05:11:04
2,2005-06-16 14:11:52,9368,273,2005-06-25 08:49:52,8.99,1,1711,347,2005-06-16 14:11:52
1,2005-08-02 03:33:14,1501,4372,2005-08-09 09:20:14,4.99,2,10956,54,2005-08-02 03:33:14
1,2005-07-08 05:12:28,15079,3755,2005-07-17 03:38:28,3.99,2,4565,563,2005-07-08 05:12:28
2,2005-07-09 17:09:17,10284,698,2005-07-10 21:07:17,0.99,2,5339,380,2005-07-09 17:09:17
1,2005-07-08 11:04:53,3393,596,2005-07-09 07:48:53,0.99,1,4691,126,2005-07-08 11:04:53
1,2005-07-11 05:40:35,13421,3796,2005-07-17 07:14:35,1.99,2,6088,498,2005-07-11 05:40:35
2,2005-08-17 18:19:44,5384,2208,2005-08-18 19:14:44,2.99,2,11985,198,2005-08-17 18:19:44
2,2005-06-17 18:40:04,11834,569,2005-06-23 13:49:04,4.99,1,2097,439,2005-06-17 18:40:04
1,2006-02-14 15:16:03,12884,2727,,0.99,2,13941,476,2006-02-14 15:16:03
2,2005-08-02 16:57:37,4283,2968,2005-08-09 19:43:37,4.99,1,11335,157,2005-08-02 16:57:37
2,2005-06-15 10:26:23,3722,3891,2005-06-21 09:25:23,0.99,2,1316,138,2005-06-15 10:26:23
1,2005-08-18 07:02:24,3161,4221,2005-08-20 10:11:24,2.99,1,12337,117,2005-08-18 07:02:24
1,2005-08-17 04:59:26,5898,3222,2005-08-20 04:02:26,2.99,2,11649,217,2005-08-17 04:59:26
2,2005-08-20 04:13:17,15121,1551,2005-08-24 06:38:17,0.99,1,13558,564,2005-08-20 04:13:17
1,2005-07-29 06:52:54,8545,1999,2005-08-05 09:50:54,5.99,2,8416,315,2005-07-29 06:52:54
1,2005-06-19 18:05:11,8110,2809,2005-06-21 16:21:11,2.99,2,2774,299,2005-06-19 18:05:11
2,2005-06-21 02:23:16,2250,215,2005-06-22 01:37:16,4.99,2,3230,83,2005-06-21 02:23:16
2,2005-07-12 01:41:44,13043,2589,2005-07-15 20:48:44,4.99,1,6478,483,2005-07-12 01:41:44
2,2005-08-20 06:20:42,3021,1460,2005-08-28 10:07:42,8.99,1,13611,112,2005-08-20 06:20:42
2,2005-08-01 00:12:36,7966,4563,2005-08-07 05:08:36,0.99,1,10186,294,2005-08-01 00:12:36
2,2005-07-11 09:07:01,14537,1359,2005-07-19 08:21:01,7.99,1,6145,540,2005-07-11 09:07:01
2,2005-07-12 15:13:49,14670,4098,2005-07-20 09:31:49,9.99,2,6758,546,2005-07-12 15:13:49
1,2005-08-22 17:49:35,8103,2545,2005-08-26 18:25:35,3.99,2,15245,298,2005-08-22 17:49:35
2,2005-06-19 05:40:11,14894,2031,2005-06-28 08:11:11,5.99,1,2593,556,2005-06-19 05:40:11
2,2005-07-09 18:04:29,5296,2994,2005-07-15 17:46:29,3.99,2,5353,196,2005-07-09 18:04:29
2,2005-05-25 06:39:35,13405,2965,2005-05-30 10:12:35,2.99,2,49,498,2005-05-25 06:39:35
1,2005-07-28 22:22:35,4353,1249,2005-07-31 19:30:35,4.99,1,8184,160,2005-07-28 22:22:35
2,2005-07-09 10:13:45,10679,2866,2005-07-16 15:55:45,4.99,2,5183,394,2005-07-09 10:13:45
2,2005-06-21 18:07:07,10314,4548,2005-06-27 22:59:07,2.99,2,3425,381,2005-06-21 18:07:07
2,2005-07-30 07:58:12,12071,496,2005-08-08 06:04:12,5.99,1,9076,447,2005-07-30 07:58:12
2,2005-08-18 07:57:47,13565,3343,2005-08-22 11:32:47,2.99,1,12370,503,2005-08-18 07:57:47
1,2005-07-07 08:19:20,12315,1904,2005-07-11 06:54:20,3.99,1,4141,456,2005-07-07 08:19:20
2,2005-08-23 16:45:28,2217,2255,2005-08-27 20:18:28,1.99,1,15884,81,2005-08-23 16:45:28
2,2005-08-01 06:50:26,324,3017,2005-08-10 10:52:26,10.99,1,10392,12,2005-08-01 06:50:26
2,2005-07-12 17:09:08,13475,872,2005-07-21 22:25:08,3.99,1,6801,500,2005-07-12 17:09:08
2,2006-02-14 15:16:03,1670,387,,9.98,2,12489,60,2006-02-14 15:16:03
1,2005-08-01 11:00:20,12405,3293,2005-08-10 11:52:20,7.99,2,10499,459,2005-08-01 11:00:20
2,2005-08-01 02:52:05,15179,1881,2005-08-03 20:54:05,2.99,1,10259,566,2005-08-01 02:52:05
2,2005-07-28 15:25:58,10068,337,2005-08-04 10:16:58,7.99,2,8009,372,2005-07-28 15:25:58
1,2005-07-29 16:07:47,14440,3549,2005-08-02 18:37:47,4.99,1,8679,536,2005-07-29 16:07:47
1,2005-06-17 06:54:42,331,980,2005-06-26 02:00:42,2.99,1,1933,13,2005-06-17 06:54:42
1,2005-08-18 02:50:02,14275,982,2005-08-22 00:20:02,4.99,1,12220,530,2005-08-18 02:50:02
1,2005-07-06 08:11:48,9019,3827,2005-07-09 12:25:48,4.99,2,3662,334,2005-07-06 08:11:48
2,2005-08-02 20:13:14,10612,3154,2005-08-05 15:01:14,2.99,1,11434,391,2005-08-02 20:13:14
1,2005-07-08 08:57:21,2031,2459,2005-07-14 11:22:21,5.99,2,4639,75,2005-07-08 08:57:21
2,2005-06-15 08:16:06,7183,2597,2005-06-21 04:10:06,5.99,2,1280,266,2005-06-15 08:16:06
1,2005-07-31 08:50:08,6551,2605,2005-08-08 12:21:08,6.99,2,9730,242,2005-07-31 08:50:08
1,2005-07-06 20:38:02,3066,187,2005-07-11 23:35:02,2.99,2,3924,114,2005-07-06 20:38:02
2,2005-08-18 17:06:22,13135,2327,2005-08-20 21:30:22,2.99,1,12609,486,2005-08-18 17:06:22
2,2005-07-09 07:35:03,4524,3179,2005-07-10 06:05:03,0.99,1,5131,167,2005-07-09 07:35:03
1,2005-05-26 12:49:01,6623,4438,2005-05-28 11:43:01,0.99,2,241,245,2005-05-26 12:49:01
2,2005-06-17 22:26:23,12309,326,2005-06-26 17:10:23,6.99,1,2146,456,2005-06-17 22:26:23
2,2005-07-31 06:00:52,7646,2332,2005-08-09 04:47:52,9.99,2,9658,282,2005-07-31 06:00:52
1,2005-07-07 17:36:56,791,91,2005-07-13 12:00:56,0.99,1,4313,29,2005-07-07 17:36:56
1,2005-07-28 23:31:05,8150,3424,2005-08-06 17:36:05,6.99,1,8210,300,2005-07-28 23:31:05
2,2005-08-01 06:46:48,13533,1489,2005-08-09 02:55:48,4.99,2,10390,502,2005-08-01 06:46:48
2,2005-07-27 16:58:33,5814,2952,2005-07-30 22:17:33,4.99,1,7417,214,2005-07-27 16:58:33
1,2005-07-30 23:58:36,6519,2808,2005-08-07 21:08:36,6.99,2,9500,241,2005-07-30 23:58:36
1,2005-07-28 11:56:57,11252,2071,2005-07-29 14:06:57,2.99,1,7917,416,2005-07-28 11:56:57
2,2005-06-17 08:50:58,1846,2496,2005-06-26 13:39:58,8.99,2,1957,68,2005-06-17 08:50:58
2,2005-07-06 19:09:15,8388,1755,2005-07-16 00:52:15,7.99,2,3896,309,2005-07-06 19:09:15
1,2005-07-09 04:20:35,5984,917,2005-07-18 08:09:35,5.99,2,5058,221,2005-07-09 04:20:35
1,2005-07-26 23:15:50,15855,1768,2005-07-27 19:14:50,0.99,1,6937,592,2005-07-26 23:15:50
2,2005-07-09 02:35:32,7159,3938,2005-07-17 22:46:32,7.99,1,5029,265,2005-07-09 02:35:32
2,2005-07-09 21:39:35,1601,1993,2005-07-13 17:45:35,1.99,2,5439,58,2005-07-09 21:39:35
1,2005-08-20 06:39:26,9879,1068,2005-08-23 05:22:26,2.99,2,13619,365,2005-08-20 06:39:26
1,2005-06-16 02:47:07,9273,145,2005-06-24 03:12:07,6.99,1,1564,343,2005-06-16 02:47:07
2,2005-08-18 22:22:31,15149,2630,2005-08-27 00:31:31,5.99,1,12743,565,2005-08-18 22:22:31
1,2005-08-02 11:21:34,6860,922,2005-08-05 05:23:34,0.99,1,11190,254,2005-08-02 11:21:34
2,2005-07-28 17:37:28,1676,2175,2005-07-29 11:56:28,4.99,2,8075,61,2005-07-28 17:37:28
