assay_category,assay_tax_id,doc_id,description,assay_strain,assay_id,tid,assay_organism,assay_subcellular_fraction,assay_cell_type,assay_tissue,tissue_id,assay_type,src_assay_id,variant_id,cell_id,src_id,confidence_score,bao_format,relationship_type,assay_test_type,chembl_id,curated_by
,10116.0,9866,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7524,50597,Rattus norvegicus,,,Kidney,2113.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618647,Intermediate
,10116.0,9866,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,7525,50597,Rattus norvegicus,,,Kidney,2113.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618648,Intermediate
,10116.0,9866,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,7526,50597,Rattus norvegicus,,,Kidney,2113.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618649,Intermediate
,10116.0,9866,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7527,50597,Rattus norvegicus,,,Liver,2107.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618650,Intermediate
,10116.0,9866,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,7528,50597,Rattus norvegicus,,,Liver,2107.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618651,Intermediate
,10116.0,9866,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,7529,50597,Rattus norvegicus,,,Liver,2107.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL876497,Intermediate
,10116.0,9866,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7530,50597,Rattus norvegicus,,,Lung,2048.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618652,Intermediate
,10116.0,9866,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,7531,50597,Rattus norvegicus,,,Lung,2048.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618653,Intermediate
,10116.0,9866,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,7532,50597,Rattus norvegicus,,,Lung,2048.0,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618654,Intermediate
,10116.0,6351,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,7533,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618655,Intermediate
,10116.0,1465,Compound was tested for solubility in water,,7534,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618656,Intermediate
,,5182,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,7535,22229,,,,,,P,,,,1,0,BAO_0000100,U,,CHEMBL618657,Intermediate
,10116.0,17847,Solubility was determined,,7536,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618658,Intermediate
,10116.0,15339,solubility in water (ug/mL) at 37 degree C.,,7537,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618659,Intermediate
,10116.0,5202,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,7538,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618660,Intermediate
,10116.0,1088,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,7539,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618661,Intermediate
,10116.0,3169,Half life in rats,,7540,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL873807,Intermediate
,10116.0,5353,Half life in Dawley rat,,7541,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618662,Intermediate
,10116.0,2864,Half life period after 3 mg/kg iv administration,,7542,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618663,Intermediate
,10116.0,2864,Half life period after 3 mg/kg iv administration in rat,,7543,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618664,Intermediate
,10116.0,2864,Half life period after 3 mg/kg iv administration in the rat,,7544,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL618665,Intermediate
,10116.0,6362,Half life period in female Sprague-Dawley rats,,7545,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL876498,Intermediate
,10116.0,6249,Half life period in rat,,7546,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL618666,Intermediate
,10116.0,3169,Half-life in rats was determined,,7547,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL620440,Intermediate
,10116.0,3169,Half-life in rats with metabolic oxidation,,7548,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL620441,Intermediate
,10116.0,3169,Half-life in rats,,7549,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,,CHEMBL620442,Intermediate
,10116.0,17260,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,7550,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL620443,Intermediate
,10116.0,17260,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,7551,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL620444,Intermediate
,10116.0,17260,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,7552,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL620445,Intermediate
,10116.0,17260,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,7553,50597,Rattus norvegicus,,,,,A,,,,1,1,BAO_0000218,N,In vivo,CHEMBL620446,Intermediate
