assays_ss_d,assays_ss_sbclllr_frctn,assays_ss_strn,assays_ss_tst_tp,assays_ss_tx_d,assays_tss_d,assays_src_ss_d,assays_vrnt_d,assays_td,assays_ss_ctgr,assays_src_d,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_chmbl_d,assays_cll_d,assays_b_frmt
1,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615117,,BAO_0000019
2,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615118,,BAO_0000219
3,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615119,,BAO_0000019
4,,,,9913.0,,,,104729,,1,H,4,Autocuration,CHEMBL615120,,BAO_0000249
5,,,,9606.0,,,,80001,,1,N,1,Intermediate,CHEMBL615121,163.0,BAO_0000219
6,,,,9606.0,,,,80001,,1,N,1,Intermediate,CHEMBL615122,163.0,BAO_0000219
7,,,,10090.0,,,,80001,,1,N,1,Intermediate,CHEMBL615123,163.0,BAO_0000219
8,,,,9606.0,,,,80001,,1,N,1,Expert,CHEMBL615124,163.0,BAO_0000219
9,,,,9606.0,,,,80001,,1,N,1,Intermediate,CHEMBL615125,163.0,BAO_0000219
10,,,,9606.0,,,,80001,,1,N,1,Intermediate,CHEMBL615126,163.0,BAO_0000219
11,,,,9606.0,,,,80001,,1,N,1,Intermediate,CHEMBL615127,163.0,BAO_0000219
12,,,,9606.0,,,,80001,,1,N,1,Expert,CHEMBL615128,163.0,BAO_0000219
13,,,,1280.0,,,,50185,,1,N,1,Intermediate,CHEMBL857900,,BAO_0000218
14,,,,1280.0,,,,50185,,1,N,1,Intermediate,CHEMBL615129,,BAO_0000218
15,,,,1280.0,,,,50185,,1,N,1,Intermediate,CHEMBL615130,,BAO_0000218
16,,,,1280.0,,,,50185,,1,N,1,Intermediate,CHEMBL615131,,BAO_0000218
17,,,,10116.0,,,,100122,,1,D,9,Expert,CHEMBL884521,,BAO_0000357
18,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615132,,BAO_0000357
19,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615133,,BAO_0000019
20,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615134,,BAO_0000357
21,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615135,,BAO_0000357
22,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615136,,BAO_0000357
23,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615137,,BAO_0000357
24,,,,,,,,12054,,1,H,8,Autocuration,CHEMBL615138,,BAO_0000357
25,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL836324,,BAO_0000219
26,,,,9986.0,,,,12054,,1,H,8,Autocuration,CHEMBL615139,,BAO_0000357
27,,,,9986.0,,,,12054,,1,H,8,Autocuration,CHEMBL615140,,BAO_0000357
28,,,,,,,,12426,,1,H,8,Autocuration,CHEMBL615141,,BAO_0000219
29,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615142,,BAO_0000357
30,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615143,,BAO_0000357
31,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615144,,BAO_0000357
32,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL872867,,BAO_0000357
33,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615145,,BAO_0000357
34,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615146,,BAO_0000357
35,,,,3847.0,,,,12054,,1,H,8,Autocuration,CHEMBL615147,,BAO_0000357
36,,,,10116.0,,,,22226,,1,U,0,Autocuration,CHEMBL615148,,BAO_0000019
37,,,,562.0,,,,22226,,1,U,0,Autocuration,CHEMBL615149,,BAO_0000019
38,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615150,,BAO_0000019
39,,,,,,,,22222,,1,M,3,Intermediate,CHEMBL615151,,BAO_0000225
40,,,,,,,,22222,,1,M,3,Intermediate,CHEMBL615152,,BAO_0000225
41,,,,562.0,,,,100263,,1,M,3,Expert,CHEMBL615153,,BAO_0000225
42,,,,562.0,,,,100263,,1,M,3,Expert,CHEMBL615154,,BAO_0000225
43,,,,,,,,13053,,1,H,8,Autocuration,CHEMBL615155,,BAO_0000019
44,,,,,,,,13053,,1,H,8,Autocuration,CHEMBL615156,,BAO_0000019
