miller2_fsclr,miller2_ctstlfrdvlpmnt(mrkr),miller2_cntnntd,miller2_brnchd,miller2_rgnstnsb-clss,miller2_rtcprcnt,miller2_brnchnm,miller2_rgnlprgrm(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_cfl(mrkr),miller2_rgnstntp,miller2_dsrtfctn(mrkr),miller2_prgrmmngprcss(nw),miller2_fstcprcnt,miller2_sctnnm,miller2_mntspnt,miller2_rgnstnd,miller2_knwldgfrdvlpmnt(mrkr),miller2_sctrnm,miller2_stts,miller2_dvsnnm,miller2_rgnstnnm,miller2_prtcptrdvlpmntndgdgvrnnc,miller2_clmtchngdpttn(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrprcnt
2009/2010,1,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,75768.0,1005967,1,Multilateral trade negotiations,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Asia,X3,X3,Asia MC,0.22,33140,0.14
2009/2010,1,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,273306.0,1005967,1,Sectors not specified,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Asia,X3,X3,Asia MC,0.22,99810,0.505
2009/2010,1,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,210969.6,1005967,1,Medical services,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.32,12191,0.268
2009/2010,1,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,36998.4,1005967,1,Water resources conservation (including data collection),Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.32,14015,0.047
2009/2010,1,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,31488.0,1005967,1,Nuclear energy electric power plants,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.32,23510,0.04
2009/2010,1,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,110208.0,1005967,1,Multilateral trade negotiations,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.32,33140,0.14
2009/2010,1,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MIO United Nations,397536.0,1005967,1,Sectors not specified,Closed,MID International Organizations,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.32,99810,0.505
2009/2010,0,1,B5100,REGIONAL ORGANIZATION,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,300000.0,1001300,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,PAHO - Pan American Health Organization,0,0,0,0,0,0,0,Multilateral,America,SV,SV,El Salvador,1.0,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,1500000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,X1,X1,Africa MC,0.5,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,450000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,X2,X2,Americas MC,0.15,72010,1.0
