assays_assay_id,assays_tid,assays_assay_test_type,assays_bao_format,assays_cell_id,assays_assay_cell_type,assays_description,assays_assay_category,assays_src_assay_id,assays_relationship_type,assays_curated_by,assays_assay_type,assays_assay_tax_id,assays_chembl_id,assays_variant_id,assays_tissue_id,assays_assay_tissue,assays_assay_subcellular_fraction,assays_confidence_score,assays_src_id
1,12052,,BAO_0000019,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,H,Autocuration,B,,CHEMBL615117,,,,,8,1
2,22226,,BAO_0000219,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,U,Autocuration,F,,CHEMBL615118,,,,,0,1
3,22226,,BAO_0000019,,,,,,U,Autocuration,B,,CHEMBL615119,,,,,0,1
4,104729,,BAO_0000249,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,H,Autocuration,B,9913.0,CHEMBL615120,,,,,4,1
5,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,N,Intermediate,F,9606.0,CHEMBL615121,,,,,1,1
6,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,N,Intermediate,F,9606.0,CHEMBL615122,,,,,1,1
7,80001,,BAO_0000219,163.0,143B,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,N,Intermediate,F,10090.0,CHEMBL615123,,,,,1,1
8,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity was determined against 143B cell line,,,N,Expert,F,9606.0,CHEMBL615124,,,,,1,1
9,80001,,BAO_0000219,163.0,143B,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,N,Intermediate,F,9606.0,CHEMBL615125,,,,,1,1
10,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,N,Intermediate,F,9606.0,CHEMBL615126,,,,,1,1
11,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,N,Intermediate,F,9606.0,CHEMBL615127,,,,,1,1
12,80001,,BAO_0000219,163.0,143B,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,N,Expert,F,9606.0,CHEMBL615128,,,,,1,1
13,50185,,BAO_0000218,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,N,Intermediate,F,1280.0,CHEMBL857900,,,,,1,1
14,50185,,BAO_0000218,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,N,Intermediate,F,1280.0,CHEMBL615129,,,,,1,1
15,50185,,BAO_0000218,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,N,Intermediate,F,1280.0,CHEMBL615130,,,,,1,1
16,50185,,BAO_0000218,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,N,Intermediate,F,1280.0,CHEMBL615131,,,,,1,1
17,100122,,BAO_0000357,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,D,Expert,A,10116.0,CHEMBL884521,,,,,9,1
18,12054,,BAO_0000357,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,H,Autocuration,B,,CHEMBL615132,,,,,8,1
19,12054,,BAO_0000019,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,H,Autocuration,B,,CHEMBL615133,,,,,8,1
20,12054,,BAO_0000357,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,H,Autocuration,B,,CHEMBL615134,,,,,8,1
