miller2_fsclr,miller2_chldrnsss(mrkr),miller2_rgnstnd,miller2_rtcprcnt,miller2_sctrprcnt,miller2_rgnstnnm,miller2_nvrmntlsstnblt(mrkr),miller2_cntnntd,miller2_fstcprcnt,miller2_prjctnmbr,miller2_rbnsss(mrkr),miller2_pbtp,miller2_cntrrgnd,miller2_cntnntnm,miller2_brnchd,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_clmtchngdpttn(mrkr),miller2_prjctbrwsrcntrd,miller2_sctrnm,miller2_trddvlpmnt(mrkr),miller2_fndcntrd,miller2_prgrmmngprcss(nw),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_clmtchngmtgtn(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_bdvrst(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_rgnstntp,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_mntspnt
2009/2010,0,1005967,0.0,0.14,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,3,0.0,M013170001,0,Not PBA,X3,Asia,B5100,2460000.0,0,X3,Multilateral trade negotiations,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia MC,0.22,33140,75768.0
2009/2010,0,1005967,0.0,0.505,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,3,0.0,M013170001,0,Not PBA,X3,Asia,B5100,2460000.0,0,X3,Sectors not specified,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia MC,0.22,99810,273306.0
2009/2010,0,1005967,0.0,0.268,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,5,0.0,M013170001,0,Not PBA,X4,Europe,B5100,2460000.0,0,X4,Medical services,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.32,12191,210969.6
2009/2010,0,1005967,0.0,0.047,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,5,0.0,M013170001,0,Not PBA,X4,Europe,B5100,2460000.0,0,X4,Water resources conservation (including data collection),0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.32,14015,36998.4
2009/2010,0,1005967,0.0,0.04,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,5,0.0,M013170001,0,Not PBA,X4,Europe,B5100,2460000.0,0,X4,Nuclear energy electric power plants,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.32,23510,31488.0
2009/2010,0,1005967,0.0,0.14,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,5,0.0,M013170001,0,Not PBA,X4,Europe,B5100,2460000.0,0,X4,Multilateral trade negotiations,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.32,33140,110208.0
2009/2010,0,1005967,0.0,0.505,IAEA - International Atomic Energy Agency Technical Cooperation Fund,1,5,0.0,M013170001,0,Not PBA,X4,Europe,B5100,2460000.0,0,X4,Sectors not specified,0,5291,Uncoded: Pre-APP,0,0,0,1,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.32,99810,397536.0
2009/2010,0,1001300,0.0,1.0,PAHO - Pan American Health Organization,0,1,0.0,M013171001,0,Not PBA,SV,America,B5100,300000.0,0,SV,Material relief assistance and services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,El Salvador,1.0,72010,300000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,2,0.0,M013172001,0,Not PBA,X1,Africa,B5100,3000000.0,0,X1,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Africa MC,0.5,72010,1500000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,1,0.0,M013172001,0,Not PBA,X2,America,B5100,3000000.0,0,X2,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Americas MC,0.15,72010,450000.0
