assays_src_id,assays_cell_id,assays_curated_by,assays_description,assays_relationship_type,assays_assay_strain,assays_src_assay_id,assays_assay_organism,assays_assay_cell_type,assays_assay_subcellular_fraction,assays_assay_tax_id,assays_bao_format,assays_tid,assays_confidence_score,assays_assay_category,assays_tissue_id,assays_chembl_id,assays_assay_test_type,assays_assay_tissue,assays_doc_id,assays_assay_type,assays_assay_id,assays_variant_id
1,,Intermediate,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2113.0,CHEMBL618647,In vivo,Kidney,9866,A,7524,
1,,Intermediate,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2113.0,CHEMBL618648,In vivo,Kidney,9866,A,7525,
1,,Intermediate,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2113.0,CHEMBL618649,In vivo,Kidney,9866,A,7526,
1,,Intermediate,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2107.0,CHEMBL618650,In vivo,Liver,9866,A,7527,
1,,Intermediate,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2107.0,CHEMBL618651,In vivo,Liver,9866,A,7528,
1,,Intermediate,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2107.0,CHEMBL876497,In vivo,Liver,9866,A,7529,
1,,Intermediate,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2048.0,CHEMBL618652,In vivo,Lung,9866,A,7530,
1,,Intermediate,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2048.0,CHEMBL618653,In vivo,Lung,9866,A,7531,
1,,Intermediate,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,2048.0,CHEMBL618654,In vivo,Lung,9866,A,7532,
1,,Intermediate,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618655,,,6351,A,7533,
1,,Intermediate,Compound was tested for solubility in water,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618656,,,1465,A,7534,
1,,Intermediate,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),U,,,,,,,BAO_0000100,22229,0,,,CHEMBL618657,,,5182,P,7535,
1,,Intermediate,Solubility was determined,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618658,,,17847,A,7536,
1,,Intermediate,solubility in water (ug/mL) at 37 degree C.,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618659,,,15339,A,7537,
1,,Intermediate,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618660,,,5202,A,7538,
1,,Intermediate,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,N,,,Rattus norvegicus,,,10116.0,BAO_0000218,50597,1,,,CHEMBL618661,,,1088,A,7539,
