Fiscal year,Division name,CFLI (marker),Maximum CIDA contribution (project-level),Youth issues (marker),Section name,Fund centre ID,ICT as a tool for development (marker),Bilateral aid (international marker),Urban issues (marker),Status,Amount spent,Knowledge for development (marker),Disability issues (marker),FSTC percent,Section ID,Branch name,Sector ID,Branch ID,Programming process (new),Biodiversity (marker),Desertification (marker),Continent name,Continent ID,CountryRegion percent,Sector percent,Organisation sub-class,Regional program (marker),Untied amount(Project-level budget),Enviromental sustainability (marker),Project number,Project Browser country ID,Fund centre name,Organisation type,Organisation ID,Division ID,IRTC percent,CIDA business delivery model (old),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance,Trade development (marker)
2009/2010,OAD Asia Programming,0,8500267.65,0,Bangladesh Section,4122,0,1,0,Closed,3932.842,0,0,1.0,S4122,OGM Asia Pacific,15150,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.2,CONSULTANT,0,8500267.65,0,A017716001,BD,Bangladesh,Canadian Profit Making,Information not available,D4100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,8500267.65,0,Bangladesh Section,4122,0,1,0,Closed,5899.263000000001,0,0,1.0,S4122,OGM Asia Pacific,24040,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.3,CONSULTANT,0,8500267.65,0,A017716001,BD,Bangladesh,Canadian Profit Making,Information not available,D4100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,8500267.65,0,Bangladesh Section,4122,0,1,0,Closed,9832.105,0,0,1.0,S4122,OGM Asia Pacific,25020,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.5,CONSULTANT,0,8500267.65,0,A017716001,BD,Bangladesh,Canadian Profit Making,Information not available,D4100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,EDD Europe-Middle East Programming,0,500458.33,0,West Bank Gaza & Palestinian Refugees,4265,0,1,0,Closed,20502.06,0,0,0.0,S4264,"EGM Europe, Middle East and Maghreb",99810,B3100,Uncoded: Pre-APP,0,0,Asia,3,1.0,1.0,FEDERAL,0,0.0,0,A018652001,PS,West Bank Gaza,Canadian Non-Profit Making,10050,D3100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,14410076.46,0,Mali Program Section,4216,0,1,1,Closed,14226.985,0,0,1.0,S4215,WGM Sub-Saharan Africa,16020,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.5,FEDERAL,0,14410076.46,0,A018893001,ML,Mali,Canadian Non-Profit Making,10050,D4207,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,14410076.46,0,Mali Program Section,4216,0,1,1,Closed,11381.588,0,0,1.0,S4215,WGM Sub-Saharan Africa,32310,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.4,FEDERAL,0,14410076.46,0,A018893001,ML,Mali,Canadian Non-Profit Making,10050,D4207,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,14410076.46,0,Mali Program Section,4216,0,1,1,Closed,2845.397,0,0,1.0,S4215,WGM Sub-Saharan Africa,43030,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,FEDERAL,0,14410076.46,0,A018893001,ML,Mali,Canadian Non-Profit Making,10050,D4207,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,13743220.56,0,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0,1,0,Closed,142315.2,0,0,1.0,S4141,OGM Asia Pacific,15110,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.4,FEDERAL,0,13743220.56,0,A019043001,PK,Pakistan,Canadian Non-Profit Making,10050,D4100,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,13743220.56,0,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0,1,0,Closed,142315.2,0,0,1.0,S4141,OGM Asia Pacific,15111,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.4,FEDERAL,0,13743220.56,0,A019043001,PK,Pakistan,Canadian Non-Profit Making,10050,D4100,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,13743220.56,0,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0,1,0,Closed,71157.6,0,0,1.0,S4141,OGM Asia Pacific,16010,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.2,FEDERAL,0,13743220.56,0,A019043001,PK,Pakistan,Canadian Non-Profit Making,10050,D4100,0.0,Responsive,Not PBA,0,0,1,0
