assays_ss_d,assays_vrnt_d,assays_src_d,assays_ss_sbclllr_frctn,assays_ss_rgnsm,assays_cll_d,assays_ss_cll_tp,assays_td,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_b_frmt,assays_tss_d
1,,1,,,,,12052,H,8,Autocuration,,CHEMBL615117,BAO_0000019,
2,,1,,,,,22226,U,0,Autocuration,,CHEMBL615118,BAO_0000219,
3,,1,,,,,22226,U,0,Autocuration,,CHEMBL615119,BAO_0000019,
4,,1,,Bos taurus,,,104729,H,4,Autocuration,,CHEMBL615120,BAO_0000249,
5,,1,,Homo sapiens,163.0,143B,80001,N,1,Intermediate,,CHEMBL615121,BAO_0000219,
6,,1,,Homo sapiens,163.0,143B,80001,N,1,Intermediate,,CHEMBL615122,BAO_0000219,
7,,1,,Mus musculus,163.0,143B,80001,N,1,Intermediate,,CHEMBL615123,BAO_0000219,
8,,1,,Homo sapiens,163.0,143B,80001,N,1,Expert,,CHEMBL615124,BAO_0000219,
9,,1,,Homo sapiens,163.0,143B,80001,N,1,Intermediate,,CHEMBL615125,BAO_0000219,
10,,1,,Homo sapiens,163.0,143B,80001,N,1,Intermediate,,CHEMBL615126,BAO_0000219,
11,,1,,Homo sapiens,163.0,143B,80001,N,1,Intermediate,,CHEMBL615127,BAO_0000219,
12,,1,,Homo sapiens,163.0,143B,80001,N,1,Expert,,CHEMBL615128,BAO_0000219,
13,,1,,Staphylococcus aureus,,,50185,N,1,Intermediate,,CHEMBL857900,BAO_0000218,
14,,1,,Staphylococcus aureus,,,50185,N,1,Intermediate,,CHEMBL615129,BAO_0000218,
15,,1,,Staphylococcus aureus,,,50185,N,1,Intermediate,,CHEMBL615130,BAO_0000218,
16,,1,,Staphylococcus aureus,,,50185,N,1,Intermediate,,CHEMBL615131,BAO_0000218,
17,,1,,Rattus norvegicus,,,100122,D,9,Expert,,CHEMBL884521,BAO_0000357,
18,,1,,,,,12054,H,8,Autocuration,,CHEMBL615132,BAO_0000357,
19,,1,,,,,12054,H,8,Autocuration,,CHEMBL615133,BAO_0000019,
20,,1,,,,,12054,H,8,Autocuration,,CHEMBL615134,BAO_0000357,
21,,1,,,,,12054,H,8,Autocuration,,CHEMBL615135,BAO_0000357,
22,,1,,,,,12054,H,8,Autocuration,,CHEMBL615136,BAO_0000357,
23,,1,,,,,12054,H,8,Autocuration,,CHEMBL615137,BAO_0000357,
24,,1,,,,,12054,H,8,Autocuration,,CHEMBL615138,BAO_0000357,
25,,1,,,,,22226,U,0,Autocuration,,CHEMBL836324,BAO_0000219,
26,,1,,Oryctolagus cuniculus,,,12054,H,8,Autocuration,,CHEMBL615139,BAO_0000357,
27,,1,,Oryctolagus cuniculus,,,12054,H,8,Autocuration,,CHEMBL615140,BAO_0000357,
28,,1,,,,,12426,H,8,Autocuration,,CHEMBL615141,BAO_0000219,
29,,1,,soya bean,,,12054,H,8,Autocuration,,CHEMBL615142,BAO_0000357,
30,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL615143,BAO_0000357,
31,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL615144,BAO_0000357,
32,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL872867,BAO_0000357,
33,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL615145,BAO_0000357,
34,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL615146,BAO_0000357,
35,,1,,Glycine max,,,12054,H,8,Autocuration,,CHEMBL615147,BAO_0000357,
36,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615148,BAO_0000019,
37,,1,,Escherichia coli,,,22226,U,0,Autocuration,,CHEMBL615149,BAO_0000019,
38,,1,,,,,22226,U,0,Autocuration,,CHEMBL615150,BAO_0000019,
39,,1,,,,,22222,M,3,Intermediate,,CHEMBL615151,BAO_0000225,
40,,1,,,,,22222,M,3,Intermediate,,CHEMBL615152,BAO_0000225,
41,,1,,Escherichia coli,,,100263,M,3,Expert,,CHEMBL615153,BAO_0000225,
42,,1,,Escherichia coli,,,100263,M,3,Expert,,CHEMBL615154,BAO_0000225,
43,,1,,,,,13053,H,8,Autocuration,,CHEMBL615155,BAO_0000019,
44,,1,,,,,13053,H,8,Autocuration,,CHEMBL615156,BAO_0000019,
45,,1,,Homo sapiens,,,20001,H,8,Autocuration,,CHEMBL615157,BAO_0000019,
46,,1,,Homo sapiens,,,20001,H,8,Autocuration,,CHEMBL615158,BAO_0000019,
47,,1,,Rattus norvegicus,,,12971,D,9,Expert,,CHEMBL615159,BAO_0000019,
48,,1,,Rattus norvegicus,,,12971,D,9,Expert,,CHEMBL615172,BAO_0000019,
49,,1,,Rattus norvegicus,,,12971,D,9,Expert,,CHEMBL615173,BAO_0000019,
50,,1,,Rattus norvegicus,,,12971,D,9,Expert,,CHEMBL615174,BAO_0000019,
51,,1,,,,,13053,H,8,Autocuration,,CHEMBL884518,BAO_0000019,
52,,1,,,,,11512,H,8,Autocuration,,CHEMBL615175,BAO_0000357,
53,,1,,,,,11512,H,8,Autocuration,,CHEMBL615176,BAO_0000357,
54,,1,,,,,11512,H,8,Autocuration,,CHEMBL615177,BAO_0000357,
55,,1,Membranes,Rattus norvegicus,,,104740,D,5,Autocuration,,CHEMBL615178,BAO_0000249,
56,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615179,BAO_0000219,
57,,1,,Rattus norvegicus,,Oocytes,104835,D,7,Autocuration,,CHEMBL615180,BAO_0000219,
58,,1,,Rattus norvegicus,,Oocytes,104821,D,7,Autocuration,,CHEMBL615181,BAO_0000219,
59,,1,,Rattus norvegicus,,Oocytes,104848,D,7,Autocuration,,CHEMBL615182,BAO_0000219,
60,,1,,Homo sapiens,506.0,1A9,80002,N,1,Expert,,CHEMBL615183,BAO_0000219,
61,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615184,BAO_0000219,
62,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615185,BAO_0000219,
63,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615186,BAO_0000219,
64,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615187,BAO_0000219,
65,,1,,Homo sapiens,506.0,1A9,80002,N,1,Expert,,CHEMBL885343,BAO_0000219,
66,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615188,BAO_0000219,
67,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615189,BAO_0000219,
68,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615190,BAO_0000219,
69,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615191,BAO_0000219,
70,,1,,Homo sapiens,506.0,1A9,80002,N,1,Expert,,CHEMBL615192,BAO_0000219,
71,,1,,Homo sapiens,506.0,1A9,80002,N,1,Expert,,CHEMBL827083,BAO_0000219,
72,,1,,Homo sapiens,506.0,1A9,80002,N,1,Expert,,CHEMBL615193,BAO_0000219,
73,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615194,BAO_0000219,
74,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615195,BAO_0000219,
75,,1,,Homo sapiens,506.0,1A9,80002,N,1,Intermediate,,CHEMBL615196,BAO_0000219,
76,,1,,Homo sapiens,503.0,Jurkat,81072,N,1,Intermediate,,CHEMBL615197,BAO_0000219,
77,,1,,,,,22226,U,0,Intermediate,,CHEMBL615198,BAO_0000019,
78,,1,,Rattus norvegicus,,,100121,D,9,Expert,,CHEMBL615199,BAO_0000357,
79,,1,,,,,11231,H,8,Expert,,CHEMBL615200,BAO_0000357,
