noleggio_id,cliente_id,data_pagamento,pagamento_id,ammontare,personale_id
5221,84,2005-07-09 12:02:23,2280,5.99,1
6346,445,2005-07-11 20:08:34,12004,0.99,1
12521,369,2005-08-18 13:43:07,9997,0.99,1
11075,503,2005-08-02 07:24:23,13562,2.99,2
4486,197,2005-07-08 01:09:09,5332,8.99,1
13818,495,2005-08-20 13:20:09,13353,4.99,2
10621,172,2005-08-01 15:10:26,4677,0.99,2
4344,99,2005-07-07 18:50:47,2669,4.99,2
2777,230,2005-06-19 18:16:26,6193,0.99,1
2636,253,2005-06-19 09:13:06,6818,4.99,2
11512,373,2005-08-16 23:51:06,10110,7.99,2
13351,42,2006-02-14 15:16:03,1177,5.98,1
12042,570,2005-08-17 20:36:37,15285,4.99,2
4828,92,2005-07-08 17:52:29,2512,4.99,2
11079,29,2005-08-02 07:29:10,803,4.99,1
9960,569,2005-07-31 16:05:52,15243,1.99,2
218,309,2005-05-26 09:27:09,8381,6.99,2
1827,423,2005-06-16 21:54:40,11425,0.99,2
11758,533,2005-08-17 09:33:02,14364,8.99,1
15377,551,2005-08-22 22:22:33,14804,4.99,1
9265,560,2005-07-30 14:55:25,15006,0.99,1
8809,8,2005-07-29 21:42:49,220,1.99,1
8981,310,2005-07-30 04:25:30,8425,7.99,1
279,384,2005-05-26 18:02:50,10394,2.99,2
10983,380,2005-08-02 04:24:23,10295,3.99,1
6192,314,2005-07-11 11:44:41,8514,5.99,1
657,65,2005-05-28 20:23:09,1768,0.99,2
8604,326,2005-07-29 13:07:13,8815,4.99,1
9594,148,2005-07-31 03:23:52,4038,4.99,1
8392,65,2005-07-29 06:00:27,1777,1.99,2
11965,490,2005-08-17 17:39:45,13228,2.99,2
10274,375,2005-08-01 03:16:51,10163,0.99,1
1861,454,2005-06-17 01:17:31,12251,1.99,1
13310,311,2005-08-19 19:05:16,8450,0.99,2
10576,180,2005-08-01 13:46:02,4904,5.99,1
4499,199,2005-07-08 02:08:48,5397,2.99,1
540,119,2005-05-28 06:40:25,3190,6.99,2
15284,393,2005-08-22 19:17:08,10669,3.99,2
5902,228,2005-07-10 20:31:24,6149,0.99,2
10664,337,2005-08-01 16:51:15,9114,0.99,1
3799,251,2005-07-06 15:00:14,6766,4.99,1
6398,296,2005-07-11 22:34:49,8030,5.99,1
11475,194,2005-08-02 21:55:09,5256,5.99,2
15263,324,2005-08-22 18:27:33,8777,4.99,1
3620,88,2005-07-06 06:01:50,2393,0.99,2
12570,211,2005-08-18 15:23:31,5744,5.99,2
9748,550,2005-07-31 09:17:56,14764,0.99,1
10160,295,2005-07-31 23:07:40,8006,4.99,2
15045,161,2005-08-22 09:53:23,4399,5.99,2
9642,68,2005-07-31 05:33:57,1858,4.99,2
