categoria_id,nome_categoria,film_id
9,Foreign,455
13,New,685
14,Sci-Fi,138
7,Drama,514
7,Drama,827
4,Classics,744
7,Drama,969
13,New,481
15,Sports,263
16,Travel,88
16,Travel,872
13,New,340
14,Sci-Fi,798
6,Documentary,221
4,Classics,266
3,Children,505
7,Drama,979
7,Drama,143
15,Sports,260
5,Comedy,704
9,Foreign,623
3,Children,491
8,Family,269
9,Foreign,961
1,Action,850
4,Classics,341
1,Action,210
5,Comedy,317
15,Sports,577
10,Games,956
7,Drama,630
13,New,751
2,Animation,703
8,Family,43
1,Action,327
1,Action,793
9,Foreign,311
9,Foreign,984
9,Foreign,337
14,Sci-Fi,714
12,Music,133
6,Documentary,708
9,Foreign,459
10,Games,747
3,Children,761
15,Sports,777
2,Animation,355
9,Foreign,290
1,Action,252
8,Family,5
12,Music,255
13,New,686
10,Games,742
15,Sports,612
14,Sci-Fi,374
6,Documentary,622
3,Children,768
8,Family,262
1,Action,97
4,Classics,663
8,Family,80
13,New,32
4,Classics,951
10,Games,382
13,New,538
7,Drama,225
6,Documentary,199
9,Foreign,467
6,Documentary,992
15,Sports,841
16,Travel,123
9,Foreign,246
6,Documentary,101
4,Classics,249
16,Travel,988
13,New,226
8,Family,183
2,Animation,953
1,Action,29
7,Drama,772
9,Foreign,353
6,Documentary,400
2,Animation,259
3,Children,959
4,Classics,180
10,Games,310
11,Horror,922
12,Music,647
8,Family,231
13,New,760
15,Sports,361
3,Children,889
1,Action,21
3,Children,993
15,Sports,667
1,Action,707
12,Music,454
12,Music,936
14,Sci-Fi,369
13,New,632
14,Sci-Fi,912
11,Horror,527
9,Foreign,207
13,New,933
5,Comedy,119
7,Drama,61
12,Music,921
11,Horror,804
10,Games,861
10,Games,236
5,Comedy,858
15,Sports,570
10,Games,211
6,Documentary,575
3,Children,450
1,Action,287
11,Horror,8
4,Classics,808
5,Comedy,938
15,Sports,619
5,Comedy,410
11,Horror,171
13,New,920
7,Drama,910
16,Travel,125
6,Documentary,812
9,Foreign,52
9,Foreign,770
11,Horror,881
1,Action,38
12,Music,220
14,Sci-Fi,132
11,Horror,9
11,Horror,313
4,Classics,425
10,Games,352
5,Comedy,388
16,Travel,347
8,Family,700
12,Music,797
13,New,806
13,New,492
3,Children,786
14,Sci-Fi,924
4,Classics,91
12,Music,581
3,Children,214
5,Comedy,443
4,Classics,469
15,Sports,519
9,Foreign,201
6,Documentary,952
7,Drama,272
6,Documentary,412
12,Music,877
9,Foreign,566
5,Comedy,555
13,New,251
2,Animation,859
16,Travel,648
9,Foreign,957
6,Documentary,1
7,Drama,379
14,Sci-Fi,285
3,Children,626
7,Drama,666
11,Horror,665
1,Action,802
10,Games,306
14,Sci-Fi,559
13,New,913
5,Comedy,365
8,Family,679
16,Travel,977
7,Drama,539
15,Sports,10
13,New,935
12,Music,17
2,Animation,89
8,Family,534
5,Comedy,335
16,Travel,811
9,Foreign,565
9,Foreign,416
4,Classics,652
1,Action,130
2,Animation,402
1,Action,838
14,Sci-Fi,69
2,Animation,134
14,Sci-Fi,520
9,Foreign,689
10,Games,483
6,Documentary,925
5,Comedy,1000
3,Children,48
12,Music,980
13,New,289
2,Animation,154
7,Drama,98
16,Travel,496
5,Comedy,28
12,Music,12
4,Classics,962
6,Documentary,156
9,Foreign,414
10,Games,842
15,Sports,503
12,Music,997
10,Games,563
8,Family,753
7,Drama,64
3,Children,157
3,Children,59
12,Music,721
8,Family,724
14,Sci-Fi,723
6,Documentary,571
7,Drama,944
5,Comedy,814
10,Games,447
13,New,490
5,Comedy,906
4,Classics,116
3,Children,999
11,Horror,30
14,Sci-Fi,73
8,Family,31
9,Foreign,460
15,Sports,237
8,Family,53
4,Classics,895
11,Horror,24
1,Action,594
2,Animation,887
1,Action,194
16,Travel,224
16,Travel,894
8,Family,145
3,Children,124
5,Comedy,159
6,Documentary,3
6,Documentary,393
16,Travel,601
7,Drama,186
2,Animation,121
5,Comedy,857
5,Comedy,660
13,New,558
2,Animation,986
10,Games,302
2,Animation,489
9,Foreign,900
13,New,465
2,Animation,245
9,Foreign,567
3,Children,149
5,Comedy,444
16,Travel,181
10,Games,646
4,Classics,445
6,Documentary,713
13,New,108
5,Comedy,978
3,Children,873
11,Horror,716
16,Travel,609
8,Family,442
12,Music,20
2,Animation,36
13,New,580
13,New,96
9,Foreign,47
3,Children,547
10,Games,507
16,Travel,826
10,Games,976
6,Documentary,966
9,Foreign,929
13,New,730
13,New,720
6,Documentary,687
10,Games,406
14,Sci-Fi,296
6,Documentary,670
3,Children,168
8,Family,71
9,Foreign,185
9,Foreign,421
10,Games,934
14,Sci-Fi,572
10,Games,387
6,Documentary,587
4,Classics,731
5,Comedy,178
11,Horror,593
1,Action,697
11,Horror,658
8,Family,621
5,Comedy,202
10,Games,556
16,Travel,513
6,Documentary,943
14,Sci-Fi,26
11,Horror,495
13,New,677
9,Foreign,380
9,Foreign,376
5,Comedy,127
15,Sports,782
11,Horror,92
7,Drama,728
16,Travel,981
8,Family,419
4,Classics,358
11,Horror,535
8,Family,458
16,Travel,783
9,Foreign,6
15,Sports,813
3,Children,409
1,Action,105
13,New,948
13,New,163
11,Horror,13
5,Comedy,385
13,New,90
10,Games,217
10,Games,46
11,Horror,2
7,Drama,368
7,Drama,958
11,Horror,856
6,Documentary,552
2,Animation,644
8,Family,832
11,Horror,740
12,Music,462
8,Family,829
10,Games,232
10,Games,381
4,Classics,190
6,Documentary,788
3,Children,344
1,Action,982
5,Comedy,265
15,Sports,902
5,Comedy,524
14,Sci-Fi,985
14,Sci-Fi,817
2,Animation,118
7,Drama,766
11,Horror,749
3,Children,280
9,Foreign,669
3,Children,238
10,Games,546
6,Documentary,776
14,Sci-Fi,235
8,Family,867
1,Action,530
3,Children,485
11,Horror,301
6,Documentary,441
1,Action,115
4,Classics,480
15,Sports,678
5,Comedy,638
10,Games,281
13,New,95
3,Children,918
1,Action,229
7,Drama,683
10,Games,331
11,Horror,494
6,Documentary,855
8,Family,550
15,Sports,606
5,Comedy,837
8,Family,557
6,Documentary,627
11,Horror,222
11,Horror,65
4,Classics,862
12,Music,477
7,Drama,758
3,Children,755
12,Music,426
9,Foreign,738
7,Drama,618
7,Drama,282
7,Drama,790
14,Sci-Fi,114
10,Games,141
15,Sports,764
4,Classics,523
1,Action,968
7,Drama,803
11,Horror,506
15,Sports,917
1,Action,56
7,Drama,706
16,Travel,257
13,New,216
1,Action,417
11,Horror,122
13,New,155
16,Travel,167
16,Travel,103
10,Games,781
7,Drama,172
2,Animation,325
16,Travel,645
2,Animation,693
10,Games,560
16,Travel,989
7,Drama,897
8,Family,82
8,Family,715
9,Foreign,595
9,Foreign,16
16,Travel,233
15,Sports,446
7,Drama,173
6,Documentary,219
13,New,759
13,New,448
1,Action,250
5,Comedy,522
9,Foreign,726
1,Action,586
5,Comedy,529
14,Sci-Fi,930
2,Animation,433
3,Children,955
10,Games,596
15,Sports,898
16,Travel,386
15,Sports,773
11,Horror,34
15,Sports,628
15,Sports,851
16,Travel,878
3,Children,608
16,Travel,451
2,Animation,160
6,Documentary,295
13,New,270
8,Family,778
9,Foreign,674
9,Foreign,661
2,Animation,880
7,Drama,504
1,Action,126
15,Sports,875
2,Animation,330
1,Action,927
2,Animation,892
8,Family,213
3,Children,853
5,Comedy,613
8,Family,50
4,Classics,843
14,Sci-Fi,153
1,Action,549
1,Action,111
15,Sports,691
13,New,846
2,Animation,70
7,Drama,230
5,Comedy,657
11,Horror,351
12,Music,54
14,Sci-Fi,137
6,Documentary,712
15,Sports,254
1,Action,318
4,Classics,899
7,Drama,882
3,Children,373
6,Documentary,544
13,New,305
14,Sci-Fi,422
8,Family,682
2,Animation,564
4,Classics,357
1,Action,212
3,Children,370
4,Classics,537
5,Comedy,568
3,Children,688
12,Music,161
4,Classics,725
7,Drama,366
5,Comedy,413
14,Sci-Fi,397
8,Family,348
6,Documentary,150
15,Sports,293
13,New,22
3,Children,66
13,New,283
3,Children,833
5,Comedy,680
15,Sports,532
15,Sports,681
2,Animation,78
14,Sci-Fi,39
14,Sci-Fi,338
6,Documentary,72
8,Family,498
13,New,675
11,Horror,722
15,Sports,763
12,Music,158
2,Animation,583
16,Travel,868
8,Family,617
8,Family,315
6,Documentary,85
9,Foreign,170
8,Family,94
11,Horror,995
7,Drama,775
13,New,109
7,Drama,204
10,Games,654
14,Sci-Fi,972
11,Horror,600
16,Travel,87
8,Family,822
1,Action,991
4,Classics,611
6,Documentary,164
10,Games,264
2,Animation,326
16,Travel,339
5,Comedy,754
11,Horror,35
4,Classics,536
15,Sports,113
10,Games,189
4,Classics,874
8,Family,736
10,Games,362
15,Sports,474
10,Games,200
1,Action,205
13,New,45
3,Children,328
1,Action,869
6,Documentary,457
1,Action,964
12,Music,540
11,Horror,909
1,Action,162
12,Music,363
9,Foreign,198
10,Games,106
16,Travel,656
11,Horror,990
12,Music,86
14,Sci-Fi,140
2,Animation,916
10,Games,408
13,New,937
15,Sports,197
10,Games,835
4,Classics,891
11,Horror,334
11,Horror,258
13,New,750
2,Animation,615
1,Action,360
6,Documentary,698
13,New,144
3,Children,883
6,Documentary,973
13,New,267
13,New,590
15,Sports,453
2,Animation,901
10,Games,614
1,Action,271
3,Children,801
12,Music,76
15,Sports,372
7,Drama,923
6,Documentary,996
13,New,77
2,Animation,743
7,Drama,942
4,Classics,815
3,Children,343
9,Foreign,705
6,Documentary,261
3,Children,152
9,Foreign,947
1,Action,717
10,Games,624
13,New,561
9,Foreign,605
15,Sports,176
15,Sports,809
12,Music,278
1,Action,574
9,Foreign,908
12,Music,673
8,Family,345
6,Documentary,945
15,Sports,420
5,Comedy,502
14,Sci-Fi,81
9,Foreign,971
10,Games,949
8,Family,780
8,Family,391
9,Foreign,104
15,Sports,729
9,Foreign,399
2,Animation,569
6,Documentary,791
7,Drama,771
6,Documentary,616
9,Foreign,486
7,Drama,521
15,Sports,42
2,Animation,268
14,Sci-Fi,319
16,Travel,75
13,New,436
14,Sci-Fi,655
9,Foreign,452
2,Animation,23
14,Sci-Fi,203
12,Music,333
16,Travel,642
2,Animation,18
1,Action,579
4,Classics,828
1,Action,67
1,Action,794
11,Horror,885
16,Travel,543
2,Animation,193
16,Travel,307
11,Horror,415
14,Sci-Fi,234
12,Music,879
9,Foreign,769
3,Children,356
16,Travel,288
15,Sports,463
11,Horror,876
14,Sci-Fi,44
9,Foreign,789
14,Sci-Fi,860
6,Documentary,888
2,Animation,464
8,Family,309
15,Sports,120
10,Games,699
6,Documentary,466
12,Music,767
8,Family,866
14,Sci-Fi,350
13,New,994
2,Animation,849
7,Drama,907
8,Family,499
12,Music,741
4,Classics,554
14,Sci-Fi,394
3,Children,573
2,Animation,582
6,Documentary,407
16,Travel,526
12,Music,384
2,Animation,816
5,Comedy,756
2,Animation,349
12,Music,983
15,Sports,256
8,Family,359
15,Sports,102
8,Family,437
6,Documentary,62
7,Drama,401
4,Classics,37
14,Sci-Fi,625
13,New,974
9,Foreign,435
3,Children,588
13,New,321
2,Animation,963
6,Documentary,497
10,Games,941
1,Action,371
16,Travel,169
4,Classics,950
16,Travel,914
6,Documentary,589
15,Sports,383
4,Classics,131
5,Comedy,404
10,Games,762
9,Foreign,531
4,Classics,346
1,Action,911
3,Children,928
12,Music,819
6,Documentary,336
2,Animation,223
6,Documentary,248
6,Documentary,650
2,Animation,651
15,Sports,733
15,Sports,135
7,Drama,107
5,Comedy,939
6,Documentary,206
11,Horror,275
3,Children,304
8,Family,428
1,Action,732
3,Children,896
11,Horror,870
4,Classics,694
5,Comedy,905
9,Foreign,112
7,Drama,418
1,Action,329
4,Classics,432
15,Sports,745
16,Travel,785
4,Classics,484
12,Music,752
1,Action,395
2,Animation,510
6,Documentary,40
15,Sports,389
14,Sci-Fi,637
2,Animation,820
9,Foreign,440
5,Comedy,99
9,Foreign,821
2,Animation,243
4,Classics,525
16,Travel,41
6,Documentary,834
2,Animation,692
16,Travel,342
4,Classics,512
15,Sports,517
5,Comedy,182
11,Horror,965
8,Family,139
5,Comedy,242
13,New,635
7,Drama,473
8,Family,795
1,Action,375
9,Foreign,607
5,Comedy,7
6,Documentary,427
14,Sci-Fi,831
7,Drama,79
14,Sci-Fi,967
3,Children,423
15,Sports,488
8,Family,610
6,Documentary,629
16,Travel,57
7,Drama,33
16,Travel,286
14,Sci-Fi,49
11,Horror,737
11,Horror,653
6,Documentary,142
9,Foreign,148
2,Animation,690
5,Comedy,308
16,Travel,434
9,Foreign,11
15,Sports,676
10,Games,597
8,Family,603
8,Family,476
2,Animation,865
8,Family,824
4,Classics,228
1,Action,303
7,Drama,439
4,Classics,487
5,Comedy,765
11,Horror,799
14,Sci-Fi,839
14,Sci-Fi,893
9,Foreign,128
2,Animation,239
8,Family,639
5,Comedy,324
6,Documentary,129
12,Music,398
1,Action,19
2,Animation,430
3,Children,852
9,Foreign,100
8,Family,63
1,Action,664
12,Music,74
3,Children,191
9,Foreign,640
15,Sports,719
4,Classics,297
8,Family,946
15,Sports,598
15,Sports,836
9,Foreign,533
12,Music,718
10,Games,701
5,Comedy,871
10,Games,117
12,Music,884
10,Games,591
7,Drama,662
11,Horror,4
16,Travel,405
14,Sci-Fi,367
2,Animation,241
15,Sports,668
6,Documentary,757
1,Action,292
13,New,320
4,Classics,548
14,Sci-Fi,151
2,Animation,461
2,Animation,456
13,New,136
15,Sports,27
3,Children,515
7,Drama,396
4,Classics,166
10,Games,746
10,Games,508
1,Action,501
8,Family,727
7,Drama,818
8,Family,528
9,Foreign,584
1,Action,748
4,Classics,60
6,Documentary,274
14,Sci-Fi,240
2,Animation,470
10,Games,684
15,Sports,671
5,Comedy,672
15,Sports,429
16,Travel,931
12,Music,987
2,Animation,314
14,Sci-Fi,165
14,Sci-Fi,195
2,Animation,696
11,Horror,830
12,Music,51
10,Games,227
7,Drama,739
