data_rilascio,durata,lingua_originale_id,voto,lingua,descrizione,film_id,titolo,durata_noleggio,tariffa_noleggio,costo_sostituzione
2006,177,,PG,English,A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria,729,RIDER CADDYSHACK,5,2.99,28.99
2006,126,,G,English,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,11,ALAMO VIDEOTAPE,6,0.99,16.99
2006,111,,R,English,A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat,889,TIES HUNGER,3,4.99,28.99
2006,102,,G,English,A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park,412,HEAVYWEIGHTS BEAST,6,4.99,25.99
2006,142,,PG,English,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico,308,FERRIS MOTHER,3,2.99,13.99
2006,171,,NC-17,English,A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat,483,JERICHO MULAN,3,2.99,29.99
2006,91,,NC-17,English,A Insightful Story of a Man And a Husband who must Overcome a Madman in A Monastery,520,LICENSE WEEKEND,7,2.99,28.99
2006,80,,PG,English,A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria,532,LOSER HUSTLER,5,4.99,28.99
2006,83,,G,English,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,959,WARLOCK WEREWOLF,6,2.99,10.99
2006,180,,G,English,A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China,612,MUSSOLINI SPOILERS,6,2.99,10.99
2006,85,,NC-17,English,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,270,EARTH VISION,7,0.99,29.99
2006,92,,NC-17,English,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,120,CARIBBEAN LIBERTY,3,4.99,16.99
2006,160,,PG-13,English,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin,667,PEACH INNOCENT,3,2.99,20.99
2006,68,,PG-13,English,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery,235,DIVIDE MONSTER,6,2.99,13.99
2006,69,,PG,English,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat,423,HOLLYWOOD ANONYMOUS,7,0.99,29.99
2006,142,,G,English,A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria,901,TRACY CIDER,3,0.99,29.99
2006,147,,NC-17,English,A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California,709,RACER EGG,7,2.99,19.99
2006,86,,PG-13,English,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,348,GANDHI KWAI,7,0.99,9.99
2006,65,,PG,English,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback,536,LOVELY JINGLE,3,2.99,18.99
2006,173,,PG,English,A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat,875,TALENTED HOMICIDE,6,0.99,9.99
