attore_id,cognome,nome
99,MOSTEL,JIM
15,OLIVIER,CUBA
10,GABLE,CHRISTIAN
60,BERRY,HENRY
147,WINSLET,FAY
117,TRACY,RENEE
132,HOPPER,ADAM
151,HESTON,GEOFFREY
63,WRAY,CAMERON
188,DUKAKIS,ROCK
85,ZELLWEGER,MINNIE
176,CHASE,JON
53,TEMPLE,MENA
156,WOOD,FAY
2,WAHLBERG,NICK
68,WINSLET,RIP
144,WITHERSPOON,ANGELA
172,WILLIAMS,GROUCHO
27,MCQUEEN,JULIA
16,COSTNER,FRED
143,DEAN,RIVER
76,ASTAIRE,ANGELINA
149,TEMPLE,RUSSELL
26,CRAWFORD,RIP
38,MCKELLEN,TOM
18,TORN,DAN
75,POSEY,BURT
28,HOFFMAN,WOODY
106,DUNST,GROUCHO
73,PENN,GARY
185,BOLGER,MICHAEL
152,HARRIS,BEN
100,DEPP,SPENCER
49,CRONYN,ANNE
145,ALLEN,KIM
83,WILLIS,BEN
129,CRAWFORD,DARYL
164,WILLIS,HUMPHREY
77,MCCONAUGHEY,CARY
58,AKROYD,CHRISTIAN
44,STALLONE,NICK
128,MCQUEEN,CATE
45,KILMER,REESE
19,FAWCETT,BOB
61,NEESON,CHRISTIAN
124,BENING,SCARLETT
65,HUDSON,ANGELA
22,MARX,ELVIS
160,DEPP,CHRIS
54,PINKETT,PENELOPE
43,JOVOVICH,KIRK
171,PFEIFFER,OLYMPIA
161,HOPE,HARVEY
130,KEITEL,GRETA
138,DEE,LUCILLE
190,BAILEY,AUDREY
12,BERRY,KARL
181,CARREY,MATTHEW
159,BRODY,LAURA
36,DUKAKIS,BURT
51,PHOENIX,GARY
70,MCCONAUGHEY,MICHELLE
96,WILLIS,GENE
103,LEIGH,MATTHEW
166,DEGENERES,NICK
59,TAUTOU,DUSTIN
84,PITT,JAMES
69,PALTROW,KENNETH
102,TORN,WALTER
89,DENCH,CHARLIZE
168,WILSON,WILL
50,HOPKINS,NATALIE
184,GARLAND,HUMPHREY
34,OLIVIER,AUDREY
90,GUINESS,SEAN
67,BAILEY,JESSICA
80,CRUZ,RALPH
29,WAYNE,ALEC
52,HUNT,CARMEN
33,PECK,MILLA
86,CHAPLIN,GREG
37,BOLGER,VAL
21,PALTROW,KIRSTEN
31,SOBIESKI,SISSY
46,GOLDBERG,PARKER
120,MONROE,PENELOPE
39,BRODY,GOLDIE
4,DAVIS,JENNIFER
8,JOHANSSON,MATTHEW
197,WEST,REESE
11,CAGE,ZERO
5,LOLLOBRIGIDA,JOHNNY
64,JOHANSSON,RAY
126,TOMEI,FRANCES
182,AKROYD,DEBBIE
92,AKROYD,KIRSTEN
7,MOSTEL,GRACE
122,NOLTE,SALMA
199,FAWCETT,JULIA
17,VOIGHT,HELEN
134,HOPKINS,GENE
195,SILVERSTONE,JAYNE
78,SINATRA,GROUCHO
139,GOODING,EWAN
146,JOHANSSON,ALBERT
30,PECK,SANDRA
74,KEITEL,MILLA
71,GRANT,ADAM
32,HACKMAN,TIM
115,BALE,HARRISON
162,KILMER,OPRAH
183,CLOSE,RUSSELL
121,BERGMAN,LIZA
104,CRONYN,PENELOPE
198,KEITEL,MARY
192,SUVARI,JOHN
196,WALKEN,BELA
66,TANDY,MARY
20,TRACY,LUCILLE
137,WILLIAMS,MORGAN
98,BRIDGES,CHRIS
194,ALLEN,MERYL
47,BARRYMORE,JULIA
174,BENING,MICHAEL
108,NOLTE,WARREN
148,DEE,EMILY
93,PRESLEY,ELLEN
153,KILMER,MINNIE
112,BACALL,RUSSELL
186,ZELLWEGER,JULIA
167,BULLOCK,LAURENCE
191,GOODING,GREGORY
135,REYNOLDS,RITA
35,DEAN,JUDY
150,NOLTE,JAYNE
24,STREEP,CAMERON
170,HOPPER,MENA
56,HARRIS,DAN
140,HURT,WHOOPI
200,TEMPLE,THORA
97,HAWKE,MEG
116,STREEP,DAN
123,DENCH,JULIANNE
88,PESCI,KENNETH
158,BASINGER,VIVIEN
169,HOFFMAN,KENNETH
72,WILLIAMS,SEAN
109,DERN,SYLVESTER
101,DAVIS,SUSAN
131,JACKMAN,JANE
154,GIBSON,MERYL
94,TORN,KENNETH
178,MONROE,LISA
113,HOPKINS,MORGAN
87,PECK,SPENCER
173,DREYFUSS,ALAN
175,HACKMAN,WILLIAM
157,MALDEN,GRETA
187,BALL,RENEE
48,DAY-LEWIS,FRANCES
142,RYDER,JADA
110,DAVIS,SUSAN
111,ZELLWEGER,CAMERON
125,NOLTE,ALBERT
107,DEGENERES,GINA
1,GUINESS,PENELOPE
82,JOLIE,WOODY
25,BLOOM,KEVIN
57,CRUISE,JUDE
40,CAGE,JOHNNY
179,GUINESS,ED
23,KILMER,SANDRA
55,KILMER,FAY
155,TANDY,IAN
193,TEMPLE,BURT
9,SWANK,JOE
119,JACKMAN,WARREN
189,BIRCH,CUBA
41,DEGENERES,JODIE
91,BERRY,CHRISTOPHER
95,WAHLBERG,DARYL
133,PENN,RICHARD
127,GARLAND,KEVIN
136,MANSFIELD,ED
62,NEESON,JAYNE
3,CHASE,ED
163,WEST,CHRISTOPHER
165,GARLAND,AL
13,WOOD,UMA
180,SILVERSTONE,JEFF
79,HOFFMAN,MAE
114,MCDORMAND,MORGAN
105,CROWE,SIDNEY
14,BERGEN,VIVIEN
141,HARRIS,CATE
6,NICHOLSON,BETTE
42,MIRANDA,TOM
81,DAMON,SCARLETT
118,ALLEN,CUBA
177,MCKELLEN,GENE
