città,città_id,stato_id,stato
Alvorada,21,15,Brazil
Città del Vaticano,121,41,Holy See (Vatican City State)
Ashdod,34,48,Israel
Chisinau,115,61,Moldova
Gijón,181,87,Spain
Greensboro,187,103,United States
Higashiosaka,203,50,Japan
Basel,56,91,Switzerland
Kirovo-Tšepetsk,270,80,Russian Federation
Karnal,263,44,India
Woodridge,576,8,Australia
Cumaná,132,104,Venezuela
Halle/Saale,198,38,Germany
Enshi,159,23,China
Peoria,404,103,United States
Idfu,216,29,Egypt
Kansas City,262,103,United States
Pereira,405,24,Colombia
Bislig,82,75,Philippines
Tieli,537,23,China
Shanwei,468,23,China
Adoni,8,44,India
Lubumbashi,315,25,"Congo, The Democratic Republic of the"
Ahmadnagar,9,44,India
Denizli,142,97,Turkey
Kolpino,274,80,Russian Federation
Meixian,332,23,China
Székesfehérvár,512,43,Hungary
Águas Lindas de Goiás,190,15,Brazil
Suihua,502,23,China
Baicheng,46,23,China
Okara,375,72,Pakistan
Blumenau,83,15,Brazil
Pjatigorsk,408,80,Russian Federation
Siliguri (Shiliguri),478,44,India
Cuernavaca,131,60,Mexico
Junan,249,23,China
Zhoushan,599,23,China
Toulouse,544,34,France
Botshabelo,87,85,South Africa
Richmond Hill,430,20,Canada
Cuautla,130,60,Mexico
Zaoyang,594,23,China
al-Ayn,12,101,United Arab Emirates
Otsu,386,50,Japan
Kanazawa,260,50,Japan
Quilmes,424,6,Argentina
Sharja,470,101,United Arab Emirates
Ozamis,391,75,Philippines
Allappuzha (Alleppey),18,44,India
El Fuerte,154,60,Mexico
Newcastle,364,85,South Africa
Olomouc,378,26,Czech Republic
Cuauhtémoc,129,60,Mexico
Warren,573,103,United States
Brockton,94,103,United States
Plock,409,76,Poland
Zalantun,592,23,China
Nanyang,362,23,China
Donostia-San Sebastián,146,87,Spain
Myingyan,349,64,Myanmar
Bijapur,78,44,India
Saarbrücken,439,38,Germany
Coacalco de Berriozábal,124,60,Mexico
Jaipur,231,44,India
Gatineau,179,20,Canada
Yerevan,586,7,Armenia
Palghat (Palakkad),395,44,India
Goiânia,183,15,Brazil
Buenaventura,96,24,Colombia
Jining,241,23,China
Cayenne,105,35,French Guiana
Gaziantep,180,97,Turkey
Bhusawal,77,44,India
Arak,31,46,Iran
Deba Habe,141,69,Nigeria
Akron,11,103,United States
Ondo,381,69,Nigeria
Boksburg,85,85,South Africa
Hsichuh,209,92,Taiwan
Laiwu,291,23,China
Juiz de Fora,248,15,Brazil
Laohekou,293,23,China
Haining,193,23,China
Rustenburg,437,85,South Africa
Yuzhou,591,23,China
Salala,444,71,Oman
Beni-Mellal,68,62,Morocco
Tsuyama,547,50,Japan
Bern,72,91,Switzerland
Chandrapur,107,44,India
San Felipe del Progreso,451,60,Mexico
Nha Trang,366,105,Vietnam
Sullana,503,74,Peru
Dongying,145,23,China
Vitória de Santo Antão,572,15,Brazil
Phnom Penh,406,18,Cambodia
Ashqelon,36,48,Israel
Bhimavaram,75,44,India
La Plata,289,6,Argentina
Luziânia,317,15,Brazil
Salamanca,445,60,Mexico
Ipoh,223,59,Malaysia
Balašiha,49,80,Russian Federation
Springs,497,85,South Africa
Jamalpur,234,12,Bangladesh
Sokoto,488,69,Nigeria
Korolev,278,80,Russian Federation
Joliet,245,103,United States
Davao,138,75,Philippines
Witten,575,38,Germany
Purnea (Purnia),418,44,India
Sorocaba,490,15,Brazil
London,313,20,Canada
Esfahan,162,46,Iran
Ziguinchor,600,83,Senegal
Isesaki,224,50,Japan
Le Mans,297,34,France
Lungtan,316,92,Taiwan
Rio Claro,431,15,Brazil
Ríobamba,434,28,Ecuador
Mannheim,325,38,Germany
Santiago de los Caballeros,460,27,Dominican Republic
Shahr-e Kord,467,46,Iran
Kanchrapara,261,44,India
Oyo,390,69,Nigeria
Bradford,88,102,United Kingdom
Osmaniye,384,97,Turkey
Duisburg,148,38,Germany
Kalisz,255,76,Poland
Dzerzinsk,150,80,Russian Federation
El Monte,155,103,United States
Bayugan,62,75,Philippines
Lhokseumawe,301,45,Indonesia
Birgunj,81,66,Nepal
Nabereznyje Tšelny,352,80,Russian Federation
Asunción,37,73,Paraguay
Izumisano,229,50,Japan
Stara Zagora,498,17,Bulgaria
Avellaneda,43,6,Argentina
Araçatuba,30,15,Brazil
Grand Prairie,185,103,United States
Sterling Heights,499,103,United States
Mosul,344,47,Iraq
Pontianak,412,45,Indonesia
Tanauan,523,75,Philippines
Kamjanets-Podilskyi,258,100,Ukraine
San Juan Bautista Tuxtepec,452,60,Mexico
Sungai Petani,507,59,Malaysia
Pavlodar,402,51,Kazakstan
Santa Fé,457,6,Argentina
Sivas,482,97,Turkey
Valencia,561,104,Venezuela
Gandhinagar,176,44,India
Zaria,596,69,Nigeria
Leshan,299,23,China
Sanaa,455,107,Yemen
Guarujá,189,15,Brazil
Santiago de Compostela,459,87,Spain
Kimchon,268,86,South Korea
Etawah,164,44,India
Jaroslavl,235,80,Russian Federation
Athenai,38,39,Greece
Novotšerkassk,369,80,Russian Federation
Pathankot,399,44,India
Linz,307,9,Austria
Acuña,4,60,Mexico
Iwaki,226,50,Japan
Balurghat,51,44,India
Tianjin,535,23,China
Ciomas,118,45,Indonesia
Hodeida,206,107,Yemen
Yangor,583,65,Nauru
Merlo,334,6,Argentina
Amersfoort,23,67,Netherlands
Huixquilucan,213,60,Mexico
Ilorin,220,69,Nigeria
Masqat,329,71,Oman
Santo André,461,15,Brazil
Sucre,501,14,Bolivia
Owo,389,69,Nigeria
Kamyšin,259,80,Russian Federation
Soshanguve,491,85,South Africa
Ljubertsy,310,80,Russian Federation
Katihar,264,44,India
Parbhani,398,44,India
Guadalajara,188,60,Mexico
Kilis,266,97,Turkey
Skikda,483,2,Algeria
Konotop,275,100,Ukraine
Lincoln,306,103,United States
Vilnius,570,56,Lithuania
Ciparay,119,45,Indonesia
Fuzhou,175,23,China
Sasebo,463,50,Japan
Miraj,336,44,India
Inegöl,222,97,Turkey
Funafuti,173,99,Tuvalu
Brindisi,93,49,Italy
Klerksdorp,273,85,South Africa
Lengshuijiang,298,23,China
Brescia,91,49,Italy
São Leopoldo,486,15,Brazil
Bhavnagar,73,44,India
Caracas,102,104,Venezuela
Effon-Alaiye,152,69,Nigeria
Lima,305,74,Peru
Kuching,282,59,Malaysia
Songkhla,489,94,Thailand
Qalyub,421,29,Egypt
Mahajanga,319,57,Madagascar
Celaya,106,60,Mexico
Liaocheng,302,23,China
Hidalgo,202,60,Mexico
Pune,417,44,India
Daxian,139,23,China
Xi´angtan,579,23,China
Simferopol,479,100,Ukraine
Okayama,376,50,Japan
Cabuyao,98,75,Philippines
Tiefa,536,23,China
Ueda,552,50,Japan
Tafuna,516,3,American Samoa
Lapu-Lapu,294,75,Philippines
Ife,217,69,Nigeria
Syrakusa,511,49,Italy
Jinchang,240,23,China
Xi´angfan,578,23,China
Ambattur,22,44,India
Hubli-Dharwad,211,44,India
Ibirité,215,15,Brazil
Kowloon and New Kowloon,279,42,Hong Kong
Šostka,385,100,Ukraine
Gingoog,182,75,Philippines
Nam Dinh,359,105,Vietnam
Sambhal,448,44,India
Sawhaj,465,29,Egypt
Jastrzebie-Zdrój,236,76,Poland
Taguig,517,75,Philippines
Pingxiang,407,23,China
Banjul,54,37,Gambia
Serpuhov,466,80,Russian Federation
Augusta-Richmond County,41,103,United States
Kuwana,287,50,Japan
Hagonoy,192,75,Philippines
Nyeri,372,52,Kenya
Jhansi,239,44,India
Tarlac,528,75,Philippines
al-Manama,14,11,Bahrain
Usolje-Sibirskoje,558,80,Russian Federation
Matamoros,330,60,Mexico
Ranchi,429,44,India
Yantai,584,23,China
Ruse,436,17,Bulgaria
Jedda,237,82,Saudi Arabia
Imus,221,75,Philippines
Vaduz,560,55,Liechtenstein
Abu Dhabi,3,101,United Arab Emirates
Bhilwara,74,44,India
Eskisehir,163,97,Turkey
Ede,151,67,Netherlands
Dos Quebradas,147,24,Colombia
Benin City,69,69,Nigeria
Berhampore (Baharampur),71,44,India
Brest,92,34,France
Brasília,89,15,Brazil
Nagareyama,355,50,Japan
Hohhot,207,23,China
Surakarta,509,45,Indonesia
Maringá,328,15,Brazil
Johannesburg,244,85,South Africa
Tsaotun,546,92,Taiwan
Sanya,462,23,China
Faaa,167,36,French Polynesia
Dallas,135,103,United States
Halisahar,197,44,India
Mit Ghamr,337,29,Egypt
Tangail,525,12,Bangladesh
Jelets,238,80,Russian Federation
Chapra,110,44,India
Taizz,518,107,Yemen
Urawa,555,50,Japan
Patiala,400,44,India
Jinzhou,242,23,China
Coatzacoalcos,125,60,Mexico
Paarl,392,85,South Africa
Abha,2,82,Saudi Arabia
Dhaka,143,12,Bangladesh
Southend-on-Sea,495,102,United Kingdom
Akishima,10,50,Japan
Jaffna,230,88,Sri Lanka
Batna,59,2,Algeria
Tegal,532,45,Indonesia
Lethbridge,300,20,Canada
Tabuk,515,82,Saudi Arabia
Talavera,519,75,Philippines
Poços de Caldas,413,15,Brazil
San Miguel de Tucumán,454,6,Argentina
Charlotte Amalie,111,106,"Virgin Islands, U.S."
Madiun,318,45,Indonesia
