assays_assay_id,assays_assay_tissue,assays_curated_by,assays_description,assays_src_id,assays_variant_id,assays_assay_subcellular_fraction,assays_tid,assays_relationship_type,assays_confidence_score,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id
7524,Kidney,Intermediate,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL618647,,BAO_0000218,2113.0
7525,Kidney,Intermediate,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,1,,,50597,N,1,,CHEMBL618648,,BAO_0000218,2113.0
7526,Kidney,Intermediate,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL618649,,BAO_0000218,2113.0
7527,Liver,Intermediate,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL618650,,BAO_0000218,2107.0
7528,Liver,Intermediate,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,1,,,50597,N,1,,CHEMBL618651,,BAO_0000218,2107.0
7529,Liver,Intermediate,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL876497,,BAO_0000218,2107.0
7530,Lung,Intermediate,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL618652,,BAO_0000218,2048.0
7531,Lung,Intermediate,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,1,,,50597,N,1,,CHEMBL618653,,BAO_0000218,2048.0
7532,Lung,Intermediate,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL618654,,BAO_0000218,2048.0
7533,,Intermediate,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,1,,,50597,N,1,,CHEMBL618655,,BAO_0000218,
7534,,Intermediate,Compound was tested for solubility in water,1,,,50597,N,1,,CHEMBL618656,,BAO_0000218,
7535,,Intermediate,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),1,,,22229,U,0,,CHEMBL618657,,BAO_0000100,
7536,,Intermediate,Solubility was determined,1,,,50597,N,1,,CHEMBL618658,,BAO_0000218,
7537,,Intermediate,solubility in water (ug/mL) at 37 degree C.,1,,,50597,N,1,,CHEMBL618659,,BAO_0000218,
7538,,Intermediate,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,1,,,50597,N,1,,CHEMBL618660,,BAO_0000218,
