miller2_FisY,miller2_IndiIss,miller2_CFLI,miller2_PrograPr,miller2_SeID,miller2_UrIss,miller2_ClimChaAdap,miller2_Sta,miller2_EnviSustai,miller2_CouRegNa,miller2_OrgaNa,miller2_FuCenNa,miller2_PBATy,miller2_ClChMit,miller2_IRTCPer,miller2_OrgaT,miller2_MaxCIDAContr,miller2_UntAmoProBud,miller2_DivID,miller2_SecPer,miller2_FSTCPe,Section ID,miller2_SeN,miller2_ConID,miller2_FCenID,miller2_YoIss,miller2_DisaIss,miller2_ICTAATFoDeve,miller2_KnowlFoDeve,miller2_GeEqu,miller2_OrganID,miller2_OrgCla,miller2_OrgaSu,miller2_ConNa,miller2_ProjBroCouID,miller2_CouReID,miller2_CouRegPerc,miller2_AmSp
2009/2010,0,0,Uncoded: Pre-APP,33140,0,0,Closed,1,Asia MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.14,0.0,S5602,Multilateral trade negotiations,3,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Asia,X3,X3,0.22,75768.0
2009/2010,0,0,Uncoded: Pre-APP,99810,0,0,Closed,1,Asia MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.505,0.0,S5602,Sectors not specified,3,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Asia,X3,X3,0.22,273306.0
2009/2010,0,0,Uncoded: Pre-APP,12191,0,0,Closed,1,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.268,0.0,S5602,Medical services,5,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Europe,X4,X4,0.32,210969.6
2009/2010,0,0,Uncoded: Pre-APP,14015,0,0,Closed,1,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.047,0.0,S5602,Water resources conservation (including data collection),5,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Europe,X4,X4,0.32,36998.4
2009/2010,0,0,Uncoded: Pre-APP,23510,0,0,Closed,1,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.04,0.0,S5602,Nuclear energy electric power plants,5,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Europe,X4,X4,0.32,31488.0
2009/2010,0,0,Uncoded: Pre-APP,33140,0,0,Closed,1,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.14,0.0,S5602,Multilateral trade negotiations,5,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Europe,X4,X4,0.32,110208.0
2009/2010,0,0,Uncoded: Pre-APP,99810,0,0,Closed,1,Europe MC,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UN - CORE,Not PBA,0,0.0,Foreign Non-Profit Making,2460000.0,2460000.0,D5600,0.505,0.0,S5602,Sectors not specified,5,5291,0,0,1,1,0,1005967,Multilateral,UNITED NATIONS,Europe,X4,X4,0.32,397536.0
2009/2010,0,0,Uncoded: Pre-APP,72010,0,0,Closed,0,El Salvador,PAHO - Pan American Health Organization,MHI Non-Food INIT,Not PBA,0,0.0,Foreign Non-Profit Making,300000.0,300000.0,D5301,1.0,0.0,S5320,Material relief assistance and services,1,5303,0,0,0,0,0,1001300,Multilateral,REGIONAL ORGANIZATION,America,SV,SV,1.0,300000.0
2009/2010,0,0,Uncoded: Pre-APP,72010,0,0,Terminating,0,Africa MC,ICRC Appeals via CRCS,MHO Non Food - CORE,Not PBA,0,0.0,Canadian Non-Profit Making,3000000.0,3000000.0,D5301,1.0,0.0,S5330,Material relief assistance and services,2,5311,0,0,0,0,1,1014663,Civil Society,INTERNATIONAL NGO,Africa,X1,X1,0.5,1500000.0
2009/2010,0,0,Uncoded: Pre-APP,72010,0,0,Terminating,0,Americas MC,ICRC Appeals via CRCS,MHO Non Food - CORE,Not PBA,0,0.0,Canadian Non-Profit Making,3000000.0,3000000.0,D5301,1.0,0.0,S5330,Material relief assistance and services,1,5311,0,0,0,0,1,1014663,Civil Society,INTERNATIONAL NGO,America,X2,X2,0.15,450000.0
2009/2010,0,0,Uncoded: Pre-APP,72010,0,0,Terminating,0,Asia MC,ICRC Appeals via CRCS,MHO Non Food - CORE,Not PBA,0,0.0,Canadian Non-Profit Making,3000000.0,3000000.0,D5301,1.0,0.0,S5330,Material relief assistance and services,3,5311,0,0,0,0,1,1014663,Civil Society,INTERNATIONAL NGO,Asia,X3,X3,0.3,900000.0
2009/2010,0,0,Uncoded: Pre-APP,72010,0,0,Terminating,0,Europe MC,ICRC Appeals via CRCS,MHO Non Food - CORE,Not PBA,0,0.0,Canadian Non-Profit Making,3000000.0,3000000.0,D5301,1.0,0.0,S5330,Material relief assistance and services,5,5311,0,0,0,0,1,1014663,Civil Society,INTERNATIONAL NGO,Europe,X4,X4,0.05,150000.0
