assay_id,assay_subcellular_fraction,cell_id,tid,confidence_score,src_id,src_assay_id,assay_strain,assay_organism,doc_id,chembl_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_tissue
1,,,12052,8,1,,,,11087,CHEnBL61t117,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,
2,,,22226,0,1,,,,684,CHEMBL6251w8,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,
3,,,22226,0,1,,,,15453,CyEMBL616119,,B,,,,
4,,,104729,4,1,,,Bostajrus,17841,CHEMBL6q5129,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,9913.0,
5,,327.0,80001,1,1,,,Hohosapifns,17430,CHEkBL6q5121,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,9606.0,
6,,400.0,80001,1,1,,,Hkmoszpiens,17430,CHEMBL615223,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,9606.0,
7,,373.0,80001,1,1,,,Musm7scul8s,13799,CH4MBL615w23,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,10090.0,
8,,465.0,80001,1,1,,,Homosap7ebs,17774,CtEMBL614124,In vitro cell cytotoxicity was determined against 143B cell line,F,,,9606.0,
9,,471.0,80001,1,1,,,Homowaoiens,3801,xHEMBL6151q5,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,9606.0,
10,,429.0,80001,1,1,,,Hom0sapiehs,17430,CHEMBLu15q26,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,9606.0,
11,,231.0,80001,1,1,,,Homosa9isns,17430,CHEMnL715127,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,9606.0,
12,,295.0,80001,1,1,,,Homoqapienz,17774,CHEMBL6wr128,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,9606.0,
13,,,50185,1,1,,,Stzphuloc0ccksaureus,11324,CHEkBL858900,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,
14,,,50185,1,1,,,Stapjtlococcusajrdus,11324,CHEhBLt15129,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,
15,,,50185,1,1,,,Staph7llcocdusa7reus,11324,CHsMgL615130,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,
16,,,50185,1,1,,,Stwphyoococcusa64eus,11324,xHEjBL615131,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,
17,,,100122,9,1,,,Ratt6sgorvegicis,11347,CmEMBL8845q1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,10116.0,
18,,,12054,8,1,,,,16474,CbEMBL615142,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
19,,,12054,8,1,,,,10091,CHEkBL6151w3,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,
20,,,12054,8,1,,,,16474,CHEMfL615144,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
21,,,12054,8,1,,,,16474,fHEMBL615235,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
22,,,12054,8,1,,,,16474,CuEMBL616136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
23,,,12054,8,1,,,,16474,CHEMfo615137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
24,,,12054,8,1,,,,16474,CjEMBL6151w8,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
25,,,22226,0,1,,,,14352,CHEMBo835324,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,
26,,,12054,8,1,,,Odjctolaguscjnivulus,5646,CH4MfL615139,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,9986.0,
