assays_ASSI,assays_TII,assays_DI,assays_ASTI,assays_BAFOR,assays_ASCAT,assays_SRASSI,assays_CEI,assays_CURB,assays_SRI,assays_ASSORGA,assays_ASSTETY,assays_CONFSCO,assays_ASSUBCFRA,assays_RELTY,assays_ASST,assays_ASCT,assays_T,assays_CHI,assays_VARI
7524,2113.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618647,
7525,2113.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618648,
7526,2113.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618649,
7527,2107.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618650,
7528,2107.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618651,
7529,2107.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL876497,
7530,2048.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618652,
7531,2048.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618653,
7532,2048.0,9866,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,In vivo,1,,N,,,50597,CHEMBL618654,
7533,,6351,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,,1,,N,,,50597,CHEMBL618655,
7534,,1465,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,,1,,N,,,50597,CHEMBL618656,
7535,,5182,,BAO_0000100,,,,Intermediate,1,,,0,,U,,,22229,CHEMBL618657,
7536,,17847,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,,1,,N,,,50597,CHEMBL618658,
7537,,15339,10116.0,BAO_0000218,,,,Intermediate,1,Rattus norvegicus,,1,,N,,,50597,CHEMBL618659,
