assay_id,tissue_id,cell_id,chembl_id,curated_by,src_assay_id,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,src_id,bao_format,variant_id
1,,,CHEMBL615117,Autocuration,,,,,12052,H,8,1,BAO_0000019,
2,,,CHEMBL615118,Autocuration,,,,,22226,U,0,1,BAO_0000219,
3,,,CHEMBL615119,Autocuration,,,,,22226,U,0,1,BAO_0000019,
4,,,CHEMBL615120,Autocuration,,,,,104729,H,4,1,BAO_0000249,
5,,163.0,CHEMBL615121,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
6,,163.0,CHEMBL615122,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
7,,163.0,CHEMBL615123,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
8,,163.0,CHEMBL615124,Expert,,,143B,,80001,N,1,1,BAO_0000219,
9,,163.0,CHEMBL615125,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
10,,163.0,CHEMBL615126,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
11,,163.0,CHEMBL615127,Intermediate,,,143B,,80001,N,1,1,BAO_0000219,
12,,163.0,CHEMBL615128,Expert,,,143B,,80001,N,1,1,BAO_0000219,
13,,,CHEMBL857900,Intermediate,,,,,50185,N,1,1,BAO_0000218,
14,,,CHEMBL615129,Intermediate,,,,,50185,N,1,1,BAO_0000218,
15,,,CHEMBL615130,Intermediate,,,,,50185,N,1,1,BAO_0000218,
16,,,CHEMBL615131,Intermediate,,,,,50185,N,1,1,BAO_0000218,
17,,,CHEMBL884521,Expert,,,,,100122,D,9,1,BAO_0000357,
18,,,CHEMBL615132,Autocuration,,,,,12054,H,8,1,BAO_0000357,
19,,,CHEMBL615133,Autocuration,,,,,12054,H,8,1,BAO_0000019,
20,,,CHEMBL615134,Autocuration,,,,,12054,H,8,1,BAO_0000357,
21,,,CHEMBL615135,Autocuration,,,,,12054,H,8,1,BAO_0000357,
22,,,CHEMBL615136,Autocuration,,,,,12054,H,8,1,BAO_0000357,
23,,,CHEMBL615137,Autocuration,,,,,12054,H,8,1,BAO_0000357,
24,,,CHEMBL615138,Autocuration,,,,,12054,H,8,1,BAO_0000357,
25,,,CHEMBL836324,Autocuration,,,,,22226,U,0,1,BAO_0000219,
26,,,CHEMBL615139,Autocuration,,,,,12054,H,8,1,BAO_0000357,
27,,,CHEMBL615140,Autocuration,,,,,12054,H,8,1,BAO_0000357,
28,,,CHEMBL615141,Autocuration,,,,,12426,H,8,1,BAO_0000219,
29,,,CHEMBL615142,Autocuration,,,,,12054,H,8,1,BAO_0000357,
30,,,CHEMBL615143,Autocuration,,,,,12054,H,8,1,BAO_0000357,
31,,,CHEMBL615144,Autocuration,,,,,12054,H,8,1,BAO_0000357,
32,,,CHEMBL872867,Autocuration,,,,,12054,H,8,1,BAO_0000357,
33,,,CHEMBL615145,Autocuration,,,,,12054,H,8,1,BAO_0000357,
34,,,CHEMBL615146,Autocuration,,,,,12054,H,8,1,BAO_0000357,
35,,,CHEMBL615147,Autocuration,,,,,12054,H,8,1,BAO_0000357,
36,,,CHEMBL615148,Autocuration,,,,,22226,U,0,1,BAO_0000019,
37,,,CHEMBL615149,Autocuration,,,,,22226,U,0,1,BAO_0000019,
38,,,CHEMBL615150,Autocuration,,,,,22226,U,0,1,BAO_0000019,
39,,,CHEMBL615151,Intermediate,,,,,22222,M,3,1,BAO_0000225,
40,,,CHEMBL615152,Intermediate,,,,,22222,M,3,1,BAO_0000225,
41,,,CHEMBL615153,Expert,,,,,100263,M,3,1,BAO_0000225,
42,,,CHEMBL615154,Expert,,,,,100263,M,3,1,BAO_0000225,
43,,,CHEMBL615155,Autocuration,,,,,13053,H,8,1,BAO_0000019,
44,,,CHEMBL615156,Autocuration,,,,,13053,H,8,1,BAO_0000019,
45,,,CHEMBL615157,Autocuration,,,,,20001,H,8,1,BAO_0000019,
46,,,CHEMBL615158,Autocuration,,,,,20001,H,8,1,BAO_0000019,
47,,,CHEMBL615159,Expert,,,,,12971,D,9,1,BAO_0000019,
48,,,CHEMBL615172,Expert,,,,,12971,D,9,1,BAO_0000019,
49,,,CHEMBL615173,Expert,,,,,12971,D,9,1,BAO_0000019,
50,,,CHEMBL615174,Expert,,,,,12971,D,9,1,BAO_0000019,
51,,,CHEMBL884518,Autocuration,,,,,13053,H,8,1,BAO_0000019,
52,,,CHEMBL615175,Autocuration,,,,,11512,H,8,1,BAO_0000357,
53,,,CHEMBL615176,Autocuration,,,,,11512,H,8,1,BAO_0000357,
54,,,CHEMBL615177,Autocuration,,,,,11512,H,8,1,BAO_0000357,
55,,,CHEMBL615178,Autocuration,,,,Membranes,104740,D,5,1,BAO_0000249,
56,,506.0,CHEMBL615179,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
57,,,CHEMBL615180,Autocuration,,,Oocytes,,104835,D,7,1,BAO_0000219,
58,,,CHEMBL615181,Autocuration,,,Oocytes,,104821,D,7,1,BAO_0000219,
59,,,CHEMBL615182,Autocuration,,,Oocytes,,104848,D,7,1,BAO_0000219,
60,,506.0,CHEMBL615183,Expert,,,1A9,,80002,N,1,1,BAO_0000219,
61,,506.0,CHEMBL615184,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
62,,506.0,CHEMBL615185,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
63,,506.0,CHEMBL615186,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
64,,506.0,CHEMBL615187,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
65,,506.0,CHEMBL885343,Expert,,,1A9,,80002,N,1,1,BAO_0000219,
66,,506.0,CHEMBL615188,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
67,,506.0,CHEMBL615189,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
68,,506.0,CHEMBL615190,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
69,,506.0,CHEMBL615191,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
70,,506.0,CHEMBL615192,Expert,,,1A9,,80002,N,1,1,BAO_0000219,
71,,506.0,CHEMBL827083,Expert,,,1A9,,80002,N,1,1,BAO_0000219,
72,,506.0,CHEMBL615193,Expert,,,1A9,,80002,N,1,1,BAO_0000219,
73,,506.0,CHEMBL615194,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
74,,506.0,CHEMBL615195,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
75,,506.0,CHEMBL615196,Intermediate,,,1A9,,80002,N,1,1,BAO_0000219,
76,,503.0,CHEMBL615197,Intermediate,,,Jurkat,,81072,N,1,1,BAO_0000219,
77,,,CHEMBL615198,Intermediate,,,,,22226,U,0,1,BAO_0000019,
78,,,CHEMBL615199,Expert,,,,,100121,D,9,1,BAO_0000357,
79,,,CHEMBL615200,Expert,,,,,11231,H,8,1,BAO_0000357,
80,,,CHEMBL615201,Expert,,,,,11231,H,8,1,BAO_0000357,
81,,,CHEMBL615202,Expert,,,,,11231,H,8,1,BAO_0000357,
82,,,CHEMBL615203,Autocuration,,,,Microsomes,11231,H,8,1,BAO_0000251,
83,,,CHEMBL615204,Autocuration,,,,Microsomes,11231,H,8,1,BAO_0000251,
84,,,CHEMBL615205,Autocuration,,,,Microsomes,11231,H,8,1,BAO_0000251,
85,,,CHEMBL615206,Autocuration,,,,Microsomes,11231,H,8,1,BAO_0000251,
86,2107.0,,CHEMBL615207,Autocuration,,Liver,,Microsomes,12083,H,8,1,BAO_0000251,
87,,,CHEMBL827084,Autocuration,,,,,11231,H,8,1,BAO_0000019,
88,,,CHEMBL615208,Autocuration,,,,,11231,H,8,1,BAO_0000019,
89,,,CHEMBL615209,Autocuration,,,,,11231,H,8,1,BAO_0000019,
90,2107.0,,CHEMBL615210,Autocuration,,Liver,,Microsomes,12083,D,9,1,BAO_0000251,
91,2107.0,,CHEMBL615211,Autocuration,,Liver,,Microsomes,12083,D,9,1,BAO_0000251,
92,2107.0,,CHEMBL615212,Autocuration,,Liver,,Microsomes,12083,D,9,1,BAO_0000251,
93,,,CHEMBL615213,Expert,,,,,11377,H,8,1,BAO_0000357,
94,,,CHEMBL615273,Expert,,,,,11377,H,8,1,BAO_0000357,
95,,726.0,CHEMBL615274,Expert,,,HepG2,,81020,N,1,1,BAO_0000219,
96,,726.0,CHEMBL615275,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
97,,726.0,CHEMBL615276,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
98,,726.0,CHEMBL615277,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
99,,726.0,CHEMBL615326,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
100,,,CHEMBL883130,Expert,,,,,50606,N,1,1,BAO_0000218,
101,,726.0,CHEMBL884519,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
102,,726.0,CHEMBL615327,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
103,,726.0,CHEMBL615328,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
104,,,CHEMBL615329,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
105,,,CHEMBL615330,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
106,,,CHEMBL615331,Expert,,,2.2.15,,50606,N,1,1,BAO_0000218,
107,,,CHEMBL615332,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
108,,,CHEMBL615333,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
109,,,CHEMBL615334,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
110,,,CHEMBL615335,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
111,,,CHEMBL615336,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
112,,,CHEMBL615337,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
113,,,CHEMBL615338,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
114,,,CHEMBL615339,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
115,,,CHEMBL615340,Intermediate,,,2.2.15,,50587,N,1,1,BAO_0000218,
116,,726.0,CHEMBL615341,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
117,,,CHEMBL615342,Autocuration,,,,Microsomes,22226,U,0,1,BAO_0000251,
118,,,CHEMBL615343,Autocuration,,,,,22226,U,0,1,BAO_0000019,
119,,388.0,CHEMBL615344,Intermediate,,,2008,,80612,N,1,1,BAO_0000219,
120,,388.0,CHEMBL615345,Intermediate,,,2008,,80612,N,1,1,BAO_0000219,
121,,388.0,CHEMBL615346,Intermediate,,,2008,,80612,N,1,1,BAO_0000219,
122,,388.0,CHEMBL615347,Intermediate,,,2008,,80612,N,1,1,BAO_0000219,
123,,388.0,CHEMBL615348,Intermediate,,,2008,,80612,N,1,1,BAO_0000219,
124,,561.0,CHEMBL827085,Intermediate,,,2008/R,,80613,N,1,1,BAO_0000219,
125,,561.0,CHEMBL615349,Intermediate,,,2008/R,,80613,N,1,1,BAO_0000219,
126,,389.0,CHEMBL615350,Intermediate,,,2008/S,,80614,N,1,1,BAO_0000219,
127,,389.0,CHEMBL615351,Intermediate,,,2008/S,,80614,N,1,1,BAO_0000219,
128,,,CHEMBL615352,Expert,,,,,100256,S,2,1,BAO_0000220,
129,,,CHEMBL615353,Intermediate,,,,,100256,S,2,1,BAO_0000220,
130,,,CHEMBL615354,Expert,,,,,100256,S,2,1,BAO_0000220,
131,,,CHEMBL615355,Expert,,,,,100256,S,2,1,BAO_0000220,
132,,,CHEMBL615356,Intermediate,,,,,100256,S,2,1,BAO_0000220,
133,,,CHEMBL615357,Autocuration,,,,,22226,U,0,1,BAO_0000019,
134,,726.0,CHEMBL615358,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
135,,726.0,CHEMBL827086,Intermediate,,,HepG2,,81020,N,1,1,BAO_0000219,
136,,,CHEMBL615359,Autocuration,,,,,22226,U,0,1,BAO_0000019,
137,,,CHEMBL615360,Autocuration,,,,,235,H,8,1,BAO_0000357,
138,948.0,,CHEMBL615361,Autocuration,,Heart,,,22226,U,0,1,BAO_0000218,
139,,,CHEMBL615362,Autocuration,,,,,19640,H,8,1,BAO_0000019,
140,,,CHEMBL615363,Expert,,,,,19640,H,8,1,BAO_0000019,
141,,,CHEMBL615364,Autocuration,,,,,19640,H,8,1,BAO_0000357,
142,,,CHEMBL615365,Expert,,,,,19640,H,8,1,BAO_0000019,
143,,524.0,CHEMBL615366,Intermediate,,,P338,,80360,N,1,1,BAO_0000219,
144,,524.0,CHEMBL615367,Intermediate,,,P338,,80360,N,1,1,BAO_0000219,
145,,554.0,CHEMBL615368,Intermediate,,,PBL,,80384,N,1,1,BAO_0000219,
146,,,CHEMBL615369,Autocuration,,,,,22226,U,0,1,BAO_0000019,
147,,,CHEMBL615370,Autocuration,,,,,22226,U,0,1,BAO_0000019,
148,,,CHEMBL615673,Autocuration,,,,,191,H,8,1,BAO_0000357,
149,,,CHEMBL615674,Autocuration,,,,,22226,U,0,1,BAO_0000019,
150,,,CHEMBL615675,Autocuration,,,,,22226,U,0,1,BAO_0000019,
151,,635.0,CHEMBL615676,Autocuration,,,CCRF-CEM,,22226,U,0,1,BAO_0000219,
152,,635.0,CHEMBL615677,Autocuration,,,CCRF-CEM,,22226,U,0,1,BAO_0000219,
153,,635.0,CHEMBL615678,Autocuration,,,CCRF-CEM,,22226,U,0,1,BAO_0000219,
154,,635.0,CHEMBL615679,Autocuration,,,CCRF-CEM,,22226,U,0,1,BAO_0000219,
155,,,CHEMBL615680,Autocuration,,,,,22226,U,0,1,BAO_0000019,
156,,,CHEMBL615681,Autocuration,,,,,22226,U,0,1,BAO_0000019,
157,,,CHEMBL857972,Autocuration,,,,,104290,H,6,1,BAO_0000249,
158,,,CHEMBL857899,Intermediate,,,,,50264,N,1,1,BAO_0000218,
159,,,CHEMBL615371,Intermediate,,,,,50527,N,1,1,BAO_0000218,
160,,468.0,CHEMBL615372,Expert,,,HEL,,50527,N,1,1,BAO_0000218,
161,,,CHEMBL615373,Intermediate,,,,,50527,N,1,1,BAO_0000218,
162,,,CHEMBL615374,Intermediate,,,,,50527,N,1,1,BAO_0000218,
163,,,CHEMBL615375,Intermediate,,,,,50145,N,1,1,BAO_0000218,
164,,,CHEMBL615376,Autocuration,,,,,22226,U,0,1,BAO_0000019,
165,,,CHEMBL615377,Expert,,,,,11143,H,8,1,BAO_0000249,
166,,,CHEMBL615378,Expert,,,,,18077,H,8,1,BAO_0000357,
167,,832.0,CHEMBL615379,Intermediate,,,1-87 tumor cell line,,80609,N,1,1,BAO_0000219,
168,,,CHEMBL615380,Expert,,,,,12166,D,9,1,BAO_0000219,
169,,,CHEMBL615381,Autocuration,,,,,100171,D,9,1,BAO_0000357,
170,,,CHEMBL615382,Autocuration,,,,,100171,D,9,1,BAO_0000357,
171,,,CHEMBL615383,Autocuration,,,,,100171,D,9,1,BAO_0000357,
172,,,CHEMBL615384,Autocuration,,,,,100171,D,9,1,BAO_0000357,
173,,,CHEMBL615385,Autocuration,,,,,100171,D,9,1,BAO_0000357,
174,,,CHEMBL615386,Autocuration,,,,,100171,D,9,1,BAO_0000357,
175,,,CHEMBL615387,Autocuration,,,,,100171,D,9,1,BAO_0000357,
