assays_ss_d,assays_ss_tss,assays_dc_d,assays_tss_d,assays_ss_rgnsm,assays_ss_ctgr,assays_cll_d,assays_ss_tx_d,assays_ss_sbclllr_frctn,assays_crtd_b,assays_ss_strn,assays_cnfdnc_scr,assays_src_d,assays_src_ss_d,assays_chmbl_d,assays_b_frmt,assays_vrnt_d
7524,Kidney,9866,2113.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618647,BAO_0000218,
7525,Kidney,9866,2113.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618648,BAO_0000218,
7526,Kidney,9866,2113.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618649,BAO_0000218,
7527,Liver,9866,2107.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618650,BAO_0000218,
7528,Liver,9866,2107.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618651,BAO_0000218,
7529,Liver,9866,2107.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL876497,BAO_0000218,
7530,Lung,9866,2048.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618652,BAO_0000218,
7531,Lung,9866,2048.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618653,BAO_0000218,
7532,Lung,9866,2048.0,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618654,BAO_0000218,
7533,,6351,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618655,BAO_0000218,
7534,,1465,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618656,BAO_0000218,
7535,,5182,,,,,,,Intermediate,,0,1,,CHEMBL618657,BAO_0000100,
7536,,17847,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618658,BAO_0000218,
7537,,15339,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618659,BAO_0000218,
7538,,5202,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618660,BAO_0000218,
7539,,1088,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618661,BAO_0000218,
7540,,3169,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL873807,BAO_0000218,
7541,,5353,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618662,BAO_0000218,
7542,,2864,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618663,BAO_0000218,
7543,,2864,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618664,BAO_0000218,
7544,,2864,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618665,BAO_0000218,
7545,,6362,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL876498,BAO_0000218,
7546,,6249,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL618666,BAO_0000218,
7547,,3169,,Rattus norvegicus,,,10116.0,,Intermediate,,1,1,,CHEMBL620440,BAO_0000218,
