Fiscal year,Branch name,Gender equality (marker),Organisation type,ICT as a tool for development (marker),Urban issues (marker),Bilateral aid (international marker),Section name,Division ID,Division name,Organisation name,Climate change mitigation (marker),Organisation ID,IRTC percent,Project number,CountryRegion percent,FSTC percent,Fund centre ID,Amount spent,Untied amount(Project-level budget),Branch ID,Continent name,Indigenous issues (marker),CIDA business delivery model (old),Children issues (marker),Status,Maximum CIDA contribution (project-level),Section ID,Regional program (marker),Fund centre name,CFLI (marker),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A017716001,1.0,1.0,4122,3932.842,8500267.65,B4100,Asia,0,Directive,0,Closed,8500267.65,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A017716001,1.0,1.0,4122,5899.263000000001,8500267.65,B4100,Asia,0,Directive,0,Closed,8500267.65,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A017716001,1.0,1.0,4122,9832.105,8500267.65,B4100,Asia,0,Directive,0,Closed,8500267.65,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Non-Profit Making,0,0,1,West Bank Gaza & Palestinian Refugees,D3100,EDD Europe-Middle East Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A018652001,1.0,0.0,4265,20502.06,0.0,B3100,Asia,0,Directive,0,Closed,500458.33,S4264,0,West Bank Gaza,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,1,1,Mali Program Section,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A018893001,1.0,1.0,4216,14226.985,14410076.46,B4200,Africa,0,Responsive,0,Closed,14410076.46,S4215,0,Mali,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,1,1,Mali Program Section,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A018893001,1.0,1.0,4216,11381.588,14410076.46,B4200,Africa,0,Responsive,0,Closed,14410076.46,S4215,0,Mali,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,1,1,Mali Program Section,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A018893001,1.0,1.0,4216,2845.397,14410076.46,B4200,Africa,0,Responsive,0,Closed,14410076.46,S4215,0,Mali,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A019043001,1.0,1.0,4124,142315.2,13743220.56,B4100,Asia,0,Responsive,0,Closed,13743220.56,S4141,0,Pakistan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A019043001,1.0,1.0,4124,142315.2,13743220.56,B4100,Asia,0,Responsive,0,Closed,13743220.56,S4141,0,Pakistan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A019043001,1.0,1.0,4124,71157.6,13743220.56,B4100,Asia,0,Responsive,0,Closed,13743220.56,S4141,0,Pakistan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,1,0,1,Caricom - Adm,D4400,NDD Americas Programming,DEVPAR FINANCIAL CONSULTING LTD,0,1000378,0.0,A019362001,1.0,1.0,4439,13163.27,3441416.83,B4400,America,0,Responsive,0,Closed,3441416.83,S4429,0,Caribbean Regional - Jamaica,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,NGM Americas,0,Canadian Profit Making,1,0,1,Caricom - Adm,D4400,NDD Americas Programming,MM LYNCH CONSULTANTS INTERNATIONAL,0,1001165,0.0,A019362001,1.0,1.0,4439,7256.25,3441416.83,B4400,America,0,Responsive,0,Closed,3441416.83,S4429,0,Caribbean Regional - Jamaica,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,73931.99,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,18482.9975,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,18482.9975,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,18482.9975,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,92414.9875,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,55448.9925,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,18482.9975,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",0,Canadian Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Cowater International Inc.,0,1000335,0.0,A019608001,1.0,1.0,4263,73931.99,0.0,B3100,Africa,0,Directive,0,Closed,16700508.62,S4256,0,Egypt,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",2,Canadian Non-Profit Making,0,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020161001,1.0,0.998334353,4259,114.33,0.0,B3100,Africa,0,Directive,0,Closed,328400.96,S4256,0,*Algeria,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,NGM Americas,3,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020195001,1.0,1.0,4452,103009.4,4000000.0,B4400,America,0,Directive,0,Closed,4610501.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,3,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020195001,1.0,1.0,4452,412037.6,4000000.0,B4400,America,0,Directive,0,Closed,4610501.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
