Fiscal year,CountryRegion name,Organisation ID,Indigenous issues (marker),Branch name,Sector percent,Organisation type,Section ID,Children issues (marker),Project Browser country ID,Biodiversity (marker),Continent name,Sector ID,Organisation class,Division ID,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division name,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Bangladesh,Information not available,0,OGM Asia Pacific,0.2,Canadian Profit Making,S4122,0,BD,0,Asia,15150,Individual,D4100,A017716001,Closed,8500267.65,B4100,OAD Asia Programming,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,Information not available,0,OGM Asia Pacific,0.3,Canadian Profit Making,S4122,0,BD,0,Asia,24040,Individual,D4100,A017716001,Closed,8500267.65,B4100,OAD Asia Programming,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,Information not available,0,OGM Asia Pacific,0.5,Canadian Profit Making,S4122,0,BD,0,Asia,25020,Individual,D4100,A017716001,Closed,8500267.65,B4100,OAD Asia Programming,Bangladesh Section,0,4122,Bangladesh,8500267.65,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,West Bank Gaza,10050,0,"EGM Europe, Middle East and Maghreb",1.0,Canadian Non-Profit Making,S4264,0,PS,0,Asia,99810,Governmental,D3100,A018652001,Closed,500458.33,B3100,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,10050,0,WGM Sub-Saharan Africa,0.5,Canadian Non-Profit Making,S4215,0,ML,0,Africa,16020,Governmental,D4207,A018893001,Closed,14410076.46,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,10050,0,WGM Sub-Saharan Africa,0.4,Canadian Non-Profit Making,S4215,0,ML,0,Africa,32310,Governmental,D4207,A018893001,Closed,14410076.46,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,10050,0,WGM Sub-Saharan Africa,0.1,Canadian Non-Profit Making,S4215,0,ML,0,Africa,43030,Governmental,D4207,A018893001,Closed,14410076.46,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,14410076.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,10050,0,OGM Asia Pacific,0.4,Canadian Non-Profit Making,S4141,0,PK,0,Asia,15110,Governmental,D4100,A019043001,Closed,13743220.56,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,10050,0,OGM Asia Pacific,0.4,Canadian Non-Profit Making,S4141,0,PK,0,Asia,15111,Governmental,D4100,A019043001,Closed,13743220.56,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,10050,0,OGM Asia Pacific,0.2,Canadian Non-Profit Making,S4141,0,PK,0,Asia,16010,Governmental,D4100,A019043001,Closed,13743220.56,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
