assay_type,assay_cell_type,cell_id,assay_test_type,assay_category,tissue_id,assay_strain,confidence_score,assay_tax_id,tid,src_id,curated_by,src_assay_id,variant_id,assay_id,assay_subcellular_fraction,doc_id,relationship_type,chembl_id,bao_format,assay_tissue,description,assay_organism
B,,,,,,,8,,12052,1,Autocuration,,,1,,11087,H,CHEMBL615117,BAO_0000019,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,
F,,,,,,,0,,22226,1,Autocuration,,,2,,684,U,CHEMBL615118,BAO_0000219,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,
B,,,,,,,0,,22226,1,Autocuration,,,3,,15453,U,CHEMBL615119,BAO_0000019,,,
B,,,,,,,4,9913.0,104729,1,Autocuration,,,4,,17841,H,CHEMBL615120,BAO_0000249,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Bos taurus
F,143B,163.0,,,,,1,9606.0,80001,1,Intermediate,,,5,,17430,N,CHEMBL615121,BAO_0000219,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens
F,143B,163.0,,,,,1,9606.0,80001,1,Intermediate,,,6,,17430,N,CHEMBL615122,BAO_0000219,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens
F,143B,163.0,,,,,1,10090.0,80001,1,Intermediate,,,7,,13799,N,CHEMBL615123,BAO_0000219,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Mus musculus
F,143B,163.0,,,,,1,9606.0,80001,1,Expert,,,8,,17774,N,CHEMBL615124,BAO_0000219,,In vitro cell cytotoxicity was determined against 143B cell line,Homo sapiens
F,143B,163.0,,,,,1,9606.0,80001,1,Intermediate,,,9,,3801,N,CHEMBL615125,BAO_0000219,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Homo sapiens
F,143B,163.0,,,,,1,9606.0,80001,1,Intermediate,,,10,,17430,N,CHEMBL615126,BAO_0000219,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens
F,143B,163.0,,,,,1,9606.0,80001,1,Intermediate,,,11,,17430,N,CHEMBL615127,BAO_0000219,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens
F,143B,163.0,,,,,1,9606.0,80001,1,Expert,,,12,,17774,N,CHEMBL615128,BAO_0000219,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Homo sapiens
F,,,,,,,1,1280.0,50185,1,Intermediate,,,13,,11324,N,CHEMBL857900,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus
F,,,,,,,1,1280.0,50185,1,Intermediate,,,14,,11324,N,CHEMBL615129,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus
F,,,,,,,1,1280.0,50185,1,Intermediate,,,15,,11324,N,CHEMBL615130,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus
F,,,,,,,1,1280.0,50185,1,Intermediate,,,16,,11324,N,CHEMBL615131,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus
