title,year,id,venue,authors
title,year,id,venue,authors
semantic integration of environmental models for application to global information systems and decision-making,1999,0,sigmod record,d. scott mackay
estimation of query-result distribution and its application in parallel-join load balancing,1996,1,vldb,"viswanath poosala , yannis e. ioannidis"
incremental maintenance for non-distributive aggregate functions,2002,2,vldb,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane"
cost-based selection of path expression processing algorithms in object-oriented databases,1996,3,vldb,"zhao-hui tang , georges gardarin , jean-robert gruser"
benchmarking spatial join operations with spatial output,1995,4,vldb,"erik g. hoel , hanan samet"
efficient geometry-based similarity search of 3d spatial databases,1999,5,sigmod conference,daniel a. keim
mining the world wide web : an information search approach - book review,2002,6,sigmod record,aris m. ouksel
enhanced abstract data types in object-relational databases,1998,7,vldb j.,praveen seshadri
report on dart ' 96 : databases : active and real-time ( concepts meet practice ),1997,8,sigmod record,"nandit soparkar , krithi ramamritham"
unisql 's next-generation object-relational database management system,1996,9,sigmod record,"phil janus , albert d'andrea"
dual-buffering strategies in object bases,1994,10,vldb,"alfons kemper , donald kossmann"
aurora : a data stream management system,2003,11,sigmod conference,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun"
priority assignment in real-time active databases,1996,12,vldb j.,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley"
wavecluster : a wavelet based clustering approach for spatial data in very large databases,2000,13,vldb j.,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang"
approximate query mapping : accounting for translation closeness,2001,14,vldb j.,"hector garcia-molina , kevin chen-chuan chang"
sprint : a scalable parallel classifier for data mining,1996,15,vldb,"john c. shafer , rakesh agrawal , manish mehta"
snowball : a prototype system for extracting relations from large text collections,2001,16,sigmod conference,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova"
a framework for implementing hypothetical queries,1997,17,sigmod conference,"timothy griffin , richard hull"
parametric query optimization,1997,18,vldb j.,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim"
lineage tracing for general data warehouse transformations,2001,19,vldb,"yingwei cui , jennifer widom"
report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),2002,20,sigmod record,joachim hammer
approximating aggregate queries about web pages via random walks,2000,21,vldb,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz"
a query language for a web-site management system,1997,22,sigmod record,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez"
supporting periodic authorizations and temporal reasoning in database access control,1996,23,vldb,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino"
free parallel data mining,1998,24,sigmod conference,"bin li , dennis shasha"
high level indexing of user-defined types,1999,25,vldb,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos"
pc database systems - present and future,1994,26,vldb,philip a. bernstein
form-based proxy caching for database-backed web sites,2001,27,vldb,"jeffrey f. naughton , qiong luo"
a logical view of structured files,1998,28,vldb j.,"tova milo , serge abiteboul , sophie cluet"
dbglobe : a service-oriented p2p system for global computing,2003,29,sigmod record,"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras"
database patchwork on the internet,1999,30,sigmod conference,"reinhard braumandl , alfons kemper , donald kossmann"
scientific databases - state of the art and future directions,1994,31,vldb,"yannis e. ioannidis , maria zemankova"
a generic approach to bulk loading multidimensional index structures,1997,32,vldb,"bernhard seeger , peter widmayer , jochen van den bercken"
data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces,2003,33,vldb,"jörg sander , jianjun zhou"
efficient snapshot differential algorithms for data warehousing,1996,34,vldb,"hector garcia-molina , wilburt labio"
integrating triggers and declarative constraints in sql database sytems,1996,35,vldb,"roberta cochrane , hamid pirahesh , nelson mendonça mattos"
efficient ir-style keyword search over relational databases,2003,36,vldb,"yannis papakonstantinou , luis gravano , vagelis hristidis"
indexing of now-relative spatio-bitemporal data,2002,37,vldb j.,"simonas saltenis , christian s. jensen"
"temporal coalescing with now , granularity , and incomplete information",2003,38,sigmod conference,curtis e. dyreson
database research at ut arlington,2003,39,sigmod record,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh"
why decision support fails and how to fix it,1995,40,sigmod record,"kevin strehlo , ralph kimball"
a low-cost storage server for movie on demand databases,1994,41,vldb,"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi"
generating call-level interfaces for advanced database application programming,1999,42,vldb,"theo härder , norbert ritter , udo nink"
clustering by pattern similarity in large data sets,2002,43,sigmod conference,"haixun wang , wei wang , philip s. yu , jiong yang"
mocha : a database middleware system featuring automatic deployment of application-specific functionality,2000,44,sigmod conference,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz"
fact : a learning based web query processing system,2000,45,sigmod conference,"zengping tian , hongjun lu , yanlei diao , songting chen"
sql multimedia and application packages ( sql/mm ),2001,46,sigmod record,"jim melton , andrew eisenberg"
bellcore 's adapt/x harness system for managing information on internet and intranets,1996,47,vldb,amit p. sheth
xml data management go native or spruce up relational systems ? ( panel abstract ),2001,48,sigmod conference,per-åke larson
an overview of data warehousing and olap technology,1997,49,sigmod record,"surajit chaudhuri , umeshwar dayal"
staggered striping in multimedia information systems,1994,50,sigmod conference,"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju"
multimedia streaming in large-scale sensor networks with mobile swarms,2003,51,sigmod record,"mario gerla , kaixin xu"
how to modify sql queries in order to guarantee sure answers,1994,52,sigmod record,hans-joachim klein
materialization : a powerful and ubiquitous abstraction pattern,1994,53,vldb,"alain pirotte , esteban zimányi , tatiana yakusheva , david massart"
dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,2001,54,sigmod conference,"debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta"
data modelling in the large,1994,55,sigmod record,martin bertram
updating xml,2001,56,sigmod conference,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy"
research in information managment at dublin city university,2002,57,sigmod record,"alan f. smeaton , mark roantree"
the multidimensional database system rasdaman,1998,58,sigmod conference,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado"
analyzing energy behavior of spatial access methods for memory-resident data,2001,59,vldb,"anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir"
the value of merge-join and hash-join in sql server,1999,60,vldb,goetz graefe
efficient execution of joins in a star schema,2002,61,sigmod conference,andreas weininger
picodmbs : scaling down database techniques for the smartcard,2000,62,vldb,"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau"
multi-dimensional substring selectivity estimation,1999,63,vldb,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish"
the intrinsic problems of structural heterogeneity and an approach to their solution,1999,64,vldb j.,"theo härder , joachim thomas , günter sauter"
a database perspective on lotus domino/notes,1999,65,sigmod conference,c. mohan
"domains , relations and religious wars",1996,66,sigmod record,rafael camps
the data-centric revolution in networking,2003,67,vldb,scott shenker
cache-and-query for wide area sensor databases,2003,68,sigmod conference,"phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande"
a cost model for clustered object-oriented databases,1995,69,vldb,"zhao-hui tang , jean-robert gruser , georges gardarin"
expiring data in a warehouse,1998,70,vldb,"wilburt labio , jun yang , hector garcia-molina"
opportunities in information management and assurance,1997,71,sigmod record,xiaolei qian
finding data in the neighborhood,1997,72,vldb,"andré eickler , alfons kemper , donald kossmann"
prefer : a system for the efficient execution of multi-parametric ranked queries,2001,73,sigmod conference,"yannis papakonstantinou , vagelis hristidis , nick koudas"
editor 's notes,2002,74,sigmod record,ling liu
rainbow : mapping-driven xquery processing system,2002,75,sigmod conference,"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ"
algebraic query optimisation for database programming languages,1996,76,vldb j.,"carol small , alexandra poulovassilis"
static analysis techniques for predicting the behavior of active database rules,1995,77,acm trans . database syst .,"alexander aiken , jennifer widom , joseph m. hellerstein"
the ores temporal database management system,1994,78,sigmod conference,"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos"
magic conditions,1996,79,acm trans . database syst .,"hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein"
l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,1995,80,vldb,"wolfgang klas , frank moser , achim kraiss"
"ubiquitous , self-tuning , scalable servers",1998,81,sigmod conference,peter m. spiro
explaining differences in multidimensional aggregates,1999,82,vldb,sunita sarawagi
a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,1995,83,vldb,"kun-lung wu , philip s. yu , james z. teng , jen-yao chung"
database in crisis and transition : a technical agenda for the year 2001,1994,84,sigmod conference,david vaskevitch
"workflow automation : applications , technology , and research ( tutorial )",1995,85,sigmod conference,amit p. sheth
"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",2000,86,sigmod record,"krishna kant , prasant mohapatra"
a scalable algorithm for answering queries using views,2000,87,vldb,"rachel pottinger , alon y. levy"
why i like working in academia,2002,88,sigmod record,richard t. snodgrass
