language_id,film_id,replacement_cost,original_language_id,title,rental_rate,rental_duration,description,rating,release_year,length
1,1,20.99,,ACADEMY DINOSAUR,0.99,6,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,PG,2006,86
1,2,12.99,,ACE GOLDFINGER,4.99,3,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,G,2006,48
1,3,18.99,,ADAPTATION HOLES,2.99,7,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,NC-17,2006,50
1,4,26.99,,AFFAIR PREJUDICE,2.99,5,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,G,2006,117
1,5,22.99,,AFRICAN EGG,2.99,6,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,G,2006,130
1,6,17.99,,AGENT TRUMAN,2.99,3,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,PG,2006,169
1,7,28.99,,AIRPLANE SIERRA,4.99,6,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,PG-13,2006,62
1,8,15.99,,AIRPORT POLLOCK,4.99,6,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,R,2006,54
1,9,21.99,,ALABAMA DEVIL,2.99,3,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,PG-13,2006,114
1,10,24.99,,ALADDIN CALENDAR,4.99,6,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,NC-17,2006,63
1,11,16.99,,ALAMO VIDEOTAPE,0.99,6,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,G,2006,126
1,12,22.99,,ALASKA PHANTOM,0.99,6,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,PG,2006,136
1,13,21.99,,ALI FOREVER,4.99,4,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,PG,2006,150
