rental_date,amount,customer_id,rstaff_id,payment_date,return_date,inventory_id,rental_id,pstaff_id,payment_id
2005-05-25 11:30:37,2.99,1,2,2005-05-25 11:30:37,2005-06-03 12:00:37,3021,76,1,1
2005-06-15 18:02:53,0.99,1,2,2005-06-15 18:02:53,2005-06-19 15:54:53,1021,1422,2,4
2005-06-16 15:18:57,4.99,1,1,2005-06-16 15:18:57,2005-06-17 21:05:57,726,1725,1,6
2005-06-18 08:41:48,4.99,1,2,2005-06-18 08:41:48,2005-06-22 03:36:48,197,2308,1,7
2005-07-08 07:33:56,5.99,1,2,2005-07-08 07:33:56,2005-07-12 13:25:56,3486,4611,1,11
2005-07-09 16:38:01,4.99,1,1,2005-07-09 16:38:01,2005-07-13 18:02:01,797,5326,1,13
2005-07-28 19:20:07,0.99,1,1,2005-07-28 19:20:07,2005-07-29 22:54:07,4497,8116,2,19
2005-08-19 13:56:54,2.99,1,2,2005-08-19 13:56:54,2005-08-23 08:50:54,2269,13176,2,28
2005-08-22 01:27:57,1.99,1,2,2005-08-22 01:27:57,2005-08-27 07:01:57,1449,14825,1,30
2005-05-27 00:09:24,4.99,2,2,2005-05-27 00:09:24,2005-05-28 04:30:24,1090,320,1,33
2005-07-30 06:06:10,4.99,2,2,2005-07-30 06:06:10,2005-08-04 10:45:10,2377,9031,1,43
2005-07-30 14:14:11,0.99,2,1,2005-07-30 14:14:11,2005-08-05 11:19:11,1382,9248,2,45
2005-08-01 09:45:26,0.99,2,1,2005-08-01 09:45:26,2005-08-06 06:28:26,138,10466,1,49
2005-08-02 02:10:56,0.99,2,1,2005-08-02 02:10:56,2005-08-02 21:23:56,3418,10918,1,50
2005-08-17 03:52:18,2.99,2,1,2005-08-17 03:52:18,2005-08-20 07:04:18,805,11614,1,54
2005-08-21 22:41:56,5.99,2,1,2005-08-21 22:41:56,2005-08-29 00:18:56,4570,14743,2,57
2005-08-22 13:53:04,4.99,2,1,2005-08-22 13:53:04,2005-08-31 15:51:04,2179,15145,2,58
2005-05-29 22:43:55,2.99,3,1,2005-05-29 22:43:55,2005-06-01 17:43:55,3464,830,1,61
2005-06-17 05:15:15,6.99,3,2,2005-06-17 05:15:15,2005-06-24 11:05:15,910,1911,2,64
2005-07-07 10:23:25,4.99,3,1,2005-07-07 10:23:25,2005-07-10 13:18:25,1704,4180,1,66
2005-07-27 04:54:42,5.99,3,2,2005-07-27 04:54:42,2005-08-03 01:42:42,2575,7096,1,68
2005-07-27 20:23:12,10.99,3,2,2005-07-27 20:23:12,2005-08-05 18:46:12,579,7503,2,69
2005-07-28 03:59:21,7.99,3,1,2005-07-28 03:59:21,2005-08-05 08:52:21,2150,7703,2,70
2005-07-29 11:07:04,2.99,3,2,2005-07-29 11:07:04,2005-08-06 13:30:04,3261,8545,1,74
2005-07-31 03:27:58,2.99,3,1,2005-07-31 03:27:58,2005-08-03 05:58:58,2829,9595,1,77
2005-08-20 06:14:12,2.99,3,2,2005-08-20 06:14:12,2005-08-26 00:44:12,2526,13610,2,82
2005-08-22 09:37:27,0.99,3,1,2005-08-22 09:37:27,2005-08-23 14:39:27,1685,15038,2,84
2005-08-23 07:10:14,2.99,3,2,2005-08-23 07:10:14,2005-08-26 07:21:14,2468,15619,1,85
2005-06-16 08:08:40,0.99,4,1,2005-06-16 08:08:40,2005-06-17 11:12:40,280,1633,1,87
2005-06-16 15:51:52,0.99,4,1,2005-06-16 15:51:52,2005-06-20 13:27:52,97,1735,2,89
2005-06-17 14:31:12,0.99,4,2,2005-06-17 14:31:12,2005-06-19 11:04:12,2495,2043,2,90
2005-06-19 09:39:01,5.99,4,1,2005-06-19 09:39:01,2005-06-25 08:33:01,2065,2642,1,91
2005-07-30 08:46:09,5.99,4,1,2005-07-30 08:46:09,2005-08-05 10:34:09,4117,9100,1,95
2005-05-29 07:25:16,0.99,5,1,2005-05-29 07:25:16,2005-05-30 05:21:16,4124,731,1,108
2005-06-15 22:03:14,3.99,5,2,2005-06-15 22:03:14,2005-06-23 18:42:14,3277,1502,1,111
2005-06-17 15:56:53,4.99,5,1,2005-06-17 15:56:53,2005-06-21 14:19:53,4323,2063,2,113
2005-06-19 04:20:13,2.99,5,1,2005-06-19 04:20:13,2005-06-25 07:00:13,1105,2570,2,114
2005-07-06 09:11:58,4.99,5,2,2005-07-06 09:11:58,2005-07-08 10:50:58,600,3677,2,116
2005-07-09 07:13:52,5.99,5,2,2005-07-09 07:13:52,2005-07-18 05:18:52,957,5118,2,119
2005-07-12 12:16:28,4.99,5,1,2005-07-12 12:16:28,2005-07-19 17:03:28,1434,6685,2,124
