assay_tax_id,confidence_score,src_assay_id,assay_type,assay_category,variant_id,tissue_id,chembl_id,assay_strain,bao_format,assay_cell_type,tid,assay_test_type,assay_subcellular_fraction,relationship_type,assay_id,doc_id,src_id,cell_id,curated_by,assay_organism,description,assay_tissue
,8.0,,B,,,,CHEMBL615117,,BAO_0000019,,12052.0,,,H,1.0,11087.0,1.0,,Autocuration,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,
,0.0,,F,,,,CHEMBL615118,,BAO_0000219,,22226.0,,,U,2.0,684.0,1.0,,Autocuration,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,
,0.0,,B,,,,CHEMBL615119,,BAO_0000019,,22226.0,,,U,3.0,15453.0,1.0,,Autocuration,,,
9913.0,4.0,,B,,,,CHEMBL615120,,BAO_0000249,,104729.0,,,H,4.0,17841.0,1.0,,Autocuration,Bos taurus,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,
9606.0,1.0,,F,,,,CHEMBL615121,,BAO_0000219,143B,80001.0,,,N,5.0,17430.0,1.0,163.0,Intermediate,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),
9606.0,1.0,,F,,,,CHEMBL615122,,BAO_0000219,143B,80001.0,,,N,6.0,17430.0,1.0,163.0,Intermediate,Homo sapiens,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),
10090.0,1.0,,F,,,,CHEMBL615123,,BAO_0000219,143B,80001.0,,,N,7.0,13799.0,1.0,163.0,Intermediate,Mus musculus,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,
9606.0,1.0,,F,,,,CHEMBL615124,,BAO_0000219,143B,80001.0,,,N,8.0,17774.0,1.0,163.0,Expert,Homo sapiens,In vitro cell cytotoxicity was determined against 143B cell line,
9606.0,1.0,,F,,,,CHEMBL615125,,BAO_0000219,143B,80001.0,,,N,9.0,3801.0,1.0,163.0,Intermediate,Homo sapiens,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,
9606.0,1.0,,F,,,,CHEMBL615126,,BAO_0000219,143B,80001.0,,,N,10.0,17430.0,1.0,163.0,Intermediate,Homo sapiens,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,
