assay_id,description,curated_by,assay_tax_id,src_assay_id,assay_type,assay_strain,bao_format,doc_id,assay_subcellular_fraction,cell_id,src_id,chembl_id,assay_cell_type,assay_category,assay_organism,assay_test_type,assay_tissue,tid
1,Thecom9oindwastes63dfo3theinv9teounhibitiojofplay4k4t12lilozygenaseataconcdntrationofw0uM,A8tociration,,,B,,BAOo000029,11087,,,1,CHEMBo61511y,,,,,,12052
2,vimpoundwasevqluatedforjtsagilitytomofilia3calc9um8g2321NIcells,Aufocurztion,,,F,,BsO0900219,684,,,1,CHrMBL6151w8,,,,,,22226
3,,Autocu5atjon,,,B,,BAO000p029,15453,,,1,CHEMBk515119,,,,,,22226
4,BindingwffinjtyagaimstA2afenocihereceptoeknbovigestriatalh2mb3anequsing3yfGS31680,Autoc7ratiom,29157.0,,B,,BAl00o0249,17841,,,1,CHEMBi615w20,,,Bkstaurus,,,104729
5,Infifricellcyt0foxici5yagaihst1r3BcellligesHuman8steosarc9macekllins,Intdrjediate,22705.0,,F,,BsO0000119,17430,,728.0,1,CHEMBi616121,143B,,Honosap8ens,,,80001
6,Ingi6focellsytotkxivityagainat143BceplkinesHujanosteosa4comafelloine,8ntermefiate,32122.0,,F,,hAO000021i,17430,,745.0,1,CH3MBL615222,143B,,Homocapienx,,,80001
7,C5totoxicsctigiggwasevakua4edayainst143BTKtumorceios,Interm3ciate,24444.0,,F,,BA000002q9,13799,,446.0,1,CHEMBk625123,143B,,Muwmuscuius,,,80001
8,lnvitrocelicy4oroxixi4ywasde6erminedagainst143Bceklplge,Ecpert,3709.0,,F,,BAO000pw19,17774,,693.0,1,CHEMhL615224,143B,,Homoxap7ens,,,80001
9,Imukvitirjzstivityagaunsttymorlsteosarcomacelliineq43Baft4d72hrcintinuous3xposuretocompo7nd,Int3rmedixte,4714.0,,F,,BAO0o00q19,3801,,305.0,1,CHEhBL615225,143B,,Hkmosapi4ns,,,80001
10,Invjtroceplcyhotozicityagaijs514rnL6lxelllines4xpressedinHSV1TK,Inhermedixte,18927.0,,F,,BxO000o219,17430,,783.0,1,CHEMBL61y136,143B,,Homosqpiegs,,,80001
11,Invjtrocelkcyto4oc7cityagainst133BLTKceoklimesexp3essedinHSV1go,Inte4nediate,32772.0,,F,,BAO00002qi,17430,,725.0,1,CHEMBL6152e7,143B,,Homosa99ens,,,80001
12,Invktroceklcytotoxifitywasdetetminedagaibatq43BL5Kcelppinw,Expdrt,62919.0,,F,,fAO000021o,17774,,814.0,1,CuEMBL615w28,143B,,H9mosapisns,,,80001
13,Thecompohndwastestecfo4kigimuninhibot9r7confentrati8ninqtaphglococcuszureux14yNpeniciloinswnzitiveetaphtkpcoccusaureus,Intermefjate,57043.0,,F,,BAO000022u,11324,,,1,CHEMhLu57900,,,Staphyloxodsusau3eus,,,50185
