rental_duration,description,replacement_cost,length,original_language_id,rental_rate,film_id,title,language,rating,release_year
6,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,20.99,86,,0.99,1,ACADEMY DINOSAUR,English,PG,2006
3,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,12.99,48,,4.99,2,ACE GOLDFINGER,English,G,2006
7,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,18.99,50,,2.99,3,ADAPTATION HOLES,English,NC-17,2006
5,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,26.99,117,,2.99,4,AFFAIR PREJUDICE,English,G,2006
6,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,22.99,130,,2.99,5,AFRICAN EGG,English,G,2006
3,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,17.99,169,,2.99,6,AGENT TRUMAN,English,PG,2006
6,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,28.99,62,,4.99,7,AIRPLANE SIERRA,English,PG-13,2006
6,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,15.99,54,,4.99,8,AIRPORT POLLOCK,English,R,2006
3,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,21.99,114,,2.99,9,ALABAMA DEVIL,English,PG-13,2006
6,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,24.99,63,,4.99,10,ALADDIN CALENDAR,English,NC-17,2006
6,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,16.99,126,,0.99,11,ALAMO VIDEOTAPE,English,G,2006
6,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,22.99,136,,0.99,12,ALASKA PHANTOM,English,PG,2006
4,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,21.99,150,,4.99,13,ALI FOREVER,English,PG,2006
6,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,23.99,94,,0.99,14,ALICE FANTASIA,English,NC-17,2006
5,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,10.99,46,,2.99,15,ALIEN CENTER,English,NC-17,2006
6,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,23.99,180,,2.99,16,ALLEY EVOLUTION,English,NC-17,2006
3,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,14.99,82,,0.99,17,ALONE TRIP,English,R,2006
6,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,27.99,57,,0.99,18,ALTER VICTORY,English,PG-13,2006
6,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,20.99,113,,0.99,19,AMADEUS HOLY,English,PG,2006
4,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,23.99,79,,4.99,20,AMELIE HELLFIGHTERS,English,R,2006
3,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,17.99,129,,4.99,21,AMERICAN CIRCUS,English,R,2006
6,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,10.99,85,,2.99,22,AMISTAD MIDSUMMER,English,G,2006
3,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,9.99,92,,0.99,23,ANACONDA CONFESSIONS,English,R,2006
6,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,19.99,181,,2.99,24,ANALYZE HOOSIERS,English,R,2006
3,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,15.99,74,,2.99,25,ANGELS LIFE,English,G,2006
3,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,15.99,86,,0.99,26,ANNIE IDENTITY,English,G,2006
