city,country_id,city_id,country
Kabul,1,251,Afghanistan
Batna,2,59,Algeria
Bchar,2,63,Algeria
Skikda,2,483,Algeria
Tafuna,3,516,American Samoa
Benguela,4,67,Angola
Namibe,4,360,Angola
South Hill,5,493,Anguilla
Almirante Brown,6,20,Argentina
Avellaneda,6,43,Argentina
Baha Blanca,6,45,Argentina
Crdoba,6,128,Argentina
Escobar,6,161,Argentina
Ezeiza,6,165,Argentina
La Plata,6,289,Argentina
Merlo,6,334,Argentina
Quilmes,6,424,Argentina
San Miguel de Tucumn,6,454,Argentina
Santa F,6,457,Argentina
Tandil,6,524,Argentina
Vicente Lpez,6,567,Argentina
Yerevan,7,586,Armenia
Woodridge,8,576,Australia
Graz,9,186,Austria
Linz,9,307,Austria
Salzburg,9,447,Austria
Baku,10,48,Azerbaijan
Sumqayit,10,505,Azerbaijan
al-Manama,11,14,Bahrain
Dhaka,12,143,Bangladesh
Jamalpur,12,234,Bangladesh
Tangail,12,525,Bangladesh
Mogiljov,13,339,Belarus
Molodetno,13,340,Belarus
El Alto,14,153,Bolivia
Sucre,14,501,Bolivia
Alvorada,15,21,Brazil
Angra dos Reis,15,25,Brazil
Anpolis,15,26,Brazil
Aparecida de Goinia,15,28,Brazil
Araatuba,15,30,Brazil
Bag,15,44,Brazil
Belm,15,66,Brazil
Blumenau,15,83,Brazil
Boa Vista,15,84,Brazil
Braslia,15,89,Brazil
Goinia,15,183,Brazil
Guaruj,15,189,Brazil
guas Lindas de Gois,15,190,Brazil
Ibirit,15,215,Brazil
Juazeiro do Norte,15,247,Brazil
Juiz de Fora,15,248,Brazil
Luzinia,15,317,Brazil
Maring,15,328,Brazil
Po,15,410,Brazil
Poos de Caldas,15,413,Brazil
Rio Claro,15,431,Brazil
Santa Brbara dOeste,15,456,Brazil
Santo Andr,15,461,Brazil
So Bernardo do Campo,15,485,Brazil
So Leopoldo,15,486,Brazil
Sorocaba,15,490,Brazil
Vila Velha,15,569,Brazil
Vitria de Santo Anto,15,572,Brazil
Bandar Seri Begawan,16,53,Brunei
Ruse,17,436,Bulgaria
Stara Zagora,17,498,Bulgaria
Battambang,18,60,Cambodia
Phnom Penh,18,406,Cambodia
Bamenda,19,52,Cameroon
Yaound,19,585,Cameroon
Gatineau,20,179,Canada
Halifax,20,196,Canada
Lethbridge,20,300,Canada
London,20,313,Canada
Oshawa,20,383,Canada
Richmond Hill,20,430,Canada
Vancouver,20,565,Canada
NDjamna,21,363,Chad
Antofagasta,22,27,Chile
Coquimbo,22,127,Chile
Rancagua,22,428,Chile
Baicheng,23,46,China
Baiyin,23,47,China
Binzhou,23,80,China
Changzhou,23,109,China
Datong,23,136,China
Daxian,23,139,China
Dongying,23,145,China
Emeishan,23,157,China
Enshi,23,159,China
Ezhou,23,166,China
Fuyu,23,174,China
Fuzhou,23,175,China
Haining,23,193,China
Hami,23,199,China
Hohhot,23,207,China
Huaian,23,210,China
Jinchang,23,240,China
Jining,23,241,China
Jinzhou,23,242,China
Junan,23,249,China
Korla,23,277,China
Laiwu,23,291,China
Laohekou,23,293,China
Lengshuijiang,23,298,China
Leshan,23,299,China
Liaocheng,23,302,China
Meixian,23,332,China
Nanyang,23,362,China
Pingxiang,23,407,China
Qinhuangdao,23,422,China
Rizhao,23,432,China
Sanya,23,462,China
Shanwei,23,468,China
Shaoguan,23,469,China
Shenzhen,23,471,China
Suihua,23,502,China
Tianjin,23,535,China
Tiefa,23,536,China
Tieli,23,537,China
Tongliao,23,540,China
Weifang,23,574,China
Xiangfan,23,578,China
Xiangtan,23,579,China
Xintai,23,580,China
Xinxiang,23,581,China
Yantai,23,584,China
Yinchuan,23,587,China
Yingkou,23,588,China
Yuncheng,23,590,China
Yuzhou,23,591,China
Zalantun,23,592,China
Zaoyang,23,594,China
Zhoushan,23,599,China
Buenaventura,24,96,Colombia
Dos Quebradas,24,147,Colombia
Florencia,24,170,Colombia
Pereira,24,405,Colombia
Sincelejo,24,480,Colombia
Sogamoso,24,487,Colombia
Lubumbashi,25,315,"Congo, The Democratic Republic of the"
Mwene-Ditu,25,348,"Congo, The Democratic Republic of the"
Olomouc,26,378,Czech Republic
La Romana,27,290,Dominican Republic
San Felipe de Puerto Plata,27,450,Dominican Republic
Santiago de los Caballeros,27,460,Dominican Republic
Loja,28,311,Ecuador
Portoviejo,28,414,Ecuador
Robamba,28,434,Ecuador
Bilbays,29,79,Egypt
Idfu,29,216,Egypt
Mit Ghamr,29,337,Egypt
Qalyub,29,421,Egypt
Sawhaj,29,465,Egypt
Shubra al-Khayma,29,476,Egypt
Tartu,30,530,Estonia
Addis Abeba,31,6,Ethiopia
Trshavn,32,545,Faroe Islands
Oulu,33,387,Finland
Brest,34,92,France
