assays_assay_id,assays_src_assay_id,assays_assay_tax_id,assays_assay_tissue,assays_variant_id,assays_assay_subcellular_fraction,assays_confidence_score,assays_assay_type,assays_relationship_type,assays_curated_by,assays_doc_id,assays_tid,assays_src_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id
7524,,10116.0,Kidney,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618647,,BAO_0000218,2113.0
7525,,10116.0,Kidney,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618648,,BAO_0000218,2113.0
7526,,10116.0,Kidney,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618649,,BAO_0000218,2113.0
7527,,10116.0,Liver,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618650,,BAO_0000218,2107.0
7528,,10116.0,Liver,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618651,,BAO_0000218,2107.0
7529,,10116.0,Liver,,,1,A,N,Intermediate,9866,50597,1,CHEMBL876497,,BAO_0000218,2107.0
7530,,10116.0,Lung,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618652,,BAO_0000218,2048.0
7531,,10116.0,Lung,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618653,,BAO_0000218,2048.0
7532,,10116.0,Lung,,,1,A,N,Intermediate,9866,50597,1,CHEMBL618654,,BAO_0000218,2048.0
7533,,10116.0,,,,1,A,N,Intermediate,6351,50597,1,CHEMBL618655,,BAO_0000218,
7534,,10116.0,,,,1,A,N,Intermediate,1465,50597,1,CHEMBL618656,,BAO_0000218,
7535,,,,,,0,P,U,Intermediate,5182,22229,1,CHEMBL618657,,BAO_0000100,
7536,,10116.0,,,,1,A,N,Intermediate,17847,50597,1,CHEMBL618658,,BAO_0000218,
7537,,10116.0,,,,1,A,N,Intermediate,15339,50597,1,CHEMBL618659,,BAO_0000218,
7538,,10116.0,,,,1,A,N,Intermediate,5202,50597,1,CHEMBL618660,,BAO_0000218,
7539,,10116.0,,,,1,A,N,Intermediate,1088,50597,1,CHEMBL618661,,BAO_0000218,
7540,,10116.0,,,,1,A,N,Intermediate,3169,50597,1,CHEMBL873807,,BAO_0000218,
7541,,10116.0,,,,1,A,N,Intermediate,5353,50597,1,CHEMBL618662,,BAO_0000218,
7542,,10116.0,,,,1,A,N,Intermediate,2864,50597,1,CHEMBL618663,,BAO_0000218,
7543,,10116.0,,,,1,A,N,Intermediate,2864,50597,1,CHEMBL618664,,BAO_0000218,
7544,,10116.0,,,,1,A,N,Intermediate,2864,50597,1,CHEMBL618665,,BAO_0000218,
7545,,10116.0,,,,1,A,N,Intermediate,6362,50597,1,CHEMBL876498,,BAO_0000218,
7546,,10116.0,,,,1,A,N,Intermediate,6249,50597,1,CHEMBL618666,,BAO_0000218,
7547,,10116.0,,,,1,A,N,Intermediate,3169,50597,1,CHEMBL620440,,BAO_0000218,
7548,,10116.0,,,,1,A,N,Intermediate,3169,50597,1,CHEMBL620441,,BAO_0000218,
7549,,10116.0,,,,1,A,N,Intermediate,3169,50597,1,CHEMBL620442,,BAO_0000218,
7550,,10116.0,,,,1,A,N,Intermediate,17260,50597,1,CHEMBL620443,,BAO_0000218,
7551,,10116.0,,,,1,A,N,Intermediate,17260,50597,1,CHEMBL620444,,BAO_0000218,
7552,,10116.0,,,,1,A,N,Intermediate,17260,50597,1,CHEMBL620445,,BAO_0000218,
7553,,10116.0,,,,1,A,N,Intermediate,17260,50597,1,CHEMBL620446,,BAO_0000218,
7554,,10116.0,Plasma,,,1,A,N,Intermediate,2879,50597,1,CHEMBL620447,,BAO_0000218,1969.0
7555,,10116.0,Plasma,,,1,A,N,Intermediate,2879,50597,1,CHEMBL621129,,BAO_0000218,1969.0
7556,,10116.0,Plasma,,,1,A,N,Intermediate,2879,50597,1,CHEMBL621130,,BAO_0000218,1969.0
7557,,10116.0,,,,1,A,N,Intermediate,3184,50597,1,CHEMBL873808,,BAO_0000218,
7558,,10116.0,,,,1,A,N,Intermediate,4891,50597,1,CHEMBL876598,,BAO_0000218,
7559,,10116.0,,,,1,A,N,Intermediate,429,50597,1,CHEMBL621131,,BAO_0000218,
7560,,10116.0,,,,1,A,N,Intermediate,5656,50597,1,CHEMBL621132,,BAO_0000218,
7561,,10116.0,,,,1,A,N,Intermediate,4413,50597,1,CHEMBL621133,,BAO_0000218,
7562,,10116.0,,,,1,A,N,Expert,3598,50597,1,CHEMBL621312,,BAO_0000218,
7563,,10116.0,,,,1,A,N,Intermediate,17267,50597,1,CHEMBL621313,,BAO_0000218,
7564,,10116.0,Blood,,,1,A,N,Intermediate,4727,50597,1,CHEMBL621314,,BAO_0000218,178.0
7565,,10116.0,,,,1,A,N,Intermediate,17651,50597,1,CHEMBL621315,,BAO_0000218,
7566,,10116.0,,,,1,A,N,Intermediate,17651,50597,1,CHEMBL621316,,BAO_0000218,
7567,,10116.0,,,,1,A,N,Intermediate,401,50597,1,CHEMBL621317,,BAO_0000218,
7568,,10116.0,,,,1,A,N,Intermediate,4942,50597,1,CHEMBL621318,,BAO_0000218,
7569,,10116.0,,,,1,A,N,Intermediate,17735,50597,1,CHEMBL621319,,BAO_0000218,
7570,,10116.0,,,,1,A,N,Intermediate,6056,50597,1,CHEMBL621377,,BAO_0000218,
7571,,10116.0,,,,1,A,N,Intermediate,5213,50597,1,CHEMBL621378,,BAO_0000218,
7572,,10116.0,,,,1,A,N,Intermediate,6616,50597,1,CHEMBL876599,,BAO_0000218,
7573,,10116.0,,,,1,A,N,Intermediate,5937,50597,1,CHEMBL621379,,BAO_0000218,
7574,,10116.0,Plasma,,,1,A,N,Intermediate,5819,50597,1,CHEMBL621380,,BAO_0000218,1969.0
7575,,10116.0,Plasma,,,1,A,N,Intermediate,5819,50597,1,CHEMBL621381,,BAO_0000218,1969.0
7576,,10116.0,,,,1,A,N,Intermediate,6803,50597,1,CHEMBL618515,,BAO_0000218,
7577,,10116.0,,,,1,A,N,Intermediate,17804,50597,1,CHEMBL618516,,BAO_0000218,
7578,,10116.0,,,,1,A,N,Intermediate,17804,50597,1,CHEMBL618517,,BAO_0000218,
7579,,10116.0,,,,1,A,N,Intermediate,5948,50597,1,CHEMBL618518,,BAO_0000218,
7580,,10116.0,,,,1,A,N,Intermediate,1916,50597,1,CHEMBL618519,,BAO_0000218,
7581,,10116.0,,,,1,A,N,Intermediate,1916,50597,1,CHEMBL618698,,BAO_0000218,
7582,,10116.0,,,,1,A,N,Intermediate,1916,50597,1,CHEMBL618862,,BAO_0000218,
7583,,10116.0,,,,1,A,N,Intermediate,4890,50597,1,CHEMBL618863,,BAO_0000218,
7584,,10116.0,,,,1,A,N,Intermediate,17764,50597,1,CHEMBL618864,,BAO_0000218,
7585,,10116.0,,,,1,A,N,Intermediate,4727,50597,1,CHEMBL618865,,BAO_0000218,
7586,,10116.0,,,,1,A,N,Intermediate,17509,50597,1,CHEMBL618866,,BAO_0000218,
7587,,10116.0,,,,1,A,N,Intermediate,17509,50597,1,CHEMBL618867,,BAO_0000218,
7588,,10116.0,,,,1,A,N,Intermediate,6597,50597,1,CHEMBL875828,,BAO_0000218,
7589,,10116.0,,,,1,A,N,Intermediate,17735,50597,1,CHEMBL618868,,BAO_0000218,
7590,,10116.0,,,,1,A,N,Intermediate,6597,50597,1,CHEMBL618869,,BAO_0000218,
7591,,10116.0,,,,1,A,N,Intermediate,17670,50597,1,CHEMBL618870,,BAO_0000218,
7592,,10116.0,Plasma,,,1,A,N,Intermediate,1696,50597,1,CHEMBL618871,,BAO_0000218,1969.0
7593,,10116.0,Plasma,,,1,A,N,Intermediate,1742,50597,1,CHEMBL618872,,BAO_0000218,1969.0
7594,,10116.0,,,,1,A,N,Intermediate,17800,50597,1,CHEMBL873816,,BAO_0000218,
7595,,,,,,0,A,U,Autocuration,12923,22224,1,CHEMBL618873,,BAO_0000218,
7596,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621602,,BAO_0000019,
7597,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621603,,BAO_0000218,
7598,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621604,,BAO_0000218,
7599,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621605,,BAO_0000218,
7600,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621606,,BAO_0000218,
7601,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621607,,BAO_0000218,
7602,,,,,,0,A,U,Autocuration,11954,22224,1,CHEMBL621608,,BAO_0000218,
7603,,,,,,0,A,U,Autocuration,5237,22224,1,CHEMBL621609,,BAO_0000019,
7604,,,,,,0,A,U,Autocuration,4026,22224,1,CHEMBL621610,,BAO_0000218,
7605,,10116.0,,,,1,A,N,Intermediate,5237,50597,1,CHEMBL621611,,BAO_0000218,
7606,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL621612,,BAO_0000218,
7607,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622308,,BAO_0000218,
7608,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622309,,BAO_0000218,
7609,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622310,,BAO_0000218,
7610,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622311,,BAO_0000218,
7611,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622312,,BAO_0000218,
7612,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622931,,BAO_0000218,
7613,,10116.0,,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622932,,BAO_0000218,
7614,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622736,,BAO_0000218,1969.0
7615,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622737,,BAO_0000218,1969.0
7616,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622738,,BAO_0000218,1969.0
7617,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622739,,BAO_0000218,1969.0
7618,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622740,,BAO_0000218,1969.0
7619,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622741,,BAO_0000218,1969.0
7620,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622742,,BAO_0000218,1969.0
7621,,10116.0,Plasma,,,1,A,N,Intermediate,14793,50597,1,CHEMBL622743,,BAO_0000218,1969.0
7622,,10090.0,Plasma,,,1,A,N,Intermediate,11637,50594,1,CHEMBL622744,,BAO_0000218,1969.0
7623,,,,,,0,A,U,Autocuration,11149,22224,1,CHEMBL624134,,BAO_0000019,
7624,,,,,,0,A,U,Autocuration,10016,22224,1,CHEMBL624135,,BAO_0000019,
7625,,10116.0,,,,1,A,N,Intermediate,17796,50597,1,CHEMBL624136,,BAO_0000218,
7626,,10116.0,,,,1,A,N,Intermediate,17796,50597,1,CHEMBL624137,,BAO_0000218,
7627,,10116.0,,,,1,A,N,Intermediate,17796,50597,1,CHEMBL624320,,BAO_0000218,
7628,,9615.0,,,,1,A,N,Intermediate,12923,50588,1,CHEMBL624321,,BAO_0000218,
7629,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624322,,BAO_0000218,
7630,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624323,,BAO_0000218,
7631,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624324,,BAO_0000218,
7632,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624325,,BAO_0000218,
7633,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624326,,BAO_0000218,
7634,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624327,,BAO_0000218,
7635,,10116.0,,,,1,A,N,Intermediate,15372,50597,1,CHEMBL624328,,BAO_0000218,
7636,,9615.0,,,,1,A,N,Intermediate,14169,50588,1,CHEMBL627848,,BAO_0000218,
7637,,10116.0,,,,1,A,N,Intermediate,14169,50597,1,CHEMBL627849,,BAO_0000218,
7638,,10116.0,,,,1,A,N,Intermediate,14258,50597,1,CHEMBL627850,,BAO_0000218,
7639,,10116.0,,,,1,A,N,Intermediate,14258,50597,1,CHEMBL627851,,BAO_0000218,
7640,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627852,,BAO_0000218,
7641,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627853,,BAO_0000218,
7642,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627854,,BAO_0000218,
7643,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627855,,BAO_0000218,
7644,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627856,,BAO_0000218,
7645,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL875339,,BAO_0000218,
7646,,10090.0,,,,1,A,N,Intermediate,15011,50594,1,CHEMBL627857,,BAO_0000218,
7647,,10116.0,Spleen,,,1,A,N,Intermediate,11195,50597,1,CHEMBL627858,,BAO_0000218,2106.0
7648,,10116.0,Blood,,,1,A,N,Intermediate,10130,50597,1,CHEMBL627859,,BAO_0000218,178.0
7649,,10116.0,Brain,,,1,A,N,Intermediate,10130,50597,1,CHEMBL627860,,BAO_0000218,955.0
