Fiscal year,Sector name,CIDA business delivery model (old),Indigenous issues (marker),CountryRegion name,Programming process (new),Section name,Organisation ID,Organisation sub-class,Fund centre name,Fund centre ID,Untied amount(Project-level budget),Organisation name,Desertification (marker),Biodiversity (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance
2009/2010,Democratic participation and civil society,Directive,0,Bangladesh,Uncoded: Pre-APP,Bangladesh Section,Information not available,CONSULTANT,Bangladesh,4122,8500267.65,Information not available,0,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Informal/semi-formal financial intermediaries,Directive,0,Bangladesh,Uncoded: Pre-APP,Bangladesh Section,Information not available,CONSULTANT,Bangladesh,4122,8500267.65,Information not available,0,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Privatization,Directive,0,Bangladesh,Uncoded: Pre-APP,Bangladesh Section,Information not available,CONSULTANT,Bangladesh,4122,8500267.65,Information not available,0,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Sectors not specified,Directive,0,West Bank Gaza,Uncoded: Pre-APP,West Bank Gaza & Palestinian Refugees,10050,FEDERAL,West Bank Gaza,4265,0.0,Department of Foreign Affairs and International Trade,0,0,A018652001,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,0,0.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Employment policy and administrative management,Responsive,0,Mali,Uncoded: Pre-APP,Mali Program Section,10050,FEDERAL,Mali,4216,14410076.46,Department of Foreign Affairs and International Trade,0,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Construction policy and administrative management,Responsive,0,Mali,Uncoded: Pre-APP,Mali Program Section,10050,FEDERAL,Mali,4216,14410076.46,Department of Foreign Affairs and International Trade,0,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Urban development and management,Responsive,0,Mali,Uncoded: Pre-APP,Mali Program Section,10050,FEDERAL,Mali,4216,14410076.46,Department of Foreign Affairs and International Trade,0,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public sector policy and administrative management,Responsive,0,Pakistan,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",10050,FEDERAL,Pakistan,4124,13743220.56,Department of Foreign Affairs and International Trade,0,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public finance management,Responsive,0,Pakistan,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",10050,FEDERAL,Pakistan,4124,13743220.56,Department of Foreign Affairs and International Trade,0,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Social/welfare services,Responsive,0,Pakistan,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",10050,FEDERAL,Pakistan,4124,13743220.56,Department of Foreign Affairs and International Trade,0,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,1
