tid,assay_type,tissue_id,variant_id,cell_id,confidence_score,assay_strain,bao_format,assay_id,src_id,relationship_type,doc_id,assay_category,src_assay_id,curated_by,assay_subcellular_fraction,assay_test_type,chembl_id,description,assay_organism,assay_tissue,assay_tax_id,assay_cell_type
12052,B,,,,8,,BAO_0000019,1,1,H,11087,,,Autocuration,,,CHEMBL615117,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,
22226,F,,,,0,,BAO_0000219,2,1,U,684,,,Autocuration,,,CHEMBL615118,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,
22226,B,,,,0,,BAO_0000019,3,1,U,15453,,,Autocuration,,,CHEMBL615119,,,,,
104729,B,,,,4,,BAO_0000249,4,1,H,17841,,,Autocuration,,,CHEMBL615120,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Bos taurus,,9913.0,
80001,F,,,163.0,1,,BAO_0000219,5,1,N,17430,,,Intermediate,,,CHEMBL615121,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,6,1,N,17430,,,Intermediate,,,CHEMBL615122,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,7,1,N,13799,,,Intermediate,,,CHEMBL615123,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Mus musculus,,10090.0,143B
80001,F,,,163.0,1,,BAO_0000219,8,1,N,17774,,,Expert,,,CHEMBL615124,In vitro cell cytotoxicity was determined against 143B cell line,Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,9,1,N,3801,,,Intermediate,,,CHEMBL615125,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,10,1,N,17430,,,Intermediate,,,CHEMBL615126,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,11,1,N,17430,,,Intermediate,,,CHEMBL615127,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Homo sapiens,,9606.0,143B
80001,F,,,163.0,1,,BAO_0000219,12,1,N,17774,,,Expert,,,CHEMBL615128,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Homo sapiens,,9606.0,143B
50185,F,,,,1,,BAO_0000218,13,1,N,11324,,,Intermediate,,,CHEMBL857900,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,,1280.0,
50185,F,,,,1,,BAO_0000218,14,1,N,11324,,,Intermediate,,,CHEMBL615129,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,,1280.0,
50185,F,,,,1,,BAO_0000218,15,1,N,11324,,,Intermediate,,,CHEMBL615130,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,,1280.0,
50185,F,,,,1,,BAO_0000218,16,1,N,11324,,,Intermediate,,,CHEMBL615131,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Staphylococcus aureus,,1280.0,
100122,A,,,,9,,BAO_0000357,17,1,D,11347,,,Expert,,,CHEMBL884521,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Rattus norvegicus,,10116.0,
12054,B,,,,8,,BAO_0000357,18,1,H,16474,,,Autocuration,,,CHEMBL615132,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,
12054,B,,,,8,,BAO_0000019,19,1,H,10091,,,Autocuration,,,CHEMBL615133,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,
12054,B,,,,8,,BAO_0000357,20,1,H,16474,,,Autocuration,,,CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,
12054,B,,,,8,,BAO_0000357,21,1,H,16474,,,Autocuration,,,CHEMBL615135,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,
12054,B,,,,8,,BAO_0000357,22,1,H,16474,,,Autocuration,,,CHEMBL615136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,
12054,B,,,,8,,BAO_0000357,23,1,H,16474,,,Autocuration,,,CHEMBL615137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,
12054,B,,,,8,,BAO_0000357,24,1,H,16474,,,Autocuration,,,CHEMBL615138,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,
22226,B,,,,0,,BAO_0000219,25,1,U,14352,,,Autocuration,,,CHEMBL836324,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,
12054,B,,,,8,,BAO_0000357,26,1,H,5646,,,Autocuration,,,CHEMBL615139,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Oryctolagus cuniculus,,9986.0,
12054,B,,,,8,,BAO_0000357,27,1,H,5646,,,Autocuration,,,CHEMBL615140,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Oryctolagus cuniculus,,9986.0,
12426,B,,,,8,,BAO_0000219,28,1,H,10997,,,Autocuration,,,CHEMBL615141,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,
12054,B,,,,8,,BAO_0000357,29,1,H,6309,,,Autocuration,,,CHEMBL615142,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,soya bean,,3847.0,
12054,B,,,,8,,BAO_0000357,30,1,H,167,,,Autocuration,,,CHEMBL615143,Inhibitory activity against soybean 15-lipoxygenase was evaluated,Glycine max,,3847.0,
12054,B,,,,8,,BAO_0000357,31,1,H,167,,,Autocuration,,,CHEMBL615144,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Glycine max,,3847.0,
12054,B,,,,8,,BAO_0000357,32,1,H,11087,,,Autocuration,,,CHEMBL872867,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Glycine max,,3847.0,
12054,B,,,,8,,BAO_0000357,33,1,H,11087,,,Autocuration,,,CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Glycine max,,3847.0,
12054,B,,,,8,,BAO_0000357,34,1,H,13622,,,Autocuration,,,CHEMBL615146,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Glycine max,,3847.0,
12054,B,,,,8,,BAO_0000357,35,1,H,13622,,,Autocuration,,,CHEMBL615147,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Glycine max,,3847.0,
22226,A,,,,0,,BAO_0000019,36,1,U,11347,,,Autocuration,,,CHEMBL615148,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Rattus norvegicus,,10116.0,
22226,B,,,,0,,BAO_0000019,37,1,U,5926,,,Autocuration,,,CHEMBL615149,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Escherichia coli,,562.0,
22226,B,,,,0,,BAO_0000019,38,1,U,4567,,,Autocuration,,,CHEMBL615150,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,
22222,B,,,,3,,BAO_0000225,39,1,M,3782,,,Intermediate,,,CHEMBL615151,Dissociation constant towards 16S rRNA construct A,,,,
22222,B,,,,3,,BAO_0000225,40,1,M,3782,,,Intermediate,,,CHEMBL615152,Dissociation constant towards 16S rRNA construct B,,,,
100263,B,,,,3,,BAO_0000225,41,1,M,4466,,,Expert,,,CHEMBL615153,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Escherichia coli,,562.0,
100263,B,,,,3,,BAO_0000225,42,1,M,6592,,,Expert,,,CHEMBL615154,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Escherichia coli,,562.0,
13053,B,,,,8,,BAO_0000019,43,1,H,898,,,Autocuration,,,CHEMBL615155,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
13053,B,,,,8,,BAO_0000019,44,1,H,898,,,Autocuration,,,CHEMBL615156,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
20001,B,,,,8,,BAO_0000019,45,1,H,13163,,,Autocuration,,,CHEMBL615157,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Homo sapiens,,9606.0,
20001,B,,,,8,,BAO_0000019,46,1,H,13163,,,Autocuration,,,CHEMBL615158,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Homo sapiens,,9606.0,
12971,B,,,,9,,BAO_0000019,47,1,D,10691,,,Expert,,,CHEMBL615159,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Rattus norvegicus,,10116.0,
12971,B,,,,9,,BAO_0000019,48,1,D,10691,,,Expert,,,CHEMBL615172,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Rattus norvegicus,,10116.0,
12971,B,,,,9,,BAO_0000019,49,1,D,10691,,,Expert,,,CHEMBL615173,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Rattus norvegicus,,10116.0,
12971,B,,,,9,,BAO_0000019,50,1,D,10691,,,Expert,,,CHEMBL615174,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Rattus norvegicus,,10116.0,
13053,B,,,,8,,BAO_0000019,51,1,H,898,,,Autocuration,,,CHEMBL884518,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
11512,B,,,,8,,BAO_0000357,52,1,H,912,,,Autocuration,,,CHEMBL615175,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,
11512,B,,,,8,,BAO_0000357,53,1,H,912,,,Autocuration,,,CHEMBL615176,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,
11512,B,,,,8,,BAO_0000357,54,1,H,912,,,Autocuration,,,CHEMBL615177,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,
104740,B,,,,5,,BAO_0000249,55,1,D,15103,,,Autocuration,Membranes,,CHEMBL615178,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Rattus norvegicus,,10116.0,
80002,F,,,506.0,1,,BAO_0000219,56,1,N,5116,,,Intermediate,,,CHEMBL615179,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Homo sapiens,,9606.0,1A9
