assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_cll_d,assays_crtd_b,assays_b_frmt,assays_ss_d,assays_cnfdnc_scr,assays_ss_tx_d,assays_rltnshp_tp,assays_ss_ctgr,assays_src_ss_d,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_dscrptn,assays_ss_tss,assays_ss_tp,assays_td,assays_src_d,assays_ss_sbclllr_frctn,assays_tss_d,assays_ss_rgnsm
,In vivo,,,Intermediate,BAO_0000218,7524,1,10116.0,N,,,9866,CHEMBL618647,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Kidney,A,50597,1,,2113.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7525,1,10116.0,N,,,9866,CHEMBL618648,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Kidney,A,50597,1,,2113.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7526,1,10116.0,N,,,9866,CHEMBL618649,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Kidney,A,50597,1,,2113.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7527,1,10116.0,N,,,9866,CHEMBL618650,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Liver,A,50597,1,,2107.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7528,1,10116.0,N,,,9866,CHEMBL618651,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Liver,A,50597,1,,2107.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7529,1,10116.0,N,,,9866,CHEMBL876497,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Liver,A,50597,1,,2107.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7530,1,10116.0,N,,,9866,CHEMBL618652,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Lung,A,50597,1,,2048.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7531,1,10116.0,N,,,9866,CHEMBL618653,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Lung,A,50597,1,,2048.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7532,1,10116.0,N,,,9866,CHEMBL618654,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7533,1,10116.0,N,,,6351,CHEMBL618655,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7534,1,10116.0,N,,,1465,CHEMBL618656,,Compound was tested for solubility in water,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000100,7535,0,,U,,,5182,CHEMBL618657,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,P,22229,1,,,
,,,,Intermediate,BAO_0000218,7536,1,10116.0,N,,,17847,CHEMBL618658,,Solubility was determined,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7537,1,10116.0,N,,,15339,CHEMBL618659,,solubility in water (ug/mL) at 37 degree C.,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7538,1,10116.0,N,,,5202,CHEMBL618660,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7539,1,10116.0,N,,,1088,CHEMBL618661,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7540,1,10116.0,N,,,3169,CHEMBL873807,,Half life in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7541,1,10116.0,N,,,5353,CHEMBL618662,,Half life in Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7542,1,10116.0,N,,,2864,CHEMBL618663,,Half life period after 3 mg/kg iv administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7543,1,10116.0,N,,,2864,CHEMBL618664,,Half life period after 3 mg/kg iv administration in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7544,1,10116.0,N,,,2864,CHEMBL618665,,Half life period after 3 mg/kg iv administration in the rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7545,1,10116.0,N,,,6362,CHEMBL876498,,Half life period in female Sprague-Dawley rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7546,1,10116.0,N,,,6249,CHEMBL618666,,Half life period in rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7547,1,10116.0,N,,,3169,CHEMBL620440,,Half-life in rats was determined,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7548,1,10116.0,N,,,3169,CHEMBL620441,,Half-life in rats with metabolic oxidation,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7549,1,10116.0,N,,,3169,CHEMBL620442,,Half-life in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7550,1,10116.0,N,,,17260,CHEMBL620443,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7551,1,10116.0,N,,,17260,CHEMBL620444,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7552,1,10116.0,N,,,17260,CHEMBL620445,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7553,1,10116.0,N,,,17260,CHEMBL620446,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7554,1,10116.0,N,,,2879,CHEMBL620447,,Biological half-life measured in plasma of rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7555,1,10116.0,N,,,2879,CHEMBL621129,,Biological half-life measured in plasma of rat; 22-25,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7556,1,10116.0,N,,,2879,CHEMBL621130,,Biological half-life measured in plasma of rat; 9-16,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7557,1,10116.0,N,,,3184,CHEMBL873808,,Compound was evaluated for its half life when administered intravenously in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7558,1,10116.0,N,,,4891,CHEMBL876598,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7559,1,10116.0,N,,,429,CHEMBL621131,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7560,1,10116.0,N,,,5656,CHEMBL621132,,Half life (T1/2) after oral administration in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7561,1,10116.0,N,,,4413,CHEMBL621133,,Half life of compound after iv administration of 20 mg/kg dose in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Expert,BAO_0000218,7562,1,10116.0,N,,,3598,CHEMBL621312,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,A,50597,1,,,Rattus norvegicus
