film_id,original_language_id,release_year,title,rating,language,replacement_cost,rental_rate,length,description,rental_duration
1,,2006,ACADEMY DINOSAUR,PG,English,20.99,0.99,86,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,6
2,,2006,ACE GOLDFINGER,G,English,12.99,4.99,48,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,3
3,,2006,ADAPTATION HOLES,NC-17,English,18.99,2.99,50,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,7
4,,2006,AFFAIR PREJUDICE,G,English,26.99,2.99,117,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,5
5,,2006,AFRICAN EGG,G,English,22.99,2.99,130,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,6
6,,2006,AGENT TRUMAN,PG,English,17.99,2.99,169,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,3
7,,2006,AIRPLANE SIERRA,PG-13,English,28.99,4.99,62,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,6
8,,2006,AIRPORT POLLOCK,R,English,15.99,4.99,54,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,6
9,,2006,ALABAMA DEVIL,PG-13,English,21.99,2.99,114,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,3
10,,2006,ALADDIN CALENDAR,NC-17,English,24.99,4.99,63,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,6
11,,2006,ALAMO VIDEOTAPE,G,English,16.99,0.99,126,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,6
12,,2006,ALASKA PHANTOM,PG,English,22.99,0.99,136,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,6
13,,2006,ALI FOREVER,PG,English,21.99,4.99,150,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,4
14,,2006,ALICE FANTASIA,NC-17,English,23.99,0.99,94,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,6
15,,2006,ALIEN CENTER,NC-17,English,10.99,2.99,46,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,5
16,,2006,ALLEY EVOLUTION,NC-17,English,23.99,2.99,180,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,6
17,,2006,ALONE TRIP,R,English,14.99,0.99,82,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,3
18,,2006,ALTER VICTORY,PG-13,English,27.99,0.99,57,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,6
19,,2006,AMADEUS HOLY,PG,English,20.99,0.99,113,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,6
20,,2006,AMELIE HELLFIGHTERS,R,English,23.99,4.99,79,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,4
21,,2006,AMERICAN CIRCUS,R,English,17.99,4.99,129,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,3
22,,2006,AMISTAD MIDSUMMER,G,English,10.99,2.99,85,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,6
23,,2006,ANACONDA CONFESSIONS,R,English,9.99,0.99,92,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,3
24,,2006,ANALYZE HOOSIERS,R,English,19.99,2.99,181,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,6
25,,2006,ANGELS LIFE,G,English,15.99,2.99,74,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,3
26,,2006,ANNIE IDENTITY,G,English,15.99,0.99,86,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,3
27,,2006,ANONYMOUS HUMAN,NC-17,English,12.99,0.99,179,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,7
28,,2006,ANTHEM LUKE,PG-13,English,16.99,4.99,91,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,5
29,,2006,ANTITRUST TOMATOES,NC-17,English,11.99,2.99,168,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,5
30,,2006,ANYTHING SAVANNAH,R,English,27.99,2.99,82,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,4
31,,2006,APACHE DIVINE,NC-17,English,16.99,4.99,92,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,5
32,,2006,APOCALYPSE FLAMINGOS,R,English,11.99,4.99,119,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,6
33,,2006,APOLLO TEEN,PG-13,English,15.99,2.99,153,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,5
34,,2006,ARABIA DOGMA,NC-17,English,29.99,0.99,62,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,6
35,,2006,ARACHNOPHOBIA ROLLERCOASTER,PG-13,English,24.99,2.99,147,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,4
36,,2006,ARGONAUTS TOWN,PG-13,English,12.99,0.99,127,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,7
37,,2006,ARIZONA BANG,PG,English,28.99,2.99,121,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,3
38,,2006,ARK RIDGEMONT,NC-17,English,25.99,0.99,68,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,6
39,,2006,ARMAGEDDON LOST,G,English,10.99,0.99,99,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,5
40,,2006,ARMY FLINTSTONES,R,English,22.99,0.99,148,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,4
41,,2006,ARSENIC INDEPENDENCE,PG,English,17.99,0.99,137,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,4
42,,2006,ARTIST COLDBLOODED,NC-17,English,10.99,2.99,170,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,5
43,,2006,ATLANTIS CAUSE,G,English,15.99,2.99,170,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,6
44,,2006,ATTACKS HATE,PG-13,English,21.99,4.99,113,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,5
45,,2006,ATTRACTION NEWTON,PG-13,English,14.99,4.99,83,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,5
46,,2006,AUTUMN CROW,G,English,13.99,4.99,108,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,3
47,,2006,BABY HALL,NC-17,English,23.99,4.99,153,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,5
48,,2006,BACKLASH UNDEFEATED,PG-13,English,24.99,4.99,118,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,3
49,,2006,BADMAN DAWN,R,English,22.99,2.99,162,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,6
