category_id,category_name,film_id
9,Foreign,246
12,Music,879
12,Music,936
11,Horror,475
7,Drama,683
11,Horror,800
10,Games,781
9,Foreign,128
14,Sci-Fi,839
3,Children,149
14,Sci-Fi,49
2,Animation,208
10,Games,956
16,Travel,518
15,Sports,890
15,Sports,488
5,Comedy,568
15,Sports,263
13,New,226
6,Documentary,206
9,Foreign,584
3,Children,786
6,Documentary,992
9,Foreign,380
4,Classics,432
4,Classics,815
2,Animation,564
16,Travel,811
15,Sports,519
16,Travel,87
6,Documentary,629
3,Children,168
10,Games,701
8,Family,832
6,Documentary,973
4,Classics,184
11,Horror,904
10,Games,215
15,Sports,517
1,Action,927
6,Documentary,400
2,Animation,464
6,Documentary,101
16,Travel,526
5,Comedy,906
5,Comedy,524
15,Sports,763
10,Games,406
8,Family,53
14,Sci-Fi,367
9,Foreign,908
15,Sports,237
5,Comedy,308
10,Games,106
1,Action,292
1,Action,375
10,Games,646
1,Action,126
4,Classics,536
14,Sci-Fi,140
5,Comedy,858
1,Action,838
9,Foreign,500
4,Classics,425
10,Games,447
11,Horror,995
11,Horror,495
14,Sci-Fi,967
2,Animation,118
9,Foreign,531
2,Animation,649
8,Family,780
10,Games,281
12,Music,980
5,Comedy,774
5,Comedy,754
11,Horror,258
1,Action,579
10,Games,264
6,Documentary,40
11,Horror,804
2,Animation,36
5,Comedy,502
2,Animation,70
6,Documentary,199
9,Foreign,567
16,Travel,988
12,Music,384
13,New,96
6,Documentary,393
7,Drama,173
8,Family,213
9,Foreign,290
4,Classics,512
13,New,677
8,Family,31
13,New,270
2,Animation,330
1,Action,991
14,Sci-Fi,203
12,Music,411
6,Documentary,708
15,Sports,851
5,Comedy,202
10,Games,949
11,Horror,30
9,Foreign,640
16,Travel,288
3,Children,626
15,Sports,678
9,Foreign,399
14,Sci-Fi,165
16,Travel,787
14,Sci-Fi,114
2,Animation,325
7,Drama,958
3,Children,918
16,Travel,642
9,Foreign,440
5,Comedy,837
15,Sports,389
7,Drama,882
12,Music,378
5,Comedy,276
4,Classics,843
9,Foreign,689
10,Games,211
8,Family,94
14,Sci-Fi,972
13,New,920
10,Games,382
14,Sci-Fi,620
5,Comedy,335
16,Travel,931
9,Foreign,414
1,Action,850
2,Animation,865
4,Classics,482
1,Action,318
2,Animation,134
1,Action,697
5,Comedy,7
12,Music,516
5,Comedy,604
15,Sports,420
15,Sports,668
14,Sci-Fi,44
4,Classics,951
14,Sci-Fi,153
6,Documentary,221
11,Horror,24
3,Children,485
16,Travel,609
7,Drama,923
15,Sports,917
8,Family,391
6,Documentary,62
12,Music,51
1,Action,964
15,Sports,279
10,Games,331
13,New,305
11,Horror,122
11,Horror,171
14,Sci-Fi,930
11,Horror,653
5,Comedy,905
11,Horror,922
6,Documentary,142
6,Documentary,72
6,Documentary,855
8,Family,621
2,Animation,692
16,Travel,868
8,Family,710
6,Documentary,925
5,Comedy,182
5,Comedy,265
13,New,935
11,Horror,799
8,Family,795
11,Horror,665
7,Drama,98
9,Foreign,376
14,Sci-Fi,520
3,Children,152
6,Documentary,757
6,Documentary,943
15,Sports,940
13,New,77
16,Travel,88
14,Sci-Fi,240
11,Horror,313
4,Classics,190
4,Classics,471
7,Drama,643
6,Documentary,441
4,Classics,358
10,Games,596
2,Animation,239
1,Action,371
9,Foreign,452
12,Music,17
9,Foreign,669
14,Sci-Fi,350
10,Games,352
3,Children,573
15,Sports,681
8,Family,810
14,Sci-Fi,177
2,Animation,23
3,Children,214
15,Sports,764
14,Sci-Fi,234
11,Horror,301
6,Documentary,427
11,Horror,527
5,Comedy,99
15,Sports,599
12,Music,255
6,Documentary,1
12,Music,797
16,Travel,543
1,Action,793
15,Sports,453
1,Action,29
9,Foreign,533
6,Documentary,698
15,Sports,570
9,Foreign,455
6,Documentary,622
16,Travel,914
8,Family,639
9,Foreign,971
1,Action,501
1,Action,395
4,Classics,725
16,Travel,339
4,Classics,60
6,Documentary,457
1,Action,38
4,Classics,297
9,Foreign,148
13,New,913
6,Documentary,3
2,Animation,690
7,Drama,942
2,Animation,223
2,Animation,300
5,Comedy,672
