film_id,attore_id
320,176
994,28
245,48
241,38
618,3
369,126
238,125
961,122
576,53
557,125
765,98
513,120
844,156
203,13
207,95
278,146
32,168
570,48
788,79
499,1
219,32
704,24
965,128
88,194
643,103
812,12
988,188
420,136
956,103
598,43
325,93
785,37
307,64
194,24
350,108
276,154
939,196
692,167
628,198
719,62
165,20
826,160
66,101
592,57
33,136
494,185
45,68
564,26
623,125
515,52
51,188
489,120
783,60
694,77
64,158
41,135
838,92
921,113
551,82
214,138
314,146
774,128
53,70
554,147
806,133
619,95
414,84
874,190
867,42
89,43
954,154
231,62
545,92
990,61
188,173
8,138
985,115
842,18
142,21
337,13
572,96
12,105
980,1
761,85
813,95
564,173
953,28
570,151
390,183
370,97
893,63
906,142
995,197
777,47
199,142
545,198
589,141
453,70
551,94
634,169
417,50
2,19
580,166
967,16
396,144
378,17
17,167
258,57
14,85
561,97
398,62
530,21
143,97
442,77
373,140
88,59
230,66
817,15
608,101
61,136
466,40
12,177
965,185
470,142
24,42
220,155
758,7
493,91
4,88
626,15
445,75
109,193
33,162
966,115
676,90
463,4
462,18
457,145
242,82
194,126
435,110
820,189
431,102
596,41
128,58
453,93
584,125
253,14
958,76
381,181
862,56
417,187
469,64
385,62
523,8
286,5
510,185
54,20
505,92
281,84
923,167
548,107
433,11
973,107
12,180
118,100
170,154
832,24
622,192
811,149
781,136
11,174
920,39
462,128
899,128
143,66
663,37
570,87
356,103
291,64
876,42
380,31
399,118
620,88
267,57
184,170
839,68
427,146
124,93
415,179
876,38
517,63
31,15
122,76
646,64
568,92
268,18
531,20
68,76
529,84
955,180
585,32
769,179
254,58
325,111
215,172
799,158
232,143
957,118
714,200
212,23
759,142
347,164
661,96
874,181
708,178
236,10
763,127
999,142
141,79
718,148
776,144
640,199
298,117
695,118
827,43
395,11
790,47
83,24
860,126
777,83
947,97
361,166
44,18
342,148
502,45
628,167
744,111
796,102
475,145
83,106
129,197
619,168
938,118
326,166
996,170
349,156
886,16
168,128
670,19
313,104
170,151
73,77
250,99
541,199
287,28
585,61
270,150
163,86
723,29
48,91
540,144
492,53
151,49
703,10
838,12
857,86
193,136
637,7
725,130
974,51
164,45
153,149
786,194
593,156
130,59
193,149
516,38
317,84
254,13
767,45
43,130
725,53
763,63
751,177
549,159
830,191
694,59
696,108
122,157
306,50
412,188
553,138
839,176
269,135
957,147
508,61
303,50
684,129
988,101
363,90
984,104
731,22
221,16
88,69
672,50
39,177
446,150
683,125
173,190
884,121
409,145
159,149
491,23
877,100
102,158
648,39
550,173
499,198
148,9
103,193
198,62
64,30
113,124
474,52
747,40
607,141
865,42
190,124
348,129
781,63
715,26
540,84
981,130
457,106
902,44
353,157
506,188
795,196
125,144
837,102
69,30
551,150
383,85
511,101
929,10
347,65
841,114
92,85
407,49
361,66
415,39
32,158
473,196
543,64
92,168
703,39
17,82
957,66
844,162
503,16
61,138
125,138
852,78
327,26
40,183
538,20
671,9
688,22
290,39
811,5
26,71
60,41
43,141
339,149
997,124
217,157
908,196
154,13
164,193
478,130
567,11
908,88
827,114
858,90
133,60
186,142
559,106
234,76
62,190
205,11
45,73
280,15
890,113
376,60
541,196
243,50
561,2
110,13
34,27
85,162
351,7
159,179
138,185
24,38
275,160
374,69
726,99
108,52
687,106
788,118
301,30
976,187
149,200
702,21
700,112
634,79
665,42
906,143
990,98
8,96
289,101
436,80
564,81
275,15
591,50
264,198
219,171
478,17
852,174
136,118
698,132
33,82
806,198
498,75
749,1
570,119
569,64
272,144
30,178
839,82
658,151
962,150
781,107
95,76
108,106
250,87
358,170
369,5
688,155
367,164
687,143
885,109
493,34
928,66
679,27
303,90
379,198
27,7
185,3
384,118
369,83
46,59
536,22
785,155
750,56
983,186
206,131
795,15
437,158
717,88
520,50
346,13
388,183
959,190
815,32
659,120
574,107
678,85
325,99
969,113
665,185
860,123
969,191
249,155
952,60
253,37
429,146
553,118
530,105
296,191
463,40
354,187
589,20
175,125
547,92
588,198
15,164
868,56
239,163
271,103
473,94
496,157
679,28
680,192
415,162
345,172
662,101
969,24
579,160
980,32
532,71
473,33
11,40
540,142
945,146
503,74
436,60
73,63
798,165
121,158
484,45
722,174
74,9
684,184
524,196
249,2
318,171
810,149
159,41
654,121
199,24
13,91
652,133
827,28
361,155
929,88
347,68
229,106
914,142
715,183
956,71
645,171
354,56
199,87
111,22
313,17
190,109
394,119
929,86
321,30
835,40
678,41
962,195
808,86
605,57
161,43
311,178
876,159
78,23
973,28
307,55
885,26
658,60
744,108
574,157
707,117
101,48
192,74
914,187
405,147
50,70
402,94
366,166
378,68
374,190
777,180
112,32
389,81
983,10
29,187
473,19
239,107
794,195
811,9
717,167
190,117
343,124
366,127
946,59
605,139
12,109
112,51
188,149
177,60
47,153
886,198
125,23
780,106
914,35
277,1
987,147
550,2
500,15
400,12
98,125
452,184
194,178
664,52
128,116
691,4
626,168
126,106
952,198
733,51
992,141
835,93
980,10
683,134
768,46
287,48
674,159
758,197
706,143
932,63
10,29
762,78
512,67
513,12
391,49
461,85
896,189
340,57
414,23
573,157
450,125
768,187
978,101
616,84
758,101
933,40
868,90
3,24
618,7
466,97
631,83
561,138
969,77
834,74
859,8
517,65
612,14
534,107
321,18
289,177
747,68
779,165
436,29
994,6
994,186
338,133
63,197
720,69
726,124
263,124
258,140
785,88
779,34
661,145
136,107
548,189
923,187
291,22
381,36
164,197
15,69
785,109
888,80
583,138
206,188
538,25
120,145
857,129
961,53
654,70
473,158
330,90
945,96
703,84
602,139
625,171
746,139
650,110
879,107
978,175
640,72
672,12
374,73
