ppersonale_id,data_pagamento,cliente_id,noleggio_id,ammontare,data_noleggio,npersonale_id,inventario_id,pagamento_id,data_restituzione
1,2005-05-28 10:35:23,1,573,0.99,2005-05-28 10:35:23,1,4020,2,2005-06-03 06:32:23
2,2005-06-15 21:08:46,1,1476,9.99,2005-06-15 21:08:46,1,1407,5,2005-06-25 02:26:46
1,2005-06-21 06:24:45,1,3284,3.99,2005-06-21 06:24:45,1,4566,9,2005-06-28 03:28:45
1,2005-07-09 13:24:07,1,5244,4.99,2005-07-09 13:24:07,2,3726,12,2005-07-14 14:01:07
2,2005-07-27 11:31:22,1,7273,2.99,2005-07-27 11:31:22,1,2465,15,2005-07-31 06:50:22
1,2005-07-28 09:04:45,1,7841,4.99,2005-07-28 09:04:45,2,1092,16,2005-07-30 12:37:45
1,2005-08-02 18:01:38,1,11367,0.99,2005-08-02 18:01:38,1,1440,24,2005-08-04 13:19:38
2,2005-08-19 09:55:16,1,13068,0.99,2005-08-19 09:55:16,2,3019,27,2005-08-20 14:44:16
2,2005-08-22 19:41:37,1,15298,2.99,2005-08-22 19:41:37,1,1446,31,2005-08-28 22:49:37
1,2005-08-22 20:03:46,1,15315,5.99,2005-08-22 20:03:46,2,312,32,2005-08-30 01:51:46
1,2005-07-10 06:31:24,2,5636,2.99,2005-07-10 06:31:24,1,4116,35,2005-07-13 02:36:24
2,2005-07-27 14:30:42,2,7346,4.99,2005-07-27 14:30:42,1,741,37,2005-08-02 16:48:42
1,2005-07-27 15:23:02,2,7376,5.99,2005-07-27 15:23:02,2,488,38,2005-08-04 10:35:02
1,2005-07-31 21:58:56,2,10136,2.99,2005-07-31 21:58:56,1,3142,48,2005-08-03 19:44:56
1,2005-08-02 10:43:48,2,11177,6.99,2005-08-02 10:43:48,2,1149,52,2005-08-10 10:55:48
2,2005-08-02 13:44:53,2,11256,2.99,2005-08-02 13:44:53,1,2060,53,2005-08-04 16:39:53
1,2005-08-19 06:26:04,2,12963,2.99,2005-08-19 06:26:04,2,1521,55,2005-08-23 11:37:04
1,2005-06-16 01:34:05,3,1546,8.99,2005-06-16 01:34:05,1,3913,62,2005-06-24 04:27:05
1,2005-06-16 15:19:10,3,1726,6.99,2005-06-16 15:19:10,2,116,63,2005-06-25 11:39:10
1,2005-06-19 08:34:53,3,2628,2.99,2005-06-19 08:34:53,2,3917,65,2005-06-28 04:19:53
1,2005-07-28 11:46:45,3,7911,4.99,2005-07-28 11:46:45,1,390,72,2005-07-29 07:19:45
2,2005-07-31 11:32:58,3,9816,4.99,2005-07-31 11:32:58,2,4560,78,2005-08-04 17:12:58
1,2005-07-28 02:10:10,4,7660,2.99,2005-07-28 02:10:10,2,4385,92,2005-07-30 04:29:10
1,2005-07-30 18:58:00,4,9371,5.99,2005-07-30 18:58:00,1,2980,96,2005-08-03 15:14:00
2,2005-08-02 07:09:34,4,11069,0.99,2005-08-02 07:09:34,1,57,97,2005-08-08 08:39:34
2,2005-08-18 05:14:44,4,12294,8.99,2005-08-18 05:14:44,2,2479,101,2005-08-27 01:32:44
1,2005-08-22 13:58:23,4,15147,2.99,2005-08-22 13:58:23,2,2553,106,2005-08-28 14:33:23
2,2005-08-23 07:43:00,4,15635,1.99,2005-08-23 07:43:00,1,3308,107,2005-08-27 10:47:00
1,2005-05-31 11:15:43,5,1085,6.99,2005-05-31 11:15:43,1,301,109,2005-06-07 12:02:43
2,2005-07-08 20:04:43,5,4889,2.99,2005-07-08 20:04:43,2,4463,117,2005-07-13 17:57:43
2,2005-07-09 08:51:42,5,5156,1.99,2005-07-09 08:51:42,2,416,120,2005-07-15 03:59:42
2,2005-07-10 11:09:35,5,5721,0.99,2005-07-10 11:09:35,2,2348,121,2005-07-17 16:41:35
1,2005-07-11 03:17:04,5,6042,8.99,2005-07-11 03:17:04,1,2153,122,2005-07-19 07:08:04
2,2005-07-27 12:37:28,5,7293,0.99,2005-07-27 12:37:28,2,3333,125,2005-07-30 15:12:28
1,2005-08-19 00:24:08,5,12797,2.99,2005-08-19 00:24:08,2,1595,138,2005-08-21 22:53:08
