film_id,category_id,category_name,title,description,release_year,language,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating
178,5,Comedy,CONNECTION MICROCOSMOS,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,2006,English,,6,0.99,115,25.99,G
120,15,Sports,CARIBBEAN LIBERTY,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,2006,English,,3,4.99,92,16.99,NC-17
550,8,Family,MAGUIRE APACHE,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,2006,English,,6,2.99,74,22.99,NC-17
83,8,Family,BLUES INSTINCT,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,2006,English,,5,2.99,50,18.99,G
888,6,Documentary,THIN SAGEBRUSH,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,2006,English,,5,4.99,53,9.99,PG-13
801,3,Children,SISTER FREDDY,A Stunning Saga of a Butler And a Woman who must Pursue a Explorer in Australia,2006,English,,5,4.99,152,19.99,PG-13
46,10,Games,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,English,,3,4.99,108,13.99,G
695,8,Family,PRESIDENT BANG,A Fateful Panorama of a Technical Writer And a Moose who must Battle a Robot in Soviet Georgia,2006,English,,6,4.99,144,12.99,PG
904,11,Horror,TRAIN BUNCH,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,2006,English,,3,4.99,71,26.99,R
206,6,Documentary,DANCING FEVER,A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank,2006,English,,6,0.99,144,25.99,G
797,12,Music,SILENCE KANE,A Emotional Drama of a Sumo Wrestler And a Dentist who must Confront a Sumo Wrestler in A Baloon,2006,English,,7,0.99,67,23.99,R
784,16,Travel,SHANGHAI TYCOON,A Fast-Paced Character Study of a Crocodile And a Lumberjack who must Build a Husband in An Abandoned Fun House,2006,English,,7,2.99,47,20.99,PG
827,7,Drama,SPICE SORORITY,A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft,2006,English,,5,4.99,141,22.99,NC-17
627,6,Documentary,NORTH TEQUILA,A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans,2006,English,,4,4.99,67,9.99,NC-17
857,5,Comedy,STRICTLY SCARFACE,A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House,2006,English,,3,2.99,144,24.99,PG-13
424,3,Children,HOLOCAUST HIGHBALL,A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia,2006,English,,6,0.99,149,12.99,R
994,13,New,WYOMING STORM,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,2006,English,,6,4.99,100,29.99,PG-13
649,2,Animation,OZ LIAISONS,A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory,2006,English,,4,2.99,85,14.99,R
764,15,Sports,SATURDAY LAMBS,A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon,2006,English,,3,4.99,150,28.99,G
306,10,Games,FEATHERS METAL,A Thoughtful Yarn of a Monkey And a Teacher who must Find a Dog in Australia,2006,English,,3,0.99,104,12.99,PG-13
140,14,Sci-Fi,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,English,,6,0.99,87,23.99,G
48,3,Children,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,English,,3,4.99,118,24.99,PG-13
144,13,New,CHINATOWN GLADIATOR,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,2006,English,,7,4.99,61,24.99,PG
886,2,Animation,THEORY MERMAID,A Fateful Yarn of a Composer And a Monkey who must Vanquish a Womanizer in The First Manned Space Station,2006,English,,5,0.99,184,9.99,PG-13
43,8,Family,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,English,,6,2.99,170,15.99,G
571,6,Documentary,METAL ARMAGEDDON,A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory,2006,English,,6,2.99,161,26.99,PG-13
3,6,Documentary,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English,,7,2.99,50,18.99,NC-17
240,14,Sci-Fi,DOLLS RAGE,A Thrilling Display of a Pioneer And a Frisbee who must Escape a Teacher in The Outback,2006,English,,7,2.99,120,10.99,PG-13
712,6,Documentary,RAIDERS ANTITRUST,A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station,2006,English,,4,0.99,82,11.99,PG-13
229,1,Action,DEVIL DESIRE,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,2006,English,,6,4.99,87,12.99,R
568,5,Comedy,MEMENTO ZOOLANDER,A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert,2006,English,,4,4.99,77,11.99,NC-17
349,2,Animation,GANGS PRIDE,A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin,2006,English,,4,2.99,185,27.99,PG-13
771,7,Drama,SCORPION APOLLO,A Awe-Inspiring Documentary of a Technical Writer And a Husband who must Meet a Monkey in An Abandoned Fun House,2006,English,,3,4.99,137,23.99,NC-17
759,13,New,SALUTE APOLLO,A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China,2006,English,,4,2.99,73,29.99,R
940,15,Sports,VICTORY ACADEMY,A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert,2006,English,,6,0.99,64,19.99,PG-13
165,14,Sci-Fi,COLDBLOODED DARLING,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,2006,English,,7,4.99,70,27.99,G
715,8,Family,RANGE MOONWALKER,A Insightful Documentary of a Hunter And a Dentist who must Confront a Crocodile in A Baloon,2006,English,,3,4.99,147,25.99,PG
392,3,Children,HALL CASSIDY,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,2006,English,,5,4.99,51,13.99,NC-17
973,6,Documentary,WIFE TURN,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,2006,English,,3,4.99,183,27.99,NC-17
620,14,Sci-Fi,NEMO CAMPUS,A Lacklusture Reflection of a Monkey And a Squirrel who must Outrace a Womanizer in A Manhattan Penthouse,2006,English,,5,2.99,131,23.99,NC-17
41,16,Travel,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,English,,4,0.99,137,17.99,PG
227,10,Games,DETAILS PACKER,A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat,2006,English,,4,4.99,88,17.99,R
44,14,Sci-Fi,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,English,,5,4.99,113,21.99,PG-13
939,5,Comedy,VERTIGO NORTHWEST,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,2006,English,,4,2.99,90,17.99,R
308,5,Comedy,FERRIS MOTHER,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico,2006,English,,3,2.99,142,13.99,PG
917,15,Sports,TUXEDO MILE,A Boring Drama of a Man And a Forensic Psychologist who must Face a Frisbee in Ancient India,2006,English,,3,2.99,152,24.99,R
950,4,Classics,VOLUME HOUSE,A Boring Tale of a Dog And a Woman who must Meet a Dentist in California,2006,English,,7,4.99,132,12.99,PG
870,11,Horror,SWARM GOLD,A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention,2006,English,,4,0.99,123,12.99,PG-13
936,12,Music,VANISHING ROCKY,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention,2006,English,,3,2.99,123,21.99,NC-17
79,7,Drama,BLADE POLISH,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,2006,English,,5,0.99,114,10.99,PG-13
396,7,Drama,HANGING DEEP,A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin,2006,English,,5,4.99,62,18.99,G
655,14,Sci-Fi,PANTHER REDS,A Brilliant Panorama of a Moose And a Man who must Reach a Teacher in The Gulf of Mexico,2006,English,,5,4.99,109,22.99,NC-17
89,2,Animation,BORROWERS BEDAZZLED,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,2006,English,,7,0.99,63,22.99,G
