assay_id,assay_test_type,assay_organism,assay_category,assay_type,relationship_type,curated_by,assay_tissue,assay_tax_id,description,tid,variant_id,src_assay_id,src_id,doc_id,bao_format,confidence_score,chembl_id,cell_id,tissue_id
7524,In vivo,Rattus norvegicus,,A,N,Intermediate,Kidney,10116.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL618647,,2113.0
7525,In vivo,Rattus norvegicus,,A,N,Intermediate,Kidney,10116.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,50597,,,1,9866,BAO_0000218,1,CHEMBL618648,,2113.0
7526,In vivo,Rattus norvegicus,,A,N,Intermediate,Kidney,10116.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL618649,,2113.0
7527,In vivo,Rattus norvegicus,,A,N,Intermediate,Liver,10116.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL618650,,2107.0
7528,In vivo,Rattus norvegicus,,A,N,Intermediate,Liver,10116.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,50597,,,1,9866,BAO_0000218,1,CHEMBL618651,,2107.0
7529,In vivo,Rattus norvegicus,,A,N,Intermediate,Liver,10116.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL876497,,2107.0
7530,In vivo,Rattus norvegicus,,A,N,Intermediate,Lung,10116.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL618652,,2048.0
7531,In vivo,Rattus norvegicus,,A,N,Intermediate,Lung,10116.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,50597,,,1,9866,BAO_0000218,1,CHEMBL618653,,2048.0
7532,In vivo,Rattus norvegicus,,A,N,Intermediate,Lung,10116.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,50597,,,1,9866,BAO_0000218,1,CHEMBL618654,,2048.0
7533,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,50597,,,1,6351,BAO_0000218,1,CHEMBL618655,,
7534,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Compound was tested for solubility in water,50597,,,1,1465,BAO_0000218,1,CHEMBL618656,,
7535,,,,P,U,Intermediate,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),22229,,,1,5182,BAO_0000100,0,CHEMBL618657,,
7536,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Solubility was determined,50597,,,1,17847,BAO_0000218,1,CHEMBL618658,,
7537,,Rattus norvegicus,,A,N,Intermediate,,10116.0,solubility in water (ug/mL) at 37 degree C.,50597,,,1,15339,BAO_0000218,1,CHEMBL618659,,
7538,,Rattus norvegicus,,A,N,Intermediate,,10116.0,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,50597,,,1,5202,BAO_0000218,1,CHEMBL618660,,
7539,,Rattus norvegicus,,A,N,Intermediate,,10116.0,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,50597,,,1,1088,BAO_0000218,1,CHEMBL618661,,
7540,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life in rats,50597,,,1,3169,BAO_0000218,1,CHEMBL873807,,
7541,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life in Dawley rat,50597,,,1,5353,BAO_0000218,1,CHEMBL618662,,
7542,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life period after 3 mg/kg iv administration,50597,,,1,2864,BAO_0000218,1,CHEMBL618663,,
7543,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life period after 3 mg/kg iv administration in rat,50597,,,1,2864,BAO_0000218,1,CHEMBL618664,,
7544,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life period after 3 mg/kg iv administration in the rat,50597,,,1,2864,BAO_0000218,1,CHEMBL618665,,
7545,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life period in female Sprague-Dawley rats,50597,,,1,6362,BAO_0000218,1,CHEMBL876498,,
7546,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half life period in rat,50597,,,1,6249,BAO_0000218,1,CHEMBL618666,,
7547,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half-life in rats was determined,50597,,,1,3169,BAO_0000218,1,CHEMBL620440,,
7548,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half-life in rats with metabolic oxidation,50597,,,1,3169,BAO_0000218,1,CHEMBL620441,,
7549,,Rattus norvegicus,,A,N,Intermediate,,10116.0,Half-life in rats,50597,,,1,3169,BAO_0000218,1,CHEMBL620442,,
7550,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,50597,,,1,17260,BAO_0000218,1,CHEMBL620443,,
7551,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,50597,,,1,17260,BAO_0000218,1,CHEMBL620444,,
7552,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,50597,,,1,17260,BAO_0000218,1,CHEMBL620445,,
7553,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,50597,,,1,17260,BAO_0000218,1,CHEMBL620446,,
7554,,Rattus norvegicus,,A,N,Intermediate,Plasma,10116.0,Biological half-life measured in plasma of rat,50597,,,1,2879,BAO_0000218,1,CHEMBL620447,,1969.0
7555,,Rattus norvegicus,,A,N,Intermediate,Plasma,10116.0,Biological half-life measured in plasma of rat; 22-25,50597,,,1,2879,BAO_0000218,1,CHEMBL621129,,1969.0
7556,,Rattus norvegicus,,A,N,Intermediate,Plasma,10116.0,Biological half-life measured in plasma of rat; 9-16,50597,,,1,2879,BAO_0000218,1,CHEMBL621130,,1969.0
7557,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,Compound was evaluated for its half life when administered intravenously in rat,50597,,,1,3184,BAO_0000218,1,CHEMBL873808,,
7558,In vivo,Rattus norvegicus,,A,N,Intermediate,,10116.0,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,50597,,,1,4891,BAO_0000218,1,CHEMBL876598,,
