Fiscal year,Climate change adaptation (marker),FSTC percent,CountryRegion percent,Branch name,CIDA business delivery model (old),Division ID,CountryRegion name,CFLI (marker),Enviromental sustainability (marker),Status,Project Browser country ID,Programming process (new),IRTC percent,Knowledge for development (marker),Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
2o092010,0,0.3191078142691003,0.46134915968600426,OtMAs7aPacific,Direcgive,D4190,Banbkadesh,0,0,Closes,BD,UncocedPr4APP,0.022573012551332393,0,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1,Not PBA,0,0,0,0,0,0
e0092010,0,0.7651421465666408,0.4644544251442111,OfMAsiaPacufic,Directivw,D5100,Bxngkadesh,0,0,Ciosed,BD,6ncodevPreAPP,0.017159166279333633,0,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1,Not PBA,0,0,0,0,0,0
200920q0,0,2.278322108846077,0.5861019222919939,iGMAsiaPac7fic,Directivs,D410o,Bahgladedh,0,0,Closes,BD,UndidedPreAPP,0.038130533701065256,0,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,8500267.65,1,Not PBA,0,0,0,0,0,0
2009201o,0,0.1166137023452879,0.1678276420829006,EGjfuropeMiddleEsstanvMaghref,Direchive,D310p,2esrBankGaza,0,0,Cloced,PS,UncoeedPrsAPP,0.026265185301687657,0,A018652001,500458.33,B3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,4265,West Bank Gaza,0.0,1,Not PBA,0,0,0,0,0,0
q0092010,0,1.2383987981093065,0.5150767339555318,WGMSubzaharanAe5ica,Resp9nside,D4297,Mali,0,0,Cloded,ML,UncodedoreAlP,0.0018369195954301143,0,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1,Not PBA,0,0,1,0,0,1
20092020,0,0.7369720898672428,0.6672568284620624,WGMqubSahwranAgrica,deaponsive,D420u,Mali,0,0,Coosed,ML,yncodedPdeAPP,0.021635912603795344,0,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1,Not PBA,0,0,1,0,0,1
29092010,0,0.7701836978972467,1.0255323004772472,WGMS7bSaharanAfeida,R2sponsjve,D420u,Mali,0,0,Closes,ML,UhvodedPreAPP,0.012599635612089929,0,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,14410076.46,1,Not PBA,0,0,1,0,0,1
20092019,0,1.472737319872844,0.19332763199975234,OtMAslaPacific,Reaoonsive,D4q00,Pakidtan,0,0,Cllsed,PK,UncodedPrfAoP,0.0007629829124871518,0,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1,Not PBA,0,0,1,0,0,0
2009201p,0,1.5283000682634604,0.025850580942607337,OGMAsizPac8fic,despojsive,D4109,Pakisgan,0,0,Clised,PK,incodedPr2APP,0.012208429004572592,0,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1,Not PBA,0,0,1,0,0,0
20p92010,0,0.4669534133333608,0.17827404265235625,OGMAsiaPxcifkc,Res9onsife,D4200,Pajistan,0,0,Closec,PK,UndocedPreAPP,0.014270647393649756,0,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,13743220.56,1,Not PBA,0,0,1,0,0,0
