Fiscal year,Status,Enviromental sustainability (marker),Regional program (marker),Trade development (marker),Children issues (marker),ICT as a tool for development (marker),PBA type,Participatory development and good governance,Bilateral aid (international marker),Continent ID,FSTC percent,Project Browser country ID,Climate change adaptation (marker),Maximum CIDA contribution (project-level),Desertification (marker),Untied amount(Project-level budget),CountryRegion ID,Sector ID,Youth issues (marker),IRTC percent,Project number,CIDA business delivery model (old),Indigenous issues (marker),Division name,Branch ID,Branch name,Division ID,Section ID,Section name,Fund centre ID,Fund centre name,CFLI (marker),Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Urban issues (marker),Disability issues (marker)
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,BD,0,8500267.65,0,8500267.65,BD,15150,0,0.0,A017716001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,4122,Bangladesh,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,BD,0,8500267.65,0,8500267.65,BD,24040,0,0.0,A017716001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,4122,Bangladesh,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,BD,0,8500267.65,0,8500267.65,BD,25020,0,0.0,A017716001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,4122,Bangladesh,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,0.0,PS,0,500458.33,0,0.0,PS,99810,0,0.0,A018652001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4265,West Bank Gaza,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ML,0,14410076.46,0,14410076.46,ML,16020,0,0.0,A018893001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ML,0,14410076.46,0,14410076.46,ML,32310,0,0.0,A018893001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ML,0,14410076.46,0,14410076.46,ML,43030,0,0.0,A018893001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,3,1.0,PK,0,13743220.56,0,13743220.56,PK,15110,0,0.0,A019043001,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,3,1.0,PK,0,13743220.56,0,13743220.56,PK,15111,0,0.0,A019043001,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,3,1.0,PK,0,13743220.56,0,13743220.56,PK,16010,0,0.0,A019043001,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0,Uncoded: Pre-APP,0,0,0,0
