FiYe,SeN,IndiIs,ChiIs,CounRegPe,FuCenN,ProgProc,TrDev,Biodi,SecN,Sta,OrganiID,FCeID,UntAmoPrBud,BraID,CouRegID,YouIss,GenEqu,OrgS,CouRegN,FSTCPe,OrganiNa,OrganTy,BrNa,ClimChaMiti,Deserti,PartiDeveAGoGove,UrbIss,DisIss,ICTAAToFoDevelo,KnowlFoDev,OrganCl,ContiID,ContN,ProBrCounID,SecID,SePerc,AmoSp
2009/2010,Multilateral trade negotiations,0,0,0.22,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X3,0,0,UNITED NATIONS,Asia MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,3,Asia,X3,33140,0.14,75768.0
2009/2010,Sectors not specified,0,0,0.22,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X3,0,0,UNITED NATIONS,Asia MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,3,Asia,X3,99810,0.505,273306.0
2009/2010,Medical services,0,0,0.32,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X4,0,0,UNITED NATIONS,Europe MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,5,Europe,X4,12191,0.268,210969.6
2009/2010,Water resources conservation (including data collection),0,0,0.32,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X4,0,0,UNITED NATIONS,Europe MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,5,Europe,X4,14015,0.047,36998.4
2009/2010,Nuclear energy electric power plants,0,0,0.32,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X4,0,0,UNITED NATIONS,Europe MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,5,Europe,X4,23510,0.04,31488.0
2009/2010,Multilateral trade negotiations,0,0,0.32,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X4,0,0,UNITED NATIONS,Europe MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,5,Europe,X4,33140,0.14,110208.0
2009/2010,Sectors not specified,0,0,0.32,UN - CORE,Uncoded: Pre-APP,0,0,MIO United Nations,Closed,1005967,5291,2460000.0,B5100,X4,0,0,UNITED NATIONS,Europe MC,0.0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,1,0,0,1,1,Multilateral,5,Europe,X4,99810,0.505,397536.0
2009/2010,Material relief assistance and services,0,0,1.0,MHI Non-Food INIT,Uncoded: Pre-APP,0,0,MHI International Humanitarian Assis ops,Closed,1001300,5303,300000.0,B5100,SV,0,0,REGIONAL ORGANIZATION,El Salvador,0.0,PAHO - Pan American Health Organization,Foreign Non-Profit Making,MFM Global Issues and Development,0,0,0,0,0,0,0,Multilateral,1,America,SV,72010,1.0,300000.0
2009/2010,Material relief assistance and services,0,0,0.5,MHO Non Food - CORE,Uncoded: Pre-APP,0,0,MHO Huma Organization & Food Assistance,Terminating,1014663,5311,3000000.0,B5100,X1,0,1,INTERNATIONAL NGO,Africa MC,0.0,ICRC Appeals via CRCS,Canadian Non-Profit Making,MFM Global Issues and Development,0,0,0,0,0,0,0,Civil Society,2,Africa,X1,72010,1.0,1500000.0
2009/2010,Material relief assistance and services,0,0,0.15,MHO Non Food - CORE,Uncoded: Pre-APP,0,0,MHO Huma Organization & Food Assistance,Terminating,1014663,5311,3000000.0,B5100,X2,0,1,INTERNATIONAL NGO,Americas MC,0.0,ICRC Appeals via CRCS,Canadian Non-Profit Making,MFM Global Issues and Development,0,0,0,0,0,0,0,Civil Society,1,America,X2,72010,1.0,450000.0
