Fiscal year,Biodiversity (marker),Bilateral aid (international marker),Regional program (marker),PBA type,Section name,FSTC percent,Climate change mitigation (marker),Organisation type,Branch name,Organisation sub-class,CountryRegion ID,Status,Amount spent,Continent ID,Project number,Maximum CIDA contribution (project-level),Branch ID,Division ID,Division name,Section ID,Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,0,1,0,Not PBA,Bangladesh Section,1.0,0,Canadian Profit Making,OGM Asia Pacific,CONSULTANT,BD,Closed,3932.842,3,A017716001,8500267.65,B4100,D4100,OAD Asia Programming,S4122,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Bangladesh Section,1.0,0,Canadian Profit Making,OGM Asia Pacific,CONSULTANT,BD,Closed,5899.263000000001,3,A017716001,8500267.65,B4100,D4100,OAD Asia Programming,S4122,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Bangladesh Section,1.0,0,Canadian Profit Making,OGM Asia Pacific,CONSULTANT,BD,Closed,9832.105,3,A017716001,8500267.65,B4100,D4100,OAD Asia Programming,S4122,4122,Bangladesh,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,West Bank Gaza & Palestinian Refugees,0.0,0,Canadian Non-Profit Making,"EGM Europe, Middle East and Maghreb",FEDERAL,PS,Closed,20502.06,3,A018652001,500458.33,B3100,D3100,EDD Europe-Middle East Programming,S4264,4265,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Mali Program Section,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,ML,Closed,14226.985,2,A018893001,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Mali Program Section,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,ML,Closed,11381.588,2,A018893001,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Mali Program Section,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,ML,Closed,2845.397,2,A018893001,14410076.46,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PK,Closed,142315.2,3,A019043001,13743220.56,B4100,D4100,OAD Asia Programming,S4141,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PK,Closed,142315.2,3,A019043001,13743220.56,B4100,D4100,OAD Asia Programming,S4141,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PK,Closed,71157.6,3,A019043001,13743220.56,B4100,D4100,OAD Asia Programming,S4141,4124,Pakistan,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Caricom - Adm,1.0,0,Canadian Profit Making,NGM Americas,CONSULTING SERVICES,JM,Closed,13163.27,1,A019362001,3441416.83,B4400,D4400,NDD Americas Programming,S4429,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Caricom - Adm,1.0,0,Canadian Profit Making,NGM Americas,CONSULTING SERVICES,JM,Closed,7256.25,1,A019362001,3441416.83,B4400,D4400,NDD Americas Programming,S4429,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,73931.99,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,18482.9975,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,18482.9975,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,18482.9975,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,92414.9875,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,55448.9925,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
