assay_id,doc_id,confidence_score,assay_strain,cell_id,assay_category,curated_by,tissue_id,assay_cell_type,assay_tissue,assay_tax_id,relationship_type,src_id,src_assay_id,chembl_id,bao_format,variant_id
7524,9866,1,,,,Intermediate,2113.0,,Kidney,10116.0,N,1,,CHEMBL618647,BAO_0000218,
7525,9866,1,,,,Intermediate,2113.0,,Kidney,10116.0,N,1,,CHEMBL618648,BAO_0000218,
7526,9866,1,,,,Intermediate,2113.0,,Kidney,10116.0,N,1,,CHEMBL618649,BAO_0000218,
7527,9866,1,,,,Intermediate,2107.0,,Liver,10116.0,N,1,,CHEMBL618650,BAO_0000218,
7528,9866,1,,,,Intermediate,2107.0,,Liver,10116.0,N,1,,CHEMBL618651,BAO_0000218,
7529,9866,1,,,,Intermediate,2107.0,,Liver,10116.0,N,1,,CHEMBL876497,BAO_0000218,
7530,9866,1,,,,Intermediate,2048.0,,Lung,10116.0,N,1,,CHEMBL618652,BAO_0000218,
7531,9866,1,,,,Intermediate,2048.0,,Lung,10116.0,N,1,,CHEMBL618653,BAO_0000218,
7532,9866,1,,,,Intermediate,2048.0,,Lung,10116.0,N,1,,CHEMBL618654,BAO_0000218,
7533,6351,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618655,BAO_0000218,
7534,1465,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618656,BAO_0000218,
7535,5182,0,,,,Intermediate,,,,,U,1,,CHEMBL618657,BAO_0000100,
7536,17847,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618658,BAO_0000218,
7537,15339,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618659,BAO_0000218,
7538,5202,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618660,BAO_0000218,
7539,1088,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618661,BAO_0000218,
7540,3169,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL873807,BAO_0000218,
7541,5353,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618662,BAO_0000218,
7542,2864,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618663,BAO_0000218,
7543,2864,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618664,BAO_0000218,
7544,2864,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618665,BAO_0000218,
7545,6362,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL876498,BAO_0000218,
7546,6249,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618666,BAO_0000218,
7547,3169,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620440,BAO_0000218,
7548,3169,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620441,BAO_0000218,
7549,3169,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620442,BAO_0000218,
7550,17260,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620443,BAO_0000218,
7551,17260,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620444,BAO_0000218,
7552,17260,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620445,BAO_0000218,
7553,17260,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL620446,BAO_0000218,
7554,2879,1,,,,Intermediate,1969.0,,Plasma,10116.0,N,1,,CHEMBL620447,BAO_0000218,
7555,2879,1,,,,Intermediate,1969.0,,Plasma,10116.0,N,1,,CHEMBL621129,BAO_0000218,
7556,2879,1,,,,Intermediate,1969.0,,Plasma,10116.0,N,1,,CHEMBL621130,BAO_0000218,
7557,3184,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL873808,BAO_0000218,
7558,4891,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL876598,BAO_0000218,
7559,429,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621131,BAO_0000218,
7560,5656,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621132,BAO_0000218,
7561,4413,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621133,BAO_0000218,
7562,3598,1,,,,Expert,,,,10116.0,N,1,,CHEMBL621312,BAO_0000218,
7563,17267,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621313,BAO_0000218,
7564,4727,1,,,,Intermediate,178.0,,Blood,10116.0,N,1,,CHEMBL621314,BAO_0000218,
7565,17651,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621315,BAO_0000218,
7566,17651,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621316,BAO_0000218,
7567,401,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621317,BAO_0000218,
7568,4942,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621318,BAO_0000218,
7569,17735,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621319,BAO_0000218,
7570,6056,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621377,BAO_0000218,
7571,5213,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621378,BAO_0000218,
7572,6616,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL876599,BAO_0000218,
7573,5937,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL621379,BAO_0000218,
7574,5819,1,,,,Intermediate,1969.0,,Plasma,10116.0,N,1,,CHEMBL621380,BAO_0000218,
7575,5819,1,,,,Intermediate,1969.0,,Plasma,10116.0,N,1,,CHEMBL621381,BAO_0000218,
7576,6803,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618515,BAO_0000218,
7577,17804,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618516,BAO_0000218,
7578,17804,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618517,BAO_0000218,
7579,5948,1,,,,Intermediate,,,,10116.0,N,1,,CHEMBL618518,BAO_0000218,
