assay_id,tid,assay_cell_type,assay_organism,assay_tissue,description,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction,relationship_type
1,12052,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,11087,B,,,,,,H
2,22226,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,684,F,,,,,,U
3,22226,,,,,15453,B,,,,,,U
4,104729,,Bos taurus,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,17841,B,,,9913.0,,,H
5,80001,143B,Homo sapiens,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,F,,,9606.0,,,N
6,80001,143B,Homo sapiens,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),17430,F,,,9606.0,,,N
7,80001,143B,Mus musculus,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,13799,F,,,10090.0,,,N
8,80001,143B,Homo sapiens,,In vitro cell cytotoxicity was determined against 143B cell line,17774,F,,,9606.0,,,N
9,80001,143B,Homo sapiens,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,3801,F,,,9606.0,,,N
10,80001,143B,Homo sapiens,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,F,,,9606.0,,,N
11,80001,143B,Homo sapiens,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,17430,F,,,9606.0,,,N
12,80001,143B,Homo sapiens,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,17774,F,,,9606.0,,,N
13,50185,,Staphylococcus aureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,,1280.0,,,N
14,50185,,Staphylococcus aureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,,1280.0,,,N
15,50185,,Staphylococcus aureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,,1280.0,,,N
16,50185,,Staphylococcus aureus,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,,1280.0,,,N
17,100122,,Rattus norvegicus,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,11347,A,,,10116.0,,,D
18,12054,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,H
19,12054,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,10091,B,,,,,,H
20,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,H
21,12054,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,H
22,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,H
23,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,B,,,,,,H
24,12054,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,B,,,,,,H
25,22226,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",14352,B,,,,,,U
26,12054,,Oryctolagus cuniculus,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,5646,B,,,9986.0,,,H
27,12054,,Oryctolagus cuniculus,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),5646,B,,,9986.0,,,H
28,12426,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,10997,B,,,,,,H
29,12054,,soya bean,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,6309,B,,,3847.0,,,H
30,12054,,Glycine max,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,167,B,,,3847.0,,,H
