assays_assay_id,assays_assay_subcellular_fraction,assays_assay_test_type,assays_assay_tissue,assays_assay_type,assays_assay_cell_type,assays_cell_id,assays_assay_category,assays_description,assays_relationship_type,assays_assay_strain,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_bao_format,assays_tissue_id,assays_variant_id
1,,,,B,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,,1,,CHEMBL615117,BAO_0000019,,
2,,,,F,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,,1,,CHEMBL615118,BAO_0000219,,
3,,,,B,,,,,U,,1,,CHEMBL615119,BAO_0000019,,
4,,,,B,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,,1,,CHEMBL615120,BAO_0000249,,
5,,,,F,143B,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,1,,CHEMBL615121,BAO_0000219,,
6,,,,F,143B,163.0,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,1,,CHEMBL615122,BAO_0000219,,
7,,,,F,143B,163.0,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,,1,,CHEMBL615123,BAO_0000219,,
8,,,,F,143B,163.0,,In vitro cell cytotoxicity was determined against 143B cell line,N,,1,,CHEMBL615124,BAO_0000219,,
9,,,,F,143B,163.0,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,,1,,CHEMBL615125,BAO_0000219,,
10,,,,F,143B,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,1,,CHEMBL615126,BAO_0000219,,
11,,,,F,143B,163.0,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,1,,CHEMBL615127,BAO_0000219,,
12,,,,F,143B,163.0,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,,1,,CHEMBL615128,BAO_0000219,,
13,,,,F,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,1,,CHEMBL857900,BAO_0000218,,
14,,,,F,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,1,,CHEMBL615129,BAO_0000218,,
15,,,,F,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,1,,CHEMBL615130,BAO_0000218,,
16,,,,F,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,1,,CHEMBL615131,BAO_0000218,,
17,,,,A,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,,1,,CHEMBL884521,BAO_0000357,,
18,,,,B,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),H,,1,,CHEMBL615132,BAO_0000357,,
