assays_assay_id,assays_bao_format,assays_assay_tissue,assays_cell_id,assays_curated_by,assays_src_assay_id,assays_assay_cell_type,assays_assay_subcellular_fraction,assays_tid,assays_relationship_type,assays_confidence_score,assays_src_id,assays_chembl_id,assays_tissue_id,assays_variant_id
7524,BAO_0000218,Kidney,,Intermediate,,,,50597,N,1,1,CHEMBL618647,2113.0,
7525,BAO_0000218,Kidney,,Intermediate,,,,50597,N,1,1,CHEMBL618648,2113.0,
7526,BAO_0000218,Kidney,,Intermediate,,,,50597,N,1,1,CHEMBL618649,2113.0,
7527,BAO_0000218,Liver,,Intermediate,,,,50597,N,1,1,CHEMBL618650,2107.0,
7528,BAO_0000218,Liver,,Intermediate,,,,50597,N,1,1,CHEMBL618651,2107.0,
7529,BAO_0000218,Liver,,Intermediate,,,,50597,N,1,1,CHEMBL876497,2107.0,
7530,BAO_0000218,Lung,,Intermediate,,,,50597,N,1,1,CHEMBL618652,2048.0,
7531,BAO_0000218,Lung,,Intermediate,,,,50597,N,1,1,CHEMBL618653,2048.0,
7532,BAO_0000218,Lung,,Intermediate,,,,50597,N,1,1,CHEMBL618654,2048.0,
7533,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618655,,
7534,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618656,,
7535,BAO_0000100,,,Intermediate,,,,22229,U,0,1,CHEMBL618657,,
7536,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618658,,
7537,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618659,,
7538,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618660,,
7539,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618661,,
7540,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL873807,,
7541,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618662,,
7542,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618663,,
7543,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618664,,
7544,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618665,,
7545,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL876498,,
7546,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618666,,
7547,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620440,,
7548,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620441,,
7549,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620442,,
7550,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620443,,
7551,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620444,,
7552,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620445,,
7553,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL620446,,
7554,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL620447,1969.0,
7555,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL621129,1969.0,
7556,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL621130,1969.0,
7557,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL873808,,
7558,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL876598,,
7559,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621131,,
7560,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621132,,
7561,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621133,,
7562,BAO_0000218,,,Expert,,,,50597,N,1,1,CHEMBL621312,,
7563,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621313,,
7564,BAO_0000218,Blood,,Intermediate,,,,50597,N,1,1,CHEMBL621314,178.0,
7565,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621315,,
7566,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621316,,
7567,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621317,,
7568,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621318,,
7569,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621319,,
7570,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621377,,
7571,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621378,,
7572,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL876599,,
7573,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621379,,
7574,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL621380,1969.0,
7575,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL621381,1969.0,
7576,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618515,,
7577,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618516,,
7578,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618517,,
7579,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618518,,
7580,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618519,,
7581,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618698,,
7582,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618862,,
7583,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618863,,
7584,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618864,,
7585,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618865,,
7586,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618866,,
7587,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618867,,
7588,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL875828,,
7589,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618868,,
7590,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618869,,
7591,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL618870,,
7592,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL618871,1969.0,
7593,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL618872,1969.0,
7594,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL873816,,
7595,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL618873,,
7596,BAO_0000019,,,Autocuration,,,,22224,U,0,1,CHEMBL621602,,
7597,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621603,,
7598,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621604,,
7599,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621605,,
7600,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621606,,
7601,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621607,,
7602,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621608,,
7603,BAO_0000019,,,Autocuration,,,,22224,U,0,1,CHEMBL621609,,
7604,BAO_0000218,,,Autocuration,,,,22224,U,0,1,CHEMBL621610,,
7605,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621611,,
7606,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL621612,,
7607,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622308,,
7608,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622309,,
7609,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622310,,
7610,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622311,,
7611,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622312,,
7612,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622931,,
7613,BAO_0000218,,,Intermediate,,,,50597,N,1,1,CHEMBL622932,,
7614,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622736,1969.0,
7615,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622737,1969.0,
7616,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622738,1969.0,
7617,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622739,1969.0,
7618,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622740,1969.0,
7619,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622741,1969.0,
7620,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622742,1969.0,
7621,BAO_0000218,Plasma,,Intermediate,,,,50597,N,1,1,CHEMBL622743,1969.0,
7622,BAO_0000218,Plasma,,Intermediate,,,,50594,N,1,1,CHEMBL622744,1969.0,
7623,BAO_0000019,,,Autocuration,,,,22224,U,0,1,CHEMBL624134,,
