rental_duration,language,film_id,replacement_cost,rating,description,rental_rate,release_year,original_language_id,title,length
6,English,1,20.99,PG,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,0.99,2006,,ACADEMY DINOSAUR,86
3,English,2,12.99,G,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,4.99,2006,,ACE GOLDFINGER,48
7,English,3,18.99,NC-17,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2.99,2006,,ADAPTATION HOLES,50
5,English,4,26.99,G,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2.99,2006,,AFFAIR PREJUDICE,117
6,English,5,22.99,G,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2.99,2006,,AFRICAN EGG,130
3,English,6,17.99,PG,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2.99,2006,,AGENT TRUMAN,169
6,English,7,28.99,PG-13,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,4.99,2006,,AIRPLANE SIERRA,62
6,English,8,15.99,R,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,4.99,2006,,AIRPORT POLLOCK,54
3,English,9,21.99,PG-13,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2.99,2006,,ALABAMA DEVIL,114
6,English,10,24.99,NC-17,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,4.99,2006,,ALADDIN CALENDAR,63
6,English,11,16.99,G,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,0.99,2006,,ALAMO VIDEOTAPE,126
6,English,12,22.99,PG,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,0.99,2006,,ALASKA PHANTOM,136
4,English,13,21.99,PG,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,4.99,2006,,ALI FOREVER,150
6,English,14,23.99,NC-17,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,0.99,2006,,ALICE FANTASIA,94
5,English,15,10.99,NC-17,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2.99,2006,,ALIEN CENTER,46
6,English,16,23.99,NC-17,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2.99,2006,,ALLEY EVOLUTION,180
3,English,17,14.99,R,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,0.99,2006,,ALONE TRIP,82
6,English,18,27.99,PG-13,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,0.99,2006,,ALTER VICTORY,57
6,English,19,20.99,PG,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,0.99,2006,,AMADEUS HOLY,113
4,English,20,23.99,R,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,4.99,2006,,AMELIE HELLFIGHTERS,79
3,English,21,17.99,R,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,4.99,2006,,AMERICAN CIRCUS,129
6,English,22,10.99,G,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2.99,2006,,AMISTAD MIDSUMMER,85
3,English,23,9.99,R,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,0.99,2006,,ANACONDA CONFESSIONS,92
6,English,24,19.99,R,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2.99,2006,,ANALYZE HOOSIERS,181
3,English,25,15.99,G,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2.99,2006,,ANGELS LIFE,74
3,English,26,15.99,G,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,0.99,2006,,ANNIE IDENTITY,86
7,English,27,12.99,NC-17,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,0.99,2006,,ANONYMOUS HUMAN,179
5,English,28,16.99,PG-13,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,4.99,2006,,ANTHEM LUKE,91
5,English,29,11.99,NC-17,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2.99,2006,,ANTITRUST TOMATOES,168
4,English,30,27.99,R,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2.99,2006,,ANYTHING SAVANNAH,82
5,English,31,16.99,NC-17,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,4.99,2006,,APACHE DIVINE,92
6,English,32,11.99,R,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,4.99,2006,,APOCALYPSE FLAMINGOS,119
5,English,33,15.99,PG-13,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2.99,2006,,APOLLO TEEN,153
