last_name,first_name,actor_id
GUINESS,PENELOPE,1
WAHLBERG,NICK,2
CHASE,ED,3
DAVIS,JENNIFER,4
LOLLOBRIGIDA,JOHNNY,5
NICHOLSON,BETTE,6
MOSTEL,GRACE,7
JOHANSSON,MATTHEW,8
SWANK,JOE,9
GABLE,CHRISTIAN,10
CAGE,ZERO,11
BERRY,KARL,12
WOOD,UMA,13
BERGEN,VIVIEN,14
OLIVIER,CUBA,15
COSTNER,FRED,16
VOIGHT,HELEN,17
TORN,DAN,18
FAWCETT,BOB,19
TRACY,LUCILLE,20
PALTROW,KIRSTEN,21
MARX,ELVIS,22
KILMER,SANDRA,23
STREEP,CAMERON,24
BLOOM,KEVIN,25
CRAWFORD,RIP,26
MCQUEEN,JULIA,27
HOFFMAN,WOODY,28
WAYNE,ALEC,29
PECK,SANDRA,30
SOBIESKI,SISSY,31
HACKMAN,TIM,32
PECK,MILLA,33
OLIVIER,AUDREY,34
DEAN,JUDY,35
DUKAKIS,BURT,36
BOLGER,VAL,37
MCKELLEN,TOM,38
BRODY,GOLDIE,39
CAGE,JOHNNY,40
DEGENERES,JODIE,41
MIRANDA,TOM,42
JOVOVICH,KIRK,43
STALLONE,NICK,44
KILMER,REESE,45
GOLDBERG,PARKER,46
BARRYMORE,JULIA,47
DAY-LEWIS,FRANCES,48
CRONYN,ANNE,49
HOPKINS,NATALIE,50
PHOENIX,GARY,51
HUNT,CARMEN,52
TEMPLE,MENA,53
PINKETT,PENELOPE,54
KILMER,FAY,55
HARRIS,DAN,56
CRUISE,JUDE,57
AKROYD,CHRISTIAN,58
TAUTOU,DUSTIN,59
BERRY,HENRY,60
NEESON,CHRISTIAN,61
NEESON,JAYNE,62
WRAY,CAMERON,63
JOHANSSON,RAY,64
HUDSON,ANGELA,65
TANDY,MARY,66
BAILEY,JESSICA,67
WINSLET,RIP,68
PALTROW,KENNETH,69
MCCONAUGHEY,MICHELLE,70
GRANT,ADAM,71
WILLIAMS,SEAN,72
PENN,GARY,73
KEITEL,MILLA,74
POSEY,BURT,75
ASTAIRE,ANGELINA,76
MCCONAUGHEY,CARY,77
SINATRA,GROUCHO,78
HOFFMAN,MAE,79
CRUZ,RALPH,80
DAMON,SCARLETT,81
JOLIE,WOODY,82
WILLIS,BEN,83
PITT,JAMES,84
ZELLWEGER,MINNIE,85
CHAPLIN,GREG,86
PECK,SPENCER,87
PESCI,KENNETH,88
DENCH,CHARLIZE,89
GUINESS,SEAN,90
BERRY,CHRISTOPHER,91
AKROYD,KIRSTEN,92
PRESLEY,ELLEN,93
TORN,KENNETH,94
WAHLBERG,DARYL,95
WILLIS,GENE,96
HAWKE,MEG,97
BRIDGES,CHRIS,98
MOSTEL,JIM,99
DEPP,SPENCER,100
DAVIS,SUSAN,101
TORN,WALTER,102
LEIGH,MATTHEW,103
CRONYN,PENELOPE,104
CROWE,SIDNEY,105
DUNST,GROUCHO,106
DEGENERES,GINA,107
NOLTE,WARREN,108
DERN,SYLVESTER,109
DAVIS,SUSAN,110
ZELLWEGER,CAMERON,111
BACALL,RUSSELL,112
HOPKINS,MORGAN,113
MCDORMAND,MORGAN,114
BALE,HARRISON,115
STREEP,DAN,116
TRACY,RENEE,117
ALLEN,CUBA,118
JACKMAN,WARREN,119
MONROE,PENELOPE,120
BERGMAN,LIZA,121
NOLTE,SALMA,122
DENCH,JULIANNE,123
BENING,SCARLETT,124
NOLTE,ALBERT,125
TOMEI,FRANCES,126
GARLAND,KEVIN,127
MCQUEEN,CATE,128
CRAWFORD,DARYL,129
KEITEL,GRETA,130
JACKMAN,JANE,131
HOPPER,ADAM,132
PENN,RICHARD,133
HOPKINS,GENE,134
REYNOLDS,RITA,135
MANSFIELD,ED,136
WILLIAMS,MORGAN,137
DEE,LUCILLE,138
GOODING,EWAN,139
HURT,WHOOPI,140
HARRIS,CATE,141
RYDER,JADA,142
DEAN,RIVER,143
WITHERSPOON,ANGELA,144
ALLEN,KIM,145
JOHANSSON,ALBERT,146
WINSLET,FAY,147
DEE,EMILY,148
TEMPLE,RUSSELL,149
NOLTE,JAYNE,150
HESTON,GEOFFREY,151
HARRIS,BEN,152
KILMER,MINNIE,153
GIBSON,MERYL,154
TANDY,IAN,155
WOOD,FAY,156
MALDEN,GRETA,157
BASINGER,VIVIEN,158
BRODY,LAURA,159
DEPP,CHRIS,160
HOPE,HARVEY,161
KILMER,OPRAH,162
WEST,CHRISTOPHER,163
WILLIS,HUMPHREY,164
GARLAND,AL,165
DEGENERES,NICK,166
BULLOCK,LAURENCE,167
WILSON,WILL,168
HOFFMAN,KENNETH,169
HOPPER,MENA,170
PFEIFFER,OLYMPIA,171
WILLIAMS,GROUCHO,172
DREYFUSS,ALAN,173
BENING,MICHAEL,174
HACKMAN,WILLIAM,175
CHASE,JON,176
MCKELLEN,GENE,177
MONROE,LISA,178
GUINESS,ED,179
SILVERSTONE,JEFF,180
CARREY,MATTHEW,181
AKROYD,DEBBIE,182
CLOSE,RUSSELL,183
GARLAND,HUMPHREY,184
BOLGER,MICHAEL,185
ZELLWEGER,JULIA,186
BALL,RENEE,187
DUKAKIS,ROCK,188
BIRCH,CUBA,189
BAILEY,AUDREY,190
GOODING,GREGORY,191
SUVARI,JOHN,192
TEMPLE,BURT,193
ALLEN,MERYL,194
SILVERSTONE,JAYNE,195
WALKEN,BELA,196
WEST,REESE,197
KEITEL,MARY,198
FAWCETT,JULIA,199
TEMPLE,THORA,200
