rental_id,customer_id,staff_id,amount,payment_date,payment_id
76,1,1,2.99,2005-05-25 11:30:37,1
1422,1,2,0.99,2005-06-15 18:02:53,4
1725,1,1,4.99,2005-06-16 15:18:57,6
2308,1,1,4.99,2005-06-18 08:41:48,7
4611,1,1,5.99,2005-07-08 07:33:56,11
5326,1,1,4.99,2005-07-09 16:38:01,13
8116,1,2,0.99,2005-07-28 19:20:07,19
13176,1,2,2.99,2005-08-19 13:56:54,28
14825,1,1,1.99,2005-08-22 01:27:57,30
320,2,1,4.99,2005-05-27 00:09:24,33
9031,2,1,4.99,2005-07-30 06:06:10,43
9248,2,2,0.99,2005-07-30 14:14:11,45
10466,2,1,0.99,2005-08-01 09:45:26,49
10918,2,1,0.99,2005-08-02 02:10:56,50
11614,2,1,2.99,2005-08-17 03:52:18,54
14743,2,2,5.99,2005-08-21 22:41:56,57
15145,2,2,4.99,2005-08-22 13:53:04,58
830,3,1,2.99,2005-05-29 22:43:55,61
1911,3,2,6.99,2005-06-17 05:15:15,64
4180,3,1,4.99,2005-07-07 10:23:25,66
7096,3,1,5.99,2005-07-27 04:54:42,68
7503,3,2,10.99,2005-07-27 20:23:12,69
7703,3,2,7.99,2005-07-28 03:59:21,70
8545,3,1,2.99,2005-07-29 11:07:04,74
9595,3,1,2.99,2005-07-31 03:27:58,77
13610,3,2,2.99,2005-08-20 06:14:12,82
15038,3,2,0.99,2005-08-22 09:37:27,84
15619,3,1,2.99,2005-08-23 07:10:14,85
1633,4,1,0.99,2005-06-16 08:08:40,87
1735,4,2,0.99,2005-06-16 15:51:52,89
2043,4,2,0.99,2005-06-17 14:31:12,90
2642,4,1,5.99,2005-06-19 09:39:01,91
9100,4,1,5.99,2005-07-30 08:46:09,95
731,5,1,0.99,2005-05-29 07:25:16,108
1502,5,1,3.99,2005-06-15 22:03:14,111
2063,5,2,4.99,2005-06-17 15:56:53,113
2570,5,2,2.99,2005-06-19 04:20:13,114
3677,5,2,4.99,2005-07-06 09:11:58,116
5118,5,2,5.99,2005-07-09 07:13:52,119
6685,5,2,4.99,2005-07-12 12:16:28,124
8263,5,1,2.99,2005-07-29 01:11:23,128
8978,5,1,1.99,2005-07-30 04:14:28,129
11001,5,2,4.99,2005-08-02 04:56:45,134
13877,5,2,0.99,2005-08-20 15:16:18,140
13209,5,2,0.99,2006-02-14 15:16:03,145
1841,6,2,2.99,2005-06-16 23:44:13,150
6211,6,2,5.99,2005-07-11 12:39:01,156
6248,6,1,7.99,2005-07-11 15:01:54,157
2709,7,1,0.99,2005-06-19 14:00:26,181
4238,7,2,2.99,2005-07-07 13:22:20,185
4787,7,2,5.99,2005-07-08 16:16:04,186
4856,7,1,4.99,2005-07-08 18:47:38,187
6295,7,1,2.99,2005-07-11 17:30:58,191
9624,7,2,7.99,2005-07-31 04:30:03,194
11542,7,2,7.99,2005-08-17 00:51:32,200
12730,7,1,2.99,2005-08-18 21:55:01,202
1305,8,2,2.99,2005-06-15 09:59:16,208
4503,8,1,3.99,2005-07-08 02:17:12,215
5300,8,1,2.99,2005-07-09 15:40:46,216
5341,8,2,2.99,2005-07-09 17:13:23,217
6647,8,1,0.99,2005-07-12 10:43:53,219
10141,8,2,0.99,2005-07-31 22:08:29,222
11232,8,1,9.99,2005-08-02 13:04:12,224
14114,8,1,0.99,2005-08-21 01:07:11,227
350,9,2,4.99,2005-05-27 05:01:28,231
1075,9,2,4.99,2005-05-31 10:13:34,233
5659,9,1,2.99,2005-07-10 07:45:40,239
12309,9,1,2.99,2005-08-18 05:58:40,250
1801,10,1,4.99,2005-06-16 20:21:53,255
4255,10,1,1.99,2005-07-07 14:14:13,262
7738,10,1,2.99,2005-07-28 05:21:42,267
8001,10,2,6.99,2005-07-28 15:10:55,268
10671,10,2,8.99,2005-08-01 17:09:59,271
11289,10,2,2.99,2005-08-02 14:55:00,272
4943,11,1,4.99,2005-07-08 22:43:05,284
6146,11,2,6.99,2005-07-11 09:09:59,286
10812,11,1,4.99,2005-08-01 22:41:16,294
12015,11,2,5.99,2005-08-17 19:32:44,297
13790,11,1,4.99,2005-08-20 12:17:27,299
3135,12,2,2.99,2005-06-20 19:33:52,309
7279,12,2,0.99,2005-07-27 11:50:47,318
9708,12,2,5.99,2005-07-31 07:45:33,323
2209,13,1,4.99,2005-06-18 02:24:01,332
3946,13,2,2.99,2005-07-06 21:39:24,335
9664,13,1,0.99,2005-07-31 06:12:08,345
9736,13,1,7.99,2005-07-31 08:58:40,346
10003,13,1,4.99,2005-07-31 17:48:51,347
14252,13,1,9.99,2005-08-21 05:44:07,355
14545,13,2,7.99,2005-08-21 15:44:23,356
671,14,1,2.99,2005-05-28 22:04:30,361
5565,14,1,7.99,2005-07-10 03:29:48,369
8035,14,1,6.99,2005-07-28 16:23:01,370
8836,14,2,4.99,2005-07-29 22:46:08,373
10348,14,1,2.99,2005-08-01 05:23:00,376
11480,14,1,4.99,2005-08-02 22:18:24,378
2486,15,1,2.99,2005-06-18 21:26:56,386
5717,15,1,2.99,2005-07-10 11:02:03,391
7105,15,1,4.99,2005-07-27 05:15:37,393
11307,15,2,2.99,2005-08-02 15:48:08,400
13503,15,2,5.99,2005-08-20 02:00:33,408
13541,15,1,4.99,2005-08-20 03:41:41,409
