category_name,film_id,category_id
Foreign,246,9
Music,879,12
Music,936,12
Horror,475,11
Drama,683,7
Horror,800,11
Games,781,10
Foreign,128,9
Sci-Fi,839,14
Children,149,3
Sci-Fi,49,14
Animation,208,2
Games,956,10
Travel,518,16
Sports,890,15
Sports,488,15
Comedy,568,5
Sports,263,15
New,226,13
Documentary,206,6
Foreign,584,9
Children,786,3
Documentary,992,6
Foreign,380,9
Classics,432,4
Classics,815,4
Animation,564,2
Travel,811,16
Sports,519,15
Travel,87,16
Documentary,629,6
Children,168,3
Games,701,10
Family,832,8
Documentary,973,6
Classics,184,4
Horror,904,11
Games,215,10
Sports,517,15
Action,927,1
Documentary,400,6
Animation,464,2
Documentary,101,6
Travel,526,16
Comedy,906,5
Comedy,524,5
Sports,763,15
Games,406,10
Family,53,8
Sci-Fi,367,14
Foreign,908,9
Sports,237,15
Comedy,308,5
Games,106,10
Action,292,1
Action,375,1
Games,646,10
Action,126,1
Classics,536,4
Sci-Fi,140,14
Comedy,858,5
Action,838,1
Foreign,500,9
Classics,425,4
Games,447,10
Horror,995,11
Horror,495,11
Sci-Fi,967,14
Animation,118,2
Foreign,531,9
Animation,649,2
Family,780,8
Games,281,10
Music,980,12
Comedy,774,5
Comedy,754,5
Horror,258,11
Action,579,1
Games,264,10
Documentary,40,6
Horror,804,11
Animation,36,2
Comedy,502,5
Animation,70,2
Documentary,199,6
Foreign,567,9
Travel,988,16
Music,384,12
New,96,13
Documentary,393,6
Drama,173,7
Family,213,8
Foreign,290,9
Classics,512,4
New,677,13
Family,31,8
New,270,13
Animation,330,2
Action,991,1
Sci-Fi,203,14
Music,411,12
Documentary,708,6
Sports,851,15
Comedy,202,5
Games,949,10
Horror,30,11
Foreign,640,9
Travel,288,16
Children,626,3
Sports,678,15
Foreign,399,9
Sci-Fi,165,14
Travel,787,16
Sci-Fi,114,14
Animation,325,2
Drama,958,7
Children,918,3
Travel,642,16
Foreign,440,9
Comedy,837,5
Sports,389,15
Drama,882,7
Music,378,12
Comedy,276,5
Classics,843,4
Foreign,689,9
Games,211,10
Family,94,8
Sci-Fi,972,14
New,920,13
Games,382,10
Sci-Fi,620,14
Comedy,335,5
Travel,931,16
Foreign,414,9
Action,850,1
Animation,865,2
Classics,482,4
Action,318,1
Animation,134,2
Action,697,1
Comedy,7,5
Music,516,12
Comedy,604,5
Sports,420,15
Sports,668,15
Sci-Fi,44,14
Classics,951,4
Sci-Fi,153,14
Documentary,221,6
Horror,24,11
Children,485,3
Travel,609,16
Drama,923,7
Sports,917,15
Family,391,8
Documentary,62,6
Music,51,12
Action,964,1
Sports,279,15
Games,331,10
New,305,13
Horror,122,11
Horror,171,11
Sci-Fi,930,14
Horror,653,11
Comedy,905,5
Horror,922,11
Documentary,142,6
Documentary,72,6
Documentary,855,6
Family,621,8
Animation,692,2
Travel,868,16
Family,710,8
Documentary,925,6
Comedy,182,5
Comedy,265,5
New,935,13
Horror,799,11
Family,795,8
Horror,665,11
Drama,98,7
Foreign,376,9
Sci-Fi,520,14
Children,152,3
Documentary,757,6
Documentary,943,6
Sports,940,15
New,77,13
Travel,88,16
Sci-Fi,240,14
Horror,313,11
Classics,190,4
Classics,471,4
Drama,643,7
Documentary,441,6
Classics,358,4
Games,596,10
Animation,239,2
Action,371,1
Foreign,452,9
Music,17,12
Foreign,669,9
Sci-Fi,350,14
Games,352,10
Children,573,3
Sports,681,15
Family,810,8
Sci-Fi,177,14
Animation,23,2
Children,214,3
Sports,764,15
Sci-Fi,234,14
Horror,301,11
Documentary,427,6
Horror,527,11
Comedy,99,5
Sports,599,15
Music,255,12
Documentary,1,6
Music,797,12
Travel,543,16
Action,793,1
Sports,453,15
Action,29,1
Foreign,533,9
Documentary,698,6
Sports,570,15
Foreign,455,9
Documentary,622,6
Travel,914,16
Family,639,8
Foreign,971,9
Action,501,1
Action,395,1
Classics,725,4
Travel,339,16
Classics,60,4
Documentary,457,6
Action,38,1
Classics,297,4
Foreign,148,9
New,913,13
Documentary,3,6
Animation,690,2
Drama,942,7
Animation,223,2
Animation,300,2
Comedy,672,5
