category_id,film_id,category_name
9,246,Foreign
12,879,Music
12,936,Music
11,475,Horror
7,683,Drama
11,800,Horror
10,781,Games
9,128,Foreign
14,839,Sci-Fi
3,149,Children
14,49,Sci-Fi
2,208,Animation
10,956,Games
16,518,Travel
15,890,Sports
15,488,Sports
5,568,Comedy
15,263,Sports
13,226,New
6,206,Documentary
9,584,Foreign
3,786,Children
6,992,Documentary
9,380,Foreign
4,432,Classics
4,815,Classics
2,564,Animation
16,811,Travel
15,519,Sports
16,87,Travel
6,629,Documentary
3,168,Children
10,701,Games
8,832,Family
6,973,Documentary
4,184,Classics
11,904,Horror
10,215,Games
15,517,Sports
1,927,Action
6,400,Documentary
2,464,Animation
6,101,Documentary
16,526,Travel
5,906,Comedy
5,524,Comedy
15,763,Sports
10,406,Games
8,53,Family
14,367,Sci-Fi
9,908,Foreign
15,237,Sports
5,308,Comedy
10,106,Games
1,292,Action
1,375,Action
10,646,Games
1,126,Action
4,536,Classics
14,140,Sci-Fi
5,858,Comedy
1,838,Action
9,500,Foreign
4,425,Classics
10,447,Games
11,995,Horror
11,495,Horror
14,967,Sci-Fi
2,118,Animation
9,531,Foreign
2,649,Animation
8,780,Family
10,281,Games
12,980,Music
5,774,Comedy
5,754,Comedy
11,258,Horror
1,579,Action
10,264,Games
6,40,Documentary
11,804,Horror
2,36,Animation
5,502,Comedy
2,70,Animation
6,199,Documentary
9,567,Foreign
16,988,Travel
12,384,Music
13,96,New
6,393,Documentary
7,173,Drama
8,213,Family
9,290,Foreign
4,512,Classics
13,677,New
8,31,Family
13,270,New
2,330,Animation
1,991,Action
14,203,Sci-Fi
12,411,Music
6,708,Documentary
15,851,Sports
5,202,Comedy
10,949,Games
11,30,Horror
9,640,Foreign
16,288,Travel
3,626,Children
15,678,Sports
9,399,Foreign
14,165,Sci-Fi
16,787,Travel
14,114,Sci-Fi
2,325,Animation
7,958,Drama
3,918,Children
16,642,Travel
9,440,Foreign
5,837,Comedy
15,389,Sports
7,882,Drama
12,378,Music
5,276,Comedy
4,843,Classics
9,689,Foreign
10,211,Games
8,94,Family
14,972,Sci-Fi
13,920,New
10,382,Games
14,620,Sci-Fi
5,335,Comedy
16,931,Travel
9,414,Foreign
1,850,Action
2,865,Animation
4,482,Classics
1,318,Action
2,134,Animation
1,697,Action
5,7,Comedy
12,516,Music
5,604,Comedy
15,420,Sports
15,668,Sports
14,44,Sci-Fi
4,951,Classics
14,153,Sci-Fi
6,221,Documentary
11,24,Horror
3,485,Children
16,609,Travel
7,923,Drama
15,917,Sports
8,391,Family
6,62,Documentary
12,51,Music
1,964,Action
15,279,Sports
10,331,Games
13,305,New
11,122,Horror
11,171,Horror
14,930,Sci-Fi
11,653,Horror
5,905,Comedy
11,922,Horror
6,142,Documentary
6,72,Documentary
6,855,Documentary
8,621,Family
2,692,Animation
16,868,Travel
8,710,Family
6,925,Documentary
5,182,Comedy
5,265,Comedy
13,935,New
11,799,Horror
8,795,Family
11,665,Horror
7,98,Drama
9,376,Foreign
14,520,Sci-Fi
3,152,Children
6,757,Documentary
6,943,Documentary
15,940,Sports
13,77,New
16,88,Travel
14,240,Sci-Fi
11,313,Horror
4,190,Classics
4,471,Classics
7,643,Drama
6,441,Documentary
4,358,Classics
10,596,Games
2,239,Animation
1,371,Action
9,452,Foreign
12,17,Music
9,669,Foreign
14,350,Sci-Fi
10,352,Games
3,573,Children
15,681,Sports
8,810,Family
14,177,Sci-Fi
2,23,Animation
3,214,Children
15,764,Sports
14,234,Sci-Fi
11,301,Horror
6,427,Documentary
11,527,Horror
5,99,Comedy
15,599,Sports
12,255,Music
6,1,Documentary
12,797,Music
16,543,Travel
1,793,Action
15,453,Sports
1,29,Action
9,533,Foreign
6,698,Documentary
15,570,Sports
9,455,Foreign
6,622,Documentary
16,914,Travel
8,639,Family
9,971,Foreign
1,501,Action
1,395,Action
4,725,Classics
16,339,Travel
4,60,Classics
6,457,Documentary
1,38,Action
4,297,Classics
9,148,Foreign
13,913,New
6,3,Documentary
2,690,Animation
7,942,Drama
2,223,Animation
2,300,Animation
5,672,Comedy
