rental_id,amount,payment_id,customer_id,staff_id,payment_date
76,2.99,1,1,1,2005-05-25 11:30:37
1422,0.99,4,1,2,2005-06-15 18:02:53
1725,4.99,6,1,1,2005-06-16 15:18:57
2308,4.99,7,1,1,2005-06-18 08:41:48
4611,5.99,11,1,1,2005-07-08 07:33:56
5326,4.99,13,1,1,2005-07-09 16:38:01
8116,0.99,19,1,2,2005-07-28 19:20:07
13176,2.99,28,1,2,2005-08-19 13:56:54
14825,1.99,30,1,1,2005-08-22 01:27:57
320,4.99,33,2,1,2005-05-27 00:09:24
9031,4.99,43,2,1,2005-07-30 06:06:10
9248,0.99,45,2,2,2005-07-30 14:14:11
10466,0.99,49,2,1,2005-08-01 09:45:26
10918,0.99,50,2,1,2005-08-02 02:10:56
11614,2.99,54,2,1,2005-08-17 03:52:18
14743,5.99,57,2,2,2005-08-21 22:41:56
15145,4.99,58,2,2,2005-08-22 13:53:04
830,2.99,61,3,1,2005-05-29 22:43:55
1911,6.99,64,3,2,2005-06-17 05:15:15
4180,4.99,66,3,1,2005-07-07 10:23:25
7096,5.99,68,3,1,2005-07-27 04:54:42
7503,10.99,69,3,2,2005-07-27 20:23:12
7703,7.99,70,3,2,2005-07-28 03:59:21
8545,2.99,74,3,1,2005-07-29 11:07:04
9595,2.99,77,3,1,2005-07-31 03:27:58
13610,2.99,82,3,2,2005-08-20 06:14:12
15038,0.99,84,3,2,2005-08-22 09:37:27
15619,2.99,85,3,1,2005-08-23 07:10:14
1633,0.99,87,4,1,2005-06-16 08:08:40
1735,0.99,89,4,2,2005-06-16 15:51:52
2043,0.99,90,4,2,2005-06-17 14:31:12
2642,5.99,91,4,1,2005-06-19 09:39:01
9100,5.99,95,4,1,2005-07-30 08:46:09
731,0.99,108,5,1,2005-05-29 07:25:16
1502,3.99,111,5,1,2005-06-15 22:03:14
2063,4.99,113,5,2,2005-06-17 15:56:53
2570,2.99,114,5,2,2005-06-19 04:20:13
3677,4.99,116,5,2,2005-07-06 09:11:58
5118,5.99,119,5,2,2005-07-09 07:13:52
6685,4.99,124,5,2,2005-07-12 12:16:28
8263,2.99,128,5,1,2005-07-29 01:11:23
8978,1.99,129,5,1,2005-07-30 04:14:28
11001,4.99,134,5,2,2005-08-02 04:56:45
13877,0.99,140,5,2,2005-08-20 15:16:18
13209,0.99,145,5,2,2006-02-14 15:16:03
1841,2.99,150,6,2,2005-06-16 23:44:13
6211,5.99,156,6,2,2005-07-11 12:39:01
6248,7.99,157,6,1,2005-07-11 15:01:54
2709,0.99,181,7,1,2005-06-19 14:00:26
4238,2.99,185,7,2,2005-07-07 13:22:20
4787,5.99,186,7,2,2005-07-08 16:16:04
4856,4.99,187,7,1,2005-07-08 18:47:38
6295,2.99,191,7,1,2005-07-11 17:30:58
9624,7.99,194,7,2,2005-07-31 04:30:03
11542,7.99,200,7,2,2005-08-17 00:51:32
12730,2.99,202,7,1,2005-08-18 21:55:01
1305,2.99,208,8,2,2005-06-15 09:59:16
4503,3.99,215,8,1,2005-07-08 02:17:12
5300,2.99,216,8,1,2005-07-09 15:40:46
5341,2.99,217,8,2,2005-07-09 17:13:23
6647,0.99,219,8,1,2005-07-12 10:43:53
10141,0.99,222,8,2,2005-07-31 22:08:29
11232,9.99,224,8,1,2005-08-02 13:04:12
14114,0.99,227,8,1,2005-08-21 01:07:11
350,4.99,231,9,2,2005-05-27 05:01:28
1075,4.99,233,9,2,2005-05-31 10:13:34
5659,2.99,239,9,1,2005-07-10 07:45:40
12309,2.99,250,9,1,2005-08-18 05:58:40
1801,4.99,255,10,1,2005-06-16 20:21:53
4255,1.99,262,10,1,2005-07-07 14:14:13
7738,2.99,267,10,1,2005-07-28 05:21:42
8001,6.99,268,10,2,2005-07-28 15:10:55
10671,8.99,271,10,2,2005-08-01 17:09:59
11289,2.99,272,10,2,2005-08-02 14:55:00
4943,4.99,284,11,1,2005-07-08 22:43:05
6146,6.99,286,11,2,2005-07-11 09:09:59
10812,4.99,294,11,1,2005-08-01 22:41:16
12015,5.99,297,11,2,2005-08-17 19:32:44
13790,4.99,299,11,1,2005-08-20 12:17:27
3135,2.99,309,12,2,2005-06-20 19:33:52
7279,0.99,318,12,2,2005-07-27 11:50:47
9708,5.99,323,12,2,2005-07-31 07:45:33
2209,4.99,332,13,1,2005-06-18 02:24:01
3946,2.99,335,13,2,2005-07-06 21:39:24
9664,0.99,345,13,1,2005-07-31 06:12:08
9736,7.99,346,13,1,2005-07-31 08:58:40
10003,4.99,347,13,1,2005-07-31 17:48:51
14252,9.99,355,13,1,2005-08-21 05:44:07
14545,7.99,356,13,2,2005-08-21 15:44:23
671,2.99,361,14,1,2005-05-28 22:04:30
5565,7.99,369,14,1,2005-07-10 03:29:48
8035,6.99,370,14,1,2005-07-28 16:23:01
8836,4.99,373,14,2,2005-07-29 22:46:08
10348,2.99,376,14,1,2005-08-01 05:23:00
11480,4.99,378,14,1,2005-08-02 22:18:24
2486,2.99,386,15,1,2005-06-18 21:26:56
5717,2.99,391,15,1,2005-07-10 11:02:03
7105,4.99,393,15,1,2005-07-27 05:15:37
11307,2.99,400,15,2,2005-08-02 15:48:08
13503,5.99,408,15,2,2005-08-20 02:00:33
13541,4.99,409,15,1,2005-08-20 03:41:41
15897,4.99,415,15,1,2005-08-23 17:12:31
13968,0.0,417,15,2,2006-02-14 15:16:03
335,3.99,418,16,1,2005-05-27 03:07:10
593,2.99,419,16,1,2005-05-28 13:33:23
3348,0.99,426,16,2,2005-06-21 11:16:42
3548,0.99,427,16,1,2005-07-06 02:23:39
4219,2.99,428,16,2,2005-07-07 12:11:22
6100,4.99,431,16,1,2005-07-11 06:40:31
7489,0.99,432,16,2,2005-07-27 19:39:38
10687,2.99,437,16,2,2005-08-01 17:53:02
11308,0.99,439,16,2,2005-08-02 15:50:44
12104,2.99,440,16,2,2005-08-17 22:53:00
12358,4.99,441,16,1,2005-08-18 07:41:43
12577,7.99,442,16,1,2005-08-18 15:39:46
13391,4.99,444,16,1,2005-08-19 22:01:42
2684,8.99,451,17,1,2005-06-19 12:29:08
8213,2.99,457,17,1,2005-07-28 23:37:33
9092,8.99,458,17,2,2005-07-30 08:30:56
9138,2.99,459,17,1,2005-07-30 10:11:52
14346,2.99,466,17,1,2005-08-21 08:42:26
15752,5.99,467,17,2,2005-08-23 12:41:38
50,2.99,468,18,1,2005-05-25 06:44:53
1451,5.99,471,18,2,2005-06-15 19:30:18
4672,3.99,475,18,2,2005-07-08 10:15:38
4724,3.99,476,18,2,2005-07-08 12:46:30
8122,2.99,480,18,2,2005-07-28 19:27:37
9114,4.99,483,18,2,2005-07-30 09:13:21
11439,4.99,487,18,2,2005-08-02 20:22:45
12333,0.99,488,18,2,2005-08-18 06:51:39
696,2.99,495,19,2,2005-05-29 01:59:10
