release_year,film_id,original_language_id,description,title,replacement_cost,rental_rate,language,rental_duration,length,rating
2006,1,,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,ACADEMY DINOSAUR,20.99,0.99,English,6,86,PG
2006,2,,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,ACE GOLDFINGER,12.99,4.99,English,3,48,G
2006,3,,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,ADAPTATION HOLES,18.99,2.99,English,7,50,NC-17
2006,4,,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,AFFAIR PREJUDICE,26.99,2.99,English,5,117,G
2006,5,,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,AFRICAN EGG,22.99,2.99,English,6,130,G
2006,6,,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,AGENT TRUMAN,17.99,2.99,English,3,169,PG
2006,7,,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,AIRPLANE SIERRA,28.99,4.99,English,6,62,PG-13
2006,8,,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,AIRPORT POLLOCK,15.99,4.99,English,6,54,R
2006,9,,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,ALABAMA DEVIL,21.99,2.99,English,3,114,PG-13
2006,10,,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,ALADDIN CALENDAR,24.99,4.99,English,6,63,NC-17
2006,11,,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,ALAMO VIDEOTAPE,16.99,0.99,English,6,126,G
2006,12,,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,ALASKA PHANTOM,22.99,0.99,English,6,136,PG
2006,13,,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,ALI FOREVER,21.99,4.99,English,4,150,PG
2006,14,,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,ALICE FANTASIA,23.99,0.99,English,6,94,NC-17
2006,15,,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,ALIEN CENTER,10.99,2.99,English,5,46,NC-17
2006,16,,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,ALLEY EVOLUTION,23.99,2.99,English,6,180,NC-17
2006,17,,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,ALONE TRIP,14.99,0.99,English,3,82,R
2006,18,,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,ALTER VICTORY,27.99,0.99,English,6,57,PG-13
2006,19,,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,AMADEUS HOLY,20.99,0.99,English,6,113,PG
2006,20,,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,AMELIE HELLFIGHTERS,23.99,4.99,English,4,79,R
2006,21,,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,AMERICAN CIRCUS,17.99,4.99,English,3,129,R
2006,22,,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,AMISTAD MIDSUMMER,10.99,2.99,English,6,85,G
2006,23,,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,ANACONDA CONFESSIONS,9.99,0.99,English,3,92,R
2006,24,,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,ANALYZE HOOSIERS,19.99,2.99,English,6,181,R
2006,25,,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,ANGELS LIFE,15.99,2.99,English,3,74,G
2006,26,,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,ANNIE IDENTITY,15.99,0.99,English,3,86,G
2006,27,,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,ANONYMOUS HUMAN,12.99,0.99,English,7,179,NC-17
2006,28,,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,ANTHEM LUKE,16.99,4.99,English,5,91,PG-13
2006,29,,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,ANTITRUST TOMATOES,11.99,2.99,English,5,168,NC-17
2006,30,,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,ANYTHING SAVANNAH,27.99,2.99,English,4,82,R
2006,31,,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,APACHE DIVINE,16.99,4.99,English,5,92,NC-17
2006,32,,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,APOCALYPSE FLAMINGOS,11.99,4.99,English,6,119,R
2006,33,,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,APOLLO TEEN,15.99,2.99,English,5,153,PG-13
