assay_tax_id,assay_tissue,cell_id,variant_id,assay_subcellular_fraction,assay_cell_type,chembl_id,assay_organism,assay_test_type,confidence_score,doc_id,assay_category,description,relationship_type,bao_format,src_assay_id,curated_by,tid,assay_id,assay_strain,src_id,tissue_id,assay_type
,,,,,,CHEMBL615117,,,8,11087,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,BAO_0000019,,Autocuration,12052,1,,1,,B
,,,,,,CHEMBL615118,,,0,684,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,BAO_0000219,,Autocuration,22226,2,,1,,F
,,,,,,CHEMBL615119,,,0,15453,,,U,BAO_0000019,,Autocuration,22226,3,,1,,B
9913.0,,,,,,CHEMBL615120,Bos taurus,,4,17841,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,BAO_0000249,,Autocuration,104729,4,,1,,B
9606.0,,163.0,,,143B,CHEMBL615121,Homo sapiens,,1,17430,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,BAO_0000219,,Intermediate,80001,5,,1,,F
9606.0,,163.0,,,143B,CHEMBL615122,Homo sapiens,,1,17430,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,BAO_0000219,,Intermediate,80001,6,,1,,F
10090.0,,163.0,,,143B,CHEMBL615123,Mus musculus,,1,13799,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,BAO_0000219,,Intermediate,80001,7,,1,,F
9606.0,,163.0,,,143B,CHEMBL615124,Homo sapiens,,1,17774,,In vitro cell cytotoxicity was determined against 143B cell line,N,BAO_0000219,,Expert,80001,8,,1,,F
9606.0,,163.0,,,143B,CHEMBL615125,Homo sapiens,,1,3801,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,BAO_0000219,,Intermediate,80001,9,,1,,F
9606.0,,163.0,,,143B,CHEMBL615126,Homo sapiens,,1,17430,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,BAO_0000219,,Intermediate,80001,10,,1,,F
9606.0,,163.0,,,143B,CHEMBL615127,Homo sapiens,,1,17430,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,BAO_0000219,,Intermediate,80001,11,,1,,F
9606.0,,163.0,,,143B,CHEMBL615128,Homo sapiens,,1,17774,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,BAO_0000219,,Expert,80001,12,,1,,F
1280.0,,,,,,CHEMBL857900,Staphylococcus aureus,,1,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,BAO_0000218,,Intermediate,50185,13,,1,,F
1280.0,,,,,,CHEMBL615129,Staphylococcus aureus,,1,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,BAO_0000218,,Intermediate,50185,14,,1,,F
1280.0,,,,,,CHEMBL615130,Staphylococcus aureus,,1,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,BAO_0000218,,Intermediate,50185,15,,1,,F
1280.0,,,,,,CHEMBL615131,Staphylococcus aureus,,1,11324,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,BAO_0000218,,Intermediate,50185,16,,1,,F
10116.0,,,,,,CHEMBL884521,Rattus norvegicus,,9,11347,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,BAO_0000357,,Expert,100122,17,,1,,A
