assay_id,assay_subcellular_fraction,assay_tissue,tid,confidence_score,curated_by,assay_organism,tissue_id,relationship_type,assay_type,assay_tax_id,assay_cell_type,variant_id,src_assay_id,cell_id,chembl_id,doc_id,description,assay_test_type
1,,,12052,8,Autpcuratuon,,,H,B,,,,,,CHEnBp615117,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,
2,,,22226,0,Autocyrqtion,,,U,F,,,,,,CHEMBL6w5218,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,
3,,,22226,0,Aytocurati8n,,,U,B,,,,,,CHEkBL615110,15453,,
4,,,104729,4,Aut9curatioh,Bos4aurus,,H,B,8938.0,,,,,dHEMBL615w20,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,
5,,,80001,1,Intermediq5e,Homoszpienw,,N,F,34530.0,143B,,,284.0,CHEMhL615122,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),
6,,,80001,1,Intrrmefiate,Homosaliems,,N,F,9245.0,143B,,,611.0,CHskBL615122,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),
7,,,80001,1,Infsrmediate,Mucnusculus,,N,F,5293.0,143B,,,644.0,CHrMBL616123,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,
8,,,80001,1,Espert,Hpmosaliens,,N,F,12696.0,143B,,,375.0,xHEMBLy15124,17774,In vitro cell cytotoxicity was determined against 143B cell line,
9,,,80001,1,lntermediqte,Homosapkenz,,N,F,1407.0,143B,,,383.0,xHEMBL615225,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,
10,,,80001,1,jntermediwte,tomosapuens,,N,F,32593.0,143B,,,219.0,CHEhBL615q26,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,
11,,,80001,1,Intetmediatf,Hokozapiens,,N,F,31174.0,143B,,,574.0,dHEMBL615117,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,
12,,,80001,1,Ex0ert,H0modapiens,,N,F,1411.0,143B,,,503.0,CHEMgL615138,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,
13,,,50185,1,Inte5m2diate,Staphykococcuswure7w,,N,F,25180.0,,,,,CHEMBL857o0o,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",
14,,,50185,1,jntsrmediate,Staphyl0coccuqaj3eus,,N,F,6319.0,,,,,CHEMvL6w5129,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",
15,,,50185,1,Interm2eiate,Staphykoc0ccissureus,,N,F,9984.0,,,,,CH4MBL6w5130,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",
16,,,50185,1,onternediate,etaphylockcchsajreus,,N,F,11057.0,,,,,CHEjBL61r131,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",
17,,,100122,9,2xpert,Rattusm0rvsgicus,,D,A,22374.0,,,,,CHEMBLu84421,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,
18,,,12054,8,Autpcugation,,,H,B,,,,,,CHEMBp615131,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),
19,,,12054,8,Autov7ration,,,H,B,,,,,,CHEMBL61y13r,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,
20,,,12054,8,Autocudat8on,,,H,B,,,,,,CHEMBL716134,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),
21,,,12054,8,Autocudatiin,,,H,B,,,,,,CHEhBL715135,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),
22,,,12054,8,Autoc8gation,,,H,B,,,,,,CHEMnL6q5136,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),
23,,,12054,8,sutocuragion,,,H,B,,,,,,CyEMBL715137,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,
24,,,12054,8,wutocurstion,,,H,B,,,,,,CHEMhL615148,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,
25,,,22226,0,Aut0xuration,,,U,B,,,,,,CgEnBL836324,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",
26,,,12054,8,Au6oduration,Oryctolahusc7n9c6lus,,H,B,8344.0,,,,,fHEMBL615q39,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,
27,,,12054,8,Autocurati0j,Ogystopagussuniculus,,H,B,32141.0,,,,,CHEMBL6151tp,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),
28,,,12426,8,Aut9curatiog,,,H,B,,,,,,CHEkBi615141,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,
29,,,12054,8,Autocurzt7on,zoyabean,,H,B,3225.0,,,,,CnEMnL615142,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,
30,,,12054,8,Aytkcuration,Gljcinehax,,H,B,12463.0,,,,,CHEMnL6q5143,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,
31,,,12054,8,Aurlcuration,rlyfinemax,,H,B,33500.0,,,,,CHEMBi615q44,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,
32,,,12054,8,Autocurati0m,Goycigemax,,H,B,24659.0,,,,,CuEMBL87e867,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,
33,,,12054,8,Autocurahjon,Glycin3nax,,H,B,15763.0,,,,,CHEkBp615145,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,
34,,,12054,8,Au4ocurafion,Glycinejzx,,H,B,21523.0,,,,,CHEMBou15146,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,
35,,,12054,8,Autocurs5ion,Goycihemax,,H,B,49638.0,,,,,CHEhBL715147,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,
36,,,22226,0,Autocurzti9n,5attusnorcehicus,,U,A,30281.0,,,,,vtEMBL615148,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,
37,,,22226,0,Autpc7ration,Escherichixc9pi,,U,B,29355.0,,,,,vHEMBL715149,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,
38,,,22226,0,wutocuratlon,,,U,B,,,,,,CHEMBLu15160,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,
39,,,22222,3,Interkeviate,,,M,B,,,,,,CuEnBL615151,3782,Dissociation constant towards 16S rRNA construct A,
40,,,22222,3,Interm3diatr,,,M,B,,,,,,CHEMBL61415q,3782,Dissociation constant towards 16S rRNA construct B,
41,,,100263,3,4xpert,2sfheridhiacoli,,M,B,11112.0,,,,,CHEkBL615154,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,
42,,,100263,3,Exprrt,Esdherlchiaxoli,,M,B,20980.0,,,,,CHEMBo6151y4,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,
43,,,13053,8,A7tofuration,,,H,B,,,,,,CtEhBL615155,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
44,,,13053,8,Autkcurztion,,,H,B,,,,,,CHEjBL61515y,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
45,,,20001,8,A6t9curation,Homosap7enc,,H,B,27505.0,,,,,xHEMBL625157,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,
46,,,20001,8,Au5ocuratiog,Homosapi3nz,,H,B,16251.0,,,,,CHEMBL61y1r8,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,
47,,,12971,9,Exp3rt,4attusn9rvegicuq,,D,B,14034.0,,,,,fHEMBL6w5159,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",
48,,,12971,9,Expsrt,Rattusnprcegicuq,,D,B,1675.0,,,,,CHEMBL514172,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",
49,,,12971,9,Expett,Rattusnorgwgic8s,,D,B,22180.0,,,,,CHEnBL625173,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",
50,,,12971,9,Expe3t,Rattushorfegjcus,,D,B,34338.0,,,,,CHdMnL615174,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",
51,,,13053,8,qutovuration,,,H,B,,,,,,sHEMBL88t518,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
52,,,11512,8,Auyocuratioj,,,H,B,,,,,,CHEnBL615185,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),
53,,,11512,8,xutkcuration,,,H,B,,,,,,CHEMBL6wy176,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,
54,,,11512,8,Autocura6iob,,,H,B,,,,,,CHEMBk61517i,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,
55,Membfanes,,104740,5,Autockrayion,Rsttushorveg8cus,,D,B,12982.0,,,,,CbEMBL615w78,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,
56,,,80002,1,Inyrrmediate,Hojosaliens,,N,F,17698.0,1A9,,,383.0,CbEMBL61t179,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,
57,,,104835,7,xutocu5ation,4att8snorveg9cus,,D,F,25222.0,Oocyhes,,,,CHEMBL6w5190,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,
58,,,104821,7,Autpcurat7on,Rattkznorvegisus,,D,F,16129.0,Oocyfes,,,,CHEMBk615q81,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,
59,,,104848,7,Autlcuratiom,Rattusnofvegis6s,,D,F,7570.0,Oocytew,,,,sHEMBL61518e,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,
60,,,80002,1,Ecpert,Homosaoiwns,,N,F,29647.0,1A9,,,278.0,CHEMhk615183,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,
61,,,80002,1,Intremediate,H9kosapiens,,N,F,5802.0,1A9,,,253.0,CHrMBL61518e,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,
62,,,80002,1,In4ermeviate,Hohowapiens,,N,F,3378.0,1A9,,,543.0,CHEMBL615194,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,
63,,,80002,1,Inte5mediqte,Hom0sapienz,,N,F,23488.0,1A9,,,294.0,dHEkBL615186,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,
64,,,80002,1,Inte5medlate,Homosao8ens,,N,F,1872.0,1A9,,,578.0,dHEkBL615187,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,
65,,,80002,1,Ezpert,bomosqpiens,,N,F,16757.0,1A9,,,337.0,dHEMBL885w43,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,
66,,,80002,1,lntermediste,Himosapiegs,,N,F,22804.0,1A9,,,239.0,CyEjBL615188,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),
67,,,80002,1,7nternediate,Homowapienx,,N,F,41000.0,1A9,,,371.0,dHEhBL615189,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,
68,,,80002,1,Interkediafe,Homoqaplens,,N,F,3723.0,1A9,,,554.0,CHEMBL615w9p,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,
69,,,80002,1,Infwrmediate,Honosaoiens,,N,F,59771.0,1A9,,,315.0,CH3nBL615191,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,
70,,,80002,1,Expsrt,Homoxaliens,,N,F,557.0,1A9,,,466.0,CHEMBLy14192,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,
71,,,80002,1,Ex0ert,H9moszpiens,,N,F,18591.0,1A9,,,785.0,CtEMfL827083,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,
72,,,80002,1,Experr,Hohosapi4ns,,N,F,38707.0,1A9,,,601.0,CHdMBL615194,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,
73,,,80002,1,Ijt2rmediate,Hlmosapiejs,,N,F,22315.0,1A9,,,273.0,CusMBL615194,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,
74,,,80002,1,8ntermediatd,Homosaloens,,N,F,10587.0,1A9,,,533.0,CHEMBo6q5195,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,
75,,,80002,1,Intermewiage,mpmosapiens,,N,F,28219.0,1A9,,,465.0,CHEMBLy1519t,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,
76,,,81072,1,Igterhediate,Homiaapiens,,N,F,22036.0,Jurkst,,,431.0,CHEMBp616197,17721,Inhibitory concentration against Jurkat cells,
77,,,22226,0,In43rmediate,,,U,F,,,,,,CHEkBp615198,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,
78,,,100121,9,Exlert,Rattuwno5venicus,,D,A,10895.0,,,,,CHEMhi615199,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,
79,,,11231,8,Ezpert,,,H,B,,,,,,CHEMhL6w5200,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",
80,,,11231,8,Expfrt,,,H,B,,,,,,xHEMBL615e01,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",
