prospect_gncd,prospect_nmbrchldrn,prospect_stt,prospect_g,prospect_gndr,prospect_ct,prospect_ncm,prospect_nmbrcrs,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Iok7501,,MO,7.0,,Baltimore,94490.0,3.0,U,580.0,U,FM Global,,321776.0
tia7502,4.0,TX,48.0,M,Kitchener,7037.0,4.0,S,683.0,R,MGIC Investment,2.0,2292324.0
AOI7503,5.0,CT,14.0,,Saint John,419269.0,1.0,M,411.0,O,Ross Stores,2.0,969707.0
PJQ7504,5.0,UT,29.0,m,Berkeley,76681.0,4.0,W,818.0,U,,9.0,3899461.0
SDV7505,4.0,RI,69.0,,Missoula,209116.0,2.0,U,370.0,R,Alliance One International,7.0,3749223.0
Hga7506,0.0,DE,47.0,F,Salinas,212203.0,0.0,U,833.0,O,Sally Beauty Holdings,6.0,3658531.0
Beo7507,5.0,NM,0.0,M,San Jose,42018.0,5.0,M,536.0,U,Wisconsin Energy,2.0,1738460.0
Qum7508,0.0,WV,46.0,,Cleveland,90446.0,0.0,S,775.0,R,Carpenter Technology,0.0,3307296.0
Hud7509,1.0,NH,6.0,,Huntington,16274.0,1.0,M,765.0,R,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,2.0,WY,22.0,m,Paterson,22215.0,5.0,M,555.0,O,Black & Decker,6.0,2599250.0
dgc7511,1.0,Saskatchewan,72.0,m,Greensboro,210038.0,5.0,M,,O,Interstate Bakeries,3.0,490443.0
lql7512,5.0,NE,40.0,,Concord,307402.0,4.0,M,318.0,O,eBay,9.0,3348923.0
Wsk7513,1.0,AR,8.0,m,Colorado Springs,,4.0,D,613.0,R,Boise,4.0,331799.0
Ffs7514,1.0,IL,10.0,,Mobile,432425.0,4.0,U,786.0,R,MDU Resources Group,4.0,1167013.0
Kvv7515,3.0,VA,24.0,,Thousand Oaks,122041.0,0.0,U,,O,Freescale Semiconductor,10.0,3960216.0
mpz7516,4.0,ID,18.0,f,Rochester,302205.0,1.0,M,623.0,O,Superior Energy Services,5.0,242246.0
Jhc7517,1.0,TX,79.0,F,Garden Grove,367555.0,1.0,S,845.0,O,Monsanto,1.0,1217660.0
dbq7518,5.0,New Brunswick,36.0,M,Tampa,106025.0,4.0,M,645.0,U,Newfield Exploration,7.0,1229655.0
Xch7519,2.0,Alberta,21.0,m,Fullerton,106690.0,2.0,W,495.0,O,Loews,1.0,1157831.0
oir7520,2.0,PA,4.0,m,Washington,29373.0,2.0,M,371.0,O,Apache,8.0,
Fqb7521,3.0,Nova Scotia,72.0,M,Norfolk,168189.0,2.0,S,462.0,R,Robert Half International,1.0,
qex7522,,RI,1.0,,Sydney,264756.0,,S,375.0,U,Viacom,7.0,3467922.0
Hpi7523,2.0,OR,98.0,,Winnipeg,44480.0,1.0,S,516.0,U,Robert Half International,10.0,46859.0
Fjd7524,5.0,CA,35.0,,Wilmington,87207.0,1.0,,703.0,R,CSX,,2937668.0
Cgt7525,2.0,MO,99.0,,El Monte,238434.0,4.0,W,734.0,O,Country Financial Services,7.0,2388613.0
Lwx7526,2.0,Prince Edward Island,49.0,M,Sterling Heights,,0.0,M,469.0,U,Procter & Gamble,4.0,3116283.0
epy7527,0.0,Quebec,72.0,,Pembroke Pines,391354.0,3.0,S,595.0,O,Ingles Markets,2.0,2671950.0
Aff7528,0.0,KS,41.0,m,Philadelphia,419165.0,3.0,U,410.0,O,Forest Laboratories,1.0,3899593.0
mfc7529,2.0,NV,54.0,,Glendale,396509.0,3.0,W,475.0,O,Dentsply International,10.0,2537332.0
Slf7530,2.0,TN,11.0,,El Monte,145161.0,0.0,,,R,RadioShack,2.0,733236.0
Cxu7531,5.0,WY,0.0,,Warwick,263206.0,2.0,W,519.0,O,Century Aluminum,3.0,
GZO7532,3.0,British Columbia,27.0,,Milwaukee,190371.0,3.0,D,841.0,U,,5.0,3397276.0
DRW7533,1.0,LA,95.0,,Phoenix,203968.0,3.0,U,540.0,O,FPL Group,6.0,2444257.0
set7534,3.0,HI,35.0,f,Anchorage,428323.0,1.0,U,540.0,R,Lockheed Martin,10.0,71520.0
Pyo7535,1.0,NY,96.0,,Madison,159980.0,4.0,M,,O,Sanmina-SCI,6.0,1911091.0
FSH7536,0.0,TX,96.0,M,Fontana,266852.0,0.0,W,424.0,O,Iron Mountain,6.0,988775.0
Tdx7537,5.0,AZ,49.0,,Charlotte,206973.0,5.0,M,623.0,R,OfficeMax,2.0,3919363.0
Sbn7538,1.0,ME,,,Richmond,258221.0,5.0,S,792.0,O,AMR,4.0,428918.0
Piq7539,4.0,NH,27.0,f,Santa Clarita,428508.0,4.0,S,718.0,O,Kohl's,6.0,58134.0
IXD7540,0.0,KY,98.0,M,Yellow Knife,,4.0,M,401.0,O,Cigna,6.0,3703767.0
wsn7541,5.0,Prince Edward Island,,,Oxnard,58953.0,4.0,M,557.0,R,West,2.0,433859.0
Jkp7542,5.0,British Columbia,56.0,M,Huntington Beach,409682.0,5.0,W,393.0,O,Monsanto,7.0,3002044.0
CCF7543,4.0,CT,94.0,M,Durham,340191.0,2.0,M,557.0,,Reliant Energy,10.0,1124168.0
ylj7544,5.0,WA,98.0,,Naperville,238216.0,4.0,U,465.0,O,Idearc,5.0,2081541.0
ZBB7545,1.0,ND,8.0,F,Albuquerque,113171.0,0.0,M,,O,Neiman Marcus,6.0,1897076.0
fqe7546,,ID,90.0,m,Newark,234797.0,5.0,W,485.0,,O'Reilly Automotive,10.0,235172.0
Wpw7547,2.0,Quebec,34.0,,Miami,225322.0,4.0,M,303.0,,Cliffs Natural Resources,2.0,639573.0
vpz7548,2.0,ID,25.0,,London,192689.0,1.0,W,846.0,O,Health Management Associates,4.0,2667082.0
