cliente_id,ammontare,personale_id,noleggio_id,data_pagamento,pagamento_id
1,0.99,1,573,2005-05-28 10:35:23,2
1,9.99,2,1476,2005-06-15 21:08:46,5
1,3.99,1,3284,2005-06-21 06:24:45,9
1,4.99,1,5244,2005-07-09 13:24:07,12
1,2.99,2,7273,2005-07-27 11:31:22,15
1,4.99,1,7841,2005-07-28 09:04:45,16
1,0.99,1,11367,2005-08-02 18:01:38,24
1,0.99,2,13068,2005-08-19 09:55:16,27
1,2.99,2,15298,2005-08-22 19:41:37,31
1,5.99,1,15315,2005-08-22 20:03:46,32
2,2.99,1,5636,2005-07-10 06:31:24,35
2,4.99,2,7346,2005-07-27 14:30:42,37
2,5.99,1,7376,2005-07-27 15:23:02,38
2,2.99,1,10136,2005-07-31 21:58:56,48
2,6.99,1,11177,2005-08-02 10:43:48,52
2,2.99,2,11256,2005-08-02 13:44:53,53
2,2.99,1,12963,2005-08-19 06:26:04,55
3,8.99,1,1546,2005-06-16 01:34:05,62
3,6.99,1,1726,2005-06-16 15:19:10,63
3,2.99,1,2628,2005-06-19 08:34:53,65
3,4.99,1,7911,2005-07-28 11:46:45,72
3,4.99,2,9816,2005-07-31 11:32:58,78
4,2.99,1,7660,2005-07-28 02:10:10,92
4,5.99,1,9371,2005-07-30 18:58:00,96
4,0.99,2,11069,2005-08-02 07:09:34,97
4,8.99,2,12294,2005-08-18 05:14:44,101
4,2.99,1,15147,2005-08-22 13:58:23,106
4,1.99,2,15635,2005-08-23 07:43:00,107
5,6.99,1,1085,2005-05-31 11:15:43,109
5,2.99,2,4889,2005-07-08 20:04:43,117
5,1.99,2,5156,2005-07-09 08:51:42,120
5,0.99,2,5721,2005-07-10 11:09:35,121
5,8.99,1,6042,2005-07-11 03:17:04,122
5,0.99,2,7293,2005-07-27 12:37:28,125
5,2.99,1,12797,2005-08-19 00:24:08,138
6,4.99,2,57,2005-05-25 08:43:32,146
6,2.99,1,577,2005-05-28 11:09:14,147
6,0.99,2,3983,2005-07-06 23:14:21,153
6,0.99,2,6686,2005-07-12 12:18:38,158
6,2.99,2,7099,2005-07-27 05:03:44,159
6,0.99,1,8101,2005-07-28 18:47:23,161
6,3.99,1,11398,2005-08-02 18:55:15,164
6,6.99,2,13451,2005-08-20 00:18:25,169
6,7.99,1,14329,2005-08-21 08:22:56,170
7,4.99,1,975,2005-05-30 21:07:15,177
7,2.99,1,2250,2005-06-18 05:03:36,180
7,3.99,2,6761,2005-07-12 15:17:42,192
7,5.99,1,10423,2005-08-01 08:19:53,196
7,4.99,1,10514,2005-08-01 11:39:26,197
7,4.99,2,10644,2005-08-01 15:52:00,198
7,8.99,1,12367,2005-08-18 07:57:14,201
7,2.99,1,13476,2005-08-20 01:06:04,204
8,4.99,2,3114,2005-06-20 17:57:47,210
8,1.99,1,8809,2005-07-29 21:42:49,220
8,2.99,2,10561,2005-08-01 13:05:35,223
8,2.99,1,15764,2005-08-23 13:05:10,229
9,0.99,2,877,2005-05-30 05:48:59,232
9,4.99,2,3262,2005-06-21 04:08:43,235
9,0.99,2,7616,2005-07-28 00:15:26,242
9,4.99,1,9043,2005-07-30 06:34:07,244
9,4.99,2,12652,2005-08-18 18:48:58,251
10,3.99,2,2222,2005-06-18 03:26:23,257
10,3.99,2,3790,2005-07-06 14:13:45,260
10,4.99,2,4042,2005-07-07 03:06:40,261
10,2.99,2,5068,2005-07-09 04:53:18,264
10,2.99,1,5905,2005-07-10 20:41:09,266
10,4.99,2,8188,2005-07-28 22:34:12,269
10,2.99,2,12031,2005-08-17 20:11:35,274
10,2.99,2,12400,2005-08-18 09:19:12,275
10,2.99,2,13917,2005-08-20 16:43:28,277
10,5.99,1,15370,2005-08-22 21:59:29,278
11,9.99,1,8950,2005-07-30 03:17:13,292
11,6.99,2,9292,2005-07-30 16:08:21,293
11,6.99,2,11166,2005-08-02 10:14:58,295
11,0.99,2,13572,2005-08-20 05:07:27,298
11,0.99,1,15120,2005-08-22 12:42:47,300
12,4.99,1,988,2005-05-30 23:08:03,303
12,5.99,2,2434,2005-06-18 18:11:51,306
12,4.99,2,2623,2005-06-19 08:11:51,308
12,0.99,1,3411,2005-06-21 16:31:27,310
12,0.99,1,5071,2005-07-09 05:00:39,312
12,0.99,2,5111,2005-07-09 07:02:19,314
12,0.99,2,7008,2005-07-27 01:44:03,317
12,4.99,2,9166,2005-07-30 11:26:28,320
12,5.99,1,9627,2005-07-31 04:42:46,322
12,4.99,1,12604,2005-08-18 16:58:48,326
12,0.99,1,15993,2005-08-23 20:28:44,330
13,2.99,1,1933,2005-06-17 06:54:42,331
13,8.99,1,6118,2005-07-11 07:43:08,336
13,2.99,1,8277,2005-07-29 01:38:53,341
13,4.99,1,11292,2005-08-02 14:58:41,348
13,0.99,2,11315,2005-08-02 16:05:17,349
13,5.99,2,11761,2005-08-17 09:44:59,350
13,4.99,1,15338,2005-08-22 20:51:24,357
14,4.99,2,1360,2005-06-15 13:32:15,363
14,7.99,2,5317,2005-07-09 16:10:25,367
14,4.99,2,9438,2005-07-30 21:36:15,374
14,2.99,1,9592,2005-07-31 03:21:16,375
14,6.99,2,10526,2005-08-01 11:55:33,377
14,3.99,2,11528,2005-08-17 00:27:23,379
14,4.99,1,13757,2005-08-20 11:20:12,381
15,7.99,1,3550,2005-07-06 02:29:21,389
15,5.99,1,4127,2005-07-07 07:26:19,390
15,2.99,1,9987,2005-07-31 17:22:35,397
15,2.99,1,11118,2005-08-02 08:44:18,398
15,2.99,2,11341,2005-08-02 17:09:24,401
15,2.99,2,12272,2005-08-18 04:39:10,403
15,2.99,2,12551,2005-08-18 14:46:26,404
15,2.99,1,12635,2005-08-18 18:00:23,405
15,3.99,2,13677,2005-08-20 08:34:41,410
15,3.98,1,13798,2006-02-14 15:16:03,416
16,2.99,1,1017,2005-05-31 02:53:36,421
16,7.99,1,1944,2005-06-17 07:50:53,423
16,5.99,2,8452,2005-07-29 07:45:00,434
16,0.99,2,9158,2005-07-30 11:12:03,435
17,2.99,2,287,2005-05-26 19:44:54,447
17,3.99,1,5714,2005-07-10 10:46:57,453
