categoria_id,film_id,nome_categoria
11,830,Horror
8,528,Family
3,801,Children
6,589,Documentary
7,521,Drama
15,577,Sports
8,175,Family
4,228,Classics
12,244,Music
16,648,Travel
3,59,Children
7,706,Drama
7,204,Drama
16,903,Travel
5,555,Comedy
6,945,Documentary
1,802,Action
6,575,Documentary
8,610,Family
12,540,Music
10,560,Games
11,658,Horror
9,769,Foreign
7,897,Drama
2,456,Animation
16,41,Travel
6,576,Documentary
8,63,Family
5,756,Comedy
5,814,Comedy
8,458,Family
10,747,Games
10,507,Games
8,309,Family
8,715,Family
2,693,Animation
5,529,Comedy
9,961,Foreign
2,743,Animation
9,595,Foreign
2,651,Animation
15,474,Sports
1,664,Action
3,491,Children
15,671,Sports
13,216,New
13,465,New
11,593,Horror
9,198,Foreign
10,227,Games
1,194,Action
11,702,Horror
8,700,Family
7,979,Drama
10,746,Games
3,344,Children
12,636,Music
2,644,Animation
11,277,Horror
2,241,Animation
6,670,Documentary
5,410,Comedy
16,169,Travel
15,902,Sports
6,776,Documentary
5,1000,Comedy
7,379,Drama
2,433,Animation
9,900,Foreign
14,863,Sci-Fi
9,821,Foreign
10,217,Games
6,788,Documentary
13,933,New
16,785,Travel
9,770,Foreign
11,35,Horror
2,569,Animation
5,638,Comedy
8,727,Family
6,336,Documentary
2,402,Animation
14,655,Sci-Fi
13,751,New
2,89,Animation
8,498,Family
16,57,Travel
11,494,Horror
15,293,Sports
1,115,Action
12,877,Music
1,360,Action
14,374,Sci-Fi
16,894,Travel
3,124,Children
8,139,Family
11,415,Horror
7,272,Drama
3,450,Children
4,652,Classics
2,859,Animation
15,841,Sports
1,56,Action
16,386,Travel
4,341,Classics
1,586,Action
14,235,Sci-Fi
15,777,Sports
10,316,Games
4,484,Classics
15,27,Sports
11,909,Horror
4,862,Classics
13,267,New
9,460,Foreign
14,151,Sci-Fi
13,847,New
7,539,Drama
15,606,Sports
2,820,Animation
9,459,Foreign
2,696,Animation
14,137,Sci-Fi
7,618,Drama
14,893,Sci-Fi
5,247,Comedy
1,594,Action
13,481,New
6,926,Documentary
15,383,Sports
6,219,Documentary
2,243,Animation
5,613,Comedy
8,147,Family
12,20,Music
8,603,Family
5,660,Comedy
8,71,Family
2,326,Animation
16,656,Travel
8,975,Family
4,487,Classics
14,723,Sci-Fi
9,957,Foreign
4,37,Classics
10,624,Games
2,892,Animation
9,192,Foreign
15,628,Sports
2,489,Animation
13,686,New
3,761,Children
1,915,Action
2,510,Animation
15,372,Sports
5,478,Comedy
8,345,Family
14,285,Sci-Fi
3,852,Children
11,8,Horror
1,549,Action
10,684,Games
9,337,Foreign
14,369,Sci-Fi
3,853,Children
11,506,Horror
1,111,Action
14,26,Sci-Fi
2,582,Animation
5,324,Comedy
5,332,Comedy
3,993,Children
7,969,Drama
16,878,Travel
3,768,Children
8,43,Family
14,73,Sci-Fi
15,813,Sports
1,825,Action
3,343,Children
12,363,Music
2,245,Animation
5,159,Comedy
13,490,New
8,499,Family
13,760,New
8,829,Family
1,417,Action
13,22,New
11,4,Horror
10,438,Games
8,83,Family
16,451,Travel
3,354,Children
2,805,Animation
2,154,Animation
9,726,Foreign
13,806,New
12,86,Music
13,730,New
14,312,Sci-Fi
9,112,Foreign
3,883,Children
15,291,Sports
10,141,Games
1,271,Action
14,390,Sci-Fi
3,889,Children
8,359,Family
11,854,Horror
2,816,Animation
2,349,Animation
14,195,Sci-Fi
10,310,Games
1,574,Action
12,333,Music
6,150,Documentary
8,437,Family
7,401,Drama
16,472,Travel
4,874,Classics
13,163,New
6,888,Documentary
16,981,Travel
5,932,Comedy
9,6,Foreign
9,486,Foreign
6,248,Documentary
10,556,Games
5,522,Comedy
9,100,Foreign
9,929,Foreign
4,694,Classics
15,667,Sports
7,775,Drama
7,107,Drama
12,752,Music
8,557,Family
3,864,Children
13,948,New
15,836,Sports
15,254,Sports
4,480,Classics
8,231,Family
15,120,Sports
2,583,Animation
8,82,Family
13,551,New
6,544,Documentary
8,50,Family
